Date,TMax,TMin
19800101,310,220
19800102,330,220
19800103,320,250
19800104,320,240
19800105,320,240
19800106,320,250
19800107,9999,250
19800108,320,9999
19800109,9999,250
19800110,310,250
19800111,320,250
19800112,310,250
19800113,320,250
19800114,320,250
19800115,320,9999
19800116,320,9999
19800117,330,250
19800118,310,260
19800119,9999,250
19800120,9999,240
19800121,320,250
19800122,320,240
19800123,330,250
19800124,330,250
19800125,330,9999
19800126,9999,9999
19800127,320,9999
19800128,330,9999
19800129,320,250
19800130,310,240
19800131,320,250
19800201,330,9999
19800202,330,250
19800203,330,9999
19800204,330,240
19800205,320,250
19800206,9999,250
19800207,320,250
19800208,330,250
19800209,9999,260
19800210,330,9999
19800211,320,260
19800212,320,220
19800213,320,220
19800214,9999,250
19800215,320,9999
19800216,320,240
19800217,330,9999
19800218,330,260
19800219,330,250
19800220,340,260
19800221,330,260
19800222,340,260
19800223,340,260
19800224,330,270
19800225,9999,240
19800226,9999,250
19800227,330,9999
19800228,9999,260
19800229,330,260
19800301,320,260
19800302,320,250
19800303,330,250
19800305,330,250
19800306,330,260
19800307,9999,250
19800308,330,9999
19800309,330,250
19800310,330,240
19800311,330,9999
19800312,330,240
19800313,330,260
19800314,330,260
19800315,330,250
19800316,330,260
19800317,320,9999
19800318,330,250
19800319,320,250
19800320,320,250
19800321,330,250
19800322,320,260
19800323,9999,9999
19800324,290,240
19800325,330,240
19800326,330,250
19800327,330,260
19800328,330,240
19800329,330,250
19800330,330,260
19800331,330,270
19800401,340,270
19800402,340,9999
19800403,330,240
19800404,340,270
19800405,340,240
19800406,340,260
19800407,330,9999
19800408,9999,270
19800409,340,9999
19800410,340,220
19800411,320,9999
19800412,330,250
19800413,320,270
19800414,9999,250
19800415,330,260
19800416,340,260
19800417,9999,270
19800418,9999,9999
19800419,320,9999
19800420,330,260
19800421,330,260
19800422,320,250
19800423,320,260
19800424,330,260
19800425,330,9999
19800426,330,250
19800427,330,9999
19800428,320,9999
19800429,320,250
19800430,310,230
19800501,330,240
19800502,9999,9999
19800503,310,230
19800504,320,250
19800505,320,240
19800506,330,250
19800507,330,9999
19800508,330,220
19800509,310,250
19800510,320,240
19800511,330,250
19800512,310,9999
19800513,9999,210
19800514,320,240
19800515,330,250
19800516,320,260
19800517,330,9999
19800518,290,230
19800519,320,9999
19800520,320,250
19800521,320,250
19800522,300,9999
19800523,310,230
19800524,310,9999
19800525,310,220
19800526,270,9999
19800527,310,230
19800528,300,9999
19800529,300,240
19800530,300,230
19800531,310,240
19800601,310,250
19800602,310,250
19800603,300,240
19800604,300,250
19800605,310,240
19800606,310,240
19800607,300,230
19800608,300,230
19800609,290,240
19800611,310,240
19800612,300,250
19800613,310,230
19800614,9999,250
19800615,300,240
19800616,310,240
19800617,9999,240
19800618,300,250
19800619,300,230
19800620,270,240
19800621,290,240
19800622,300,230
19800623,300,240
19800624,280,240
19800625,280,240
19800626,290,240
19800627,280,240
19800628,280,240
19800629,290,230
19800630,280,230
19800701,280,240
19800702,290,230
19800703,280,230
19800704,290,240
19800705,280,240
19800706,290,240
19800707,290,230
19800708,300,230
19800709,300,220
19800710,9999,240
19800711,300,230
19800712,290,230
19800713,270,240
19800714,280,230
19800715,280,210
19800716,280,220
19800717,290,230
19800718,290,230
19800719,280,220
19800720,270,230
19800721,9999,230
19800722,9999,230
19800723,280,9999
19800724,270,210
19800725,280,220
19800726,290,230
19800727,280,230
19800728,290,230
19800729,9999,240
19800730,280,230
19800731,280,230
19800801,280,230
19800802,290,240
19800803,280,230
19800804,270,230
19800805,280,200
19800806,290,210
19800807,290,9999
19800808,290,220
19800809,300,220
19800810,250,240
19800811,290,230
19800812,290,230
19800813,290,230
19800814,280,220
19800815,280,240
19800816,280,240
19800817,270,230
19800818,280,230
19800819,300,230
19800820,290,240
19800821,280,240
19800822,290,230
19800823,290,230
19800824,290,9999
19800825,280,230
19800826,290,9999
19800827,9999,240
19800828,300,230
19800829,300,240
19800830,280,230
19800831,280,230
19800901,280,230
19800902,280,230
19800903,290,240
19800904,310,230
19800905,300,230
19800906,310,230
19800907,280,240
19800908,300,230
19800909,300,240
19800910,300,240
19800911,300,240
19800912,290,240
19800915,9999,240
19800916,310,230
19800917,300,230
19800918,300,220
19800919,300,240
19800920,310,240
19800921,300,240
19800922,300,240
19800923,300,230
19800924,280,9999
19800925,310,230
19800927,290,220
19800928,300,220
19800929,300,230
19800930,300,230
19801001,290,230
19801002,290,210
19801003,300,230
19801004,290,9999
19801005,300,230
19801006,300,230
19801007,9999,210
19801008,300,210
19801009,300,230
19801010,310,230
19801011,310,240
19801012,300,240
19801013,310,240
19801014,310,240
19801015,310,230
19801016,320,240
19801017,350,250
19801018,280,220
19801019,300,230
19801020,300,240
19801021,310,240
19801022,300,240
19801023,310,230
19801024,280,240
19801025,320,210
19801026,310,230
19801027,310,9999
19801028,320,220
19801029,9999,240
19801030,320,240
19801031,330,230
19801101,320,230
19801102,320,9999
19801103,320,230
19801104,320,230
19801105,310,9999
19801106,310,9999
19801107,310,210
19801108,9999,240
19801109,320,240
19801110,330,230
19801111,9999,240
19801112,320,220
19801113,320,240
19801114,320,230
19801115,310,230
19801116,320,9999
19801117,320,240
19801118,320,240
19801119,320,230
19801120,320,230
19801121,320,230
19801124,320,9999
19801125,9999,240
19801126,9999,230
19801127,320,230
19801128,9999,230
19801129,320,230
19801130,320,240
19801201,9999,240
19801203,330,240
19801204,9999,240
19801205,320,250
19801206,9999,240
19801207,9999,240
19801208,320,240
19801209,9999,240
19801210,320,240
19801212,9999,240
19801213,9999,240
19801214,290,220
19801215,310,200
19801216,9999,190
19801217,320,190
19801218,320,200
19801219,300,220
19801220,300,180
19801221,320,170
19801222,320,190
19801223,310,180
19801224,320,200
19801225,320,200
19801226,310,200
19801227,310,180
19801228,320,9999
19801229,310,180
19801230,300,210
19801231,310,230
19830101,337,236
19830102,326,222
19830103,320,207
19830104,333,200
19830105,310,179
19830106,304,188
19830107,300,190
19830108,318,179
19830109,318,183
19830110,9999,174
19830111,322,190
19830112,332,187
19830113,345,9999
