Date,TMax,TMin
19250101,0,-106
19250102,-6,-156
19250103,-17,-178
19250104,-11,-94
19250105,11,-189
19250106,6,9999
19250107,9999,9999
19250108,9999,9999
19250109,9999,9999
19250110,-194,-211
19250111,0,9999
19250112,-78,-189
19250113,0,-156
19250114,33,-167
19250115,9999,-167
19250116,-33,-139
19250117,-6,-139
19250118,28,-117
19250119,33,-122
19250120,33,-100
19250121,56,-94
19250122,56,-89
19250123,11,-67
19250124,56,-61
19250125,33,-150
19250126,28,-128
19250127,44,-150
19250128,11,-128
19250129,56,-111
19250130,94,-83
19250131,56,-106
19250201,39,-89
19250202,50,-72
19250203,100,-44
19250204,50,-39
19250205,56,-33
19250206,56,-72
19250207,33,-61
19250208,6,-67
19250209,56,-150
19250210,11,-144
19250211,11,-128
19250212,50,-111
19250213,94,-94
19250214,61,-72
19250215,61,-128
19250216,44,-122
19250217,100,-100
19250218,67,-89
19250219,111,-89
19250220,100,-67
19250221,89,-128
19250222,67,-100
19250223,33,-133
19250224,78,-111
19250225,72,-106
19250226,106,-100
19250227,78,-83
19250228,72,-133
19250301,56,-100
19250302,89,-89
19250303,89,-72
19250304,78,-50
19250305,89,-33
19250306,67,-50
19250307,11,-39
19250308,117,-72
19250309,89,-144
19250310,-56,-183
19250311,61,-100
19250312,89,-139
19250313,89,-128
19250314,106,-106
19250315,72,-89
19250316,106,-61
19250317,100,-117
19250318,72,-100
19250319,89,-67
19250320,67,-50
19250321,78,-39
19250322,78,-6
19250323,67,-72
19250324,83,-44
19250325,122,-106
19250326,56,-89
19250327,100,0
19250328,100,6
19250329,117,0
19250330,33,-44
19250331,100,-11
19250401,133,-22
19250402,133,-22
19250403,161,6
19250404,178,17
19250405,128,-17
19250406,72,-44
19250407,128,-17
19250408,178,-6
19250409,200,0
19250410,217,6
19250411,233,11
19250412,178,0
19250413,183,-17
19250414,206,0
19250415,189,22
19250416,211,39
19250417,161,-50
19250418,122,0
19250419,122,-67
19250420,117,-22
19250421,106,-56
19250422,61,-61
19250423,56,-67
19250424,100,-56
19250425,111,-61
19250426,156,-33
19250427,161,-67
19250428,156,-50
19250429,200,-6
19250430,222,17
19250501,228,17
19250502,222,22
19250503,167,-33
19250504,222,44
19250505,244,50
19250506,228,44
19250507,206,-39
19250508,150,39
19250509,206,17
19250510,228,44
19250511,156,39
19250512,183,11
19250513,228,44
19250514,206,39
19250515,189,61
19250516,206,72
19250517,217,61
19250518,261,61
19250523,222,28
19250524,233,56
19250525,211,50
19250526,228,61
19250527,239,44
19250528,267,72
19250529,278,78
19250530,200,17
19250531,211,72
19250601,200,44
19250602,178,17
19250603,156,28
19250604,172,17
19250605,156,6
19250606,167,6
19250607,9999,9999
19250608,9999,9999
19250609,222,44
19250610,194,-11
19250611,206,33
19250612,211,17
19250613,200,17
19250614,211,17
19250615,217,17
19250616,167,11
19250617,200,33
19250618,200,33
19250619,222,17
19250620,294,44
19250621,267,33
19250622,294,72
19250623,322,56
19250624,350,89
19250625,350,61
19250626,311,44
19250627,322,72
19250628,350,72
19250629,294,33
19250630,267,128
19250701,294,56
19250702,267,33
19250703,294,72
19250704,267,44
19250705,311,72
19250706,311,89
19250707,294,72
19250708,294,72
19250709,294,89
19250710,339,72
19250711,322,100
19250712,311,100
19250713,378,111
19250714,361,100
19250715,339,111
19250716,333,100
19250717,350,89
19250718,339,72
19250719,350,100
19250720,350,100
19250721,289,89
19250722,278,56
19250723,283,72
19250724,322,83
19250725,311,72
19250726,322,89
19250727,322,128
19250728,344,100
19250729,294,83
19250730,272,117
19250731,289,89
19250801,294,83
19250802,311,100
19250803,306,89
19250804,322,100
19250805,294,89
19250806,306,83
19250807,317,72
19250808,289,100
19250809,311,72
19250810,283,83
19250811,322,72
19250812,267,72
19250813,267,72
19250814,211,-11
19250815,211,17
19250816,239,44
19250817,294,72
19250818,267,100
19250819,278,83
19250820,289,72
19250821,306,72
19250822,294,44
19250823,294,6
19250824,267,44
19250825,278,28
19250826,267,17
19250827,267,33
19250828,256,100
19250829,278,56
19250830,289,72
19250831,267,89
19250901,233,72
19250902,306,89
19250903,256,78
19250904,244,89
19250905,256,72
19250906,256,56
19250907,233,72
19250908,244,89
19250909,261,72
19250910,222,83
19250911,233,67
19250912,244,78
19250913,256,83
19250914,211,0
19250915,222,11
19250916,228,-11
19250917,211,-11
19250918,211,-11
19250919,222,11
19250920,183,0
19250921,156,-11
19250922,178,22
19250923,194,33
19250924,167,17
19250925,194,33
19250926,222,72
19250927,233,72
19250928,194,22
19250929,111,-33
19250930,167,17
19251001,183,33
19251002,189,22
19251003,200,11
19251004,183,17
19251005,211,28
19251006,128,17
19251007,111,33
19251008,133,-22
19251009,128,-39
19251010,156,17
19251011,156,-11
19251012,156,-11
19251013,183,-22
19251014,156,-28
19251015,167,-44
19251016,167,-111
19251017,156,-67
19251018,167,-56
19251019,156,-50
19251020,167,-44
19251021,167,-33
19251022,167,-56
19251023,167,-44
19251024,167,-67
19251025,167,-89
19251101,9999,9999
19251102,9999,9999
19251103,9999,-78
19251104,167,-94
19251105,9999,33
19251106,9999,9999
19251107,178,-100
19251108,72,-72
19251109,72,-67
19251110,83,-61
19251111,67,-100
19251112,111,-72
19251113,56,-111
19251114,9999,9999
19251115,56,-78
19251116,67,-72
19251117,94,-139
19251118,61,-94
19251119,67,-89
19251120,67,-83
19251121,9999,9999
19251122,61,-89
19251123,61,-78
19251124,78,-61
19251125,9999,-67
19251126,78,9999
19251127,9999,9999
19251128,39,-50
19251129,44,-61
19251130,56,0
19251201,39,-39
19251202,17,-72
19251203,33,-67
19251204,0,-39
19251205,0,-28
19251206,11,-6
19251207,11,-28
19251208,56,-33
19251209,33,-56
19251210,-22,-28
19251211,-11,-17
19251212,17,0
19251213,28,0
19251214,11,-72
19251215,-17,-94
19251216,28,-94
19251217,28,-72
19251218,17,-56
19251219,0,-100
19251220,-11,-122
19251221,-17,-150
19251222,0,-111
19251223,28,-117
19251224,11,-94
19251225,44,-106
19251226,17,-111
19251227,44,-167
19251228,106,-133
19251229,44,-94
19251230,0,-106
19251231,0,-144
19260101,22,-178
19260102,44,-111
19260103,-39,-167
19260104,-22,-94
19260105,-28,-156
19260106,17,-156
19260107,-28,-178
19260108,-44,-167
19260109,11,-178
19260110,0,-139
19260111,11,-139
19260112,17,-172
19260113,17,-150
19260114,0,-161
19260115,0,-117
19260116,-44,-111
19260117,-17,-89
19260118,11,-67
19260119,-22,-117
19260120,-39,-194
19260121,-22,-128
19260122,-22,-178
19260123,6,-111
19260124,-11,-117
19260125,-33,-128
19260126,-11,-133
19260127,28,-94
19260128,-17,-128
19260129,-11,-100
19260130,-11,-67
19260131,17,-67
19260201,33,-50
19260202,0,-106
19260203,17,-28
19260204,11,-39
19260205,6,-72
19260206,22,-39
19260207,28,0
19260208,50,-28
19260209,-17,44
19260210,-28,44
19260211,39,-11
19260212,11,-94
19260213,0,-44
19260214,-22,-150
19260215,-6,-128
19260216,67,-44
19260217,50,-72
19260218,17,-100
19260219,44,-111
19260220,33,-50
19260221,39,-106
19260222,17,-78
19260223,11,-94
19260224,44,-78
19260225,39,-67
19260226,28,-94
19260227,72,-50
19260228,56,-44
19260301,50,-72
19260302,94,-67
19260303,72,-44
19260304,44,-56
19260305,0,-22
19260306,0,-78
19260307,39,-89
19260308,72,-39
19260309,94,-17
19260310,56,-11
19260311,56,-50
19260312,56,-28
19260313,100,-6
19260314,111,6
19260315,106,-11
19260316,111,-11
19260317,111,0
19260318,106,0
19260319,122,0
19260320,139,-11
19260321,144,17
19260322,161,0
19260323,172,17
19260324,94,-28
19260325,44,-56
19260326,56,-67
19260327,50,-56
19260328,11,-56
19260329,6,-111
19260330,-6,-50
19260331,6,-44
19260401,33,-89
19260402,44,-67
19260403,56,0
19260404,100,11
19260405,89,11
19260406,111,6
19260407,144,39
19260408,144,39
19260409,156,17
19260410,183,28
19260411,200,33
19260412,156,0
19260413,161,17
19260414,211,28
19260415,233,17
19260416,233,28
19260417,228,33
19260418,233,56
19260419,200,67
19260420,189,61
19260421,189,28
19260422,167,44
19260423,139,-11
19260424,189,-11
19260425,228,39
19260426,217,50
19260427,217,50
19260428,244,11
19260429,261,33
19260430,244,33
19260501,211,56
19260502,222,28
19260503,250,44
19260504,222,67
19260505,189,33
19260506,106,0
19260507,139,0
19260508,128,17
19260509,106,6
19260510,117,-6
19260511,156,33
19260512,156,39
19260513,200,0
19260514,233,17
19260515,228,33
19260516,222,39
19260517,200,50
19260518,211,39
19260519,256,28
19260520,228,44
19260521,200,-22
19260522,278,6
19260523,261,78
19260524,261,28
19260525,161,-11
19260526,211,-11
19260527,239,28
19260528,244,56
19260529,250,39
19260530,239,61
19260531,239,-11
19260601,278,28
19260602,261,56
19260603,272,56
19260604,317,44
19260605,317,94
19260606,9999,9999
19260607,328,78
19260608,317,72
19260609,317,89
19260610,311,67
19260611,278,72
19260612,267,78
19260613,267,72
19260614,256,44
19260615,200,-33
19260616,206,11
19260617,244,-11
19260618,267,72
19260619,206,33
19260620,156,-56
19260621,244,-44
19260622,261,-11
19260623,317,72
19260624,322,61
19260625,311,72
19260626,361,78
19260627,378,67
19260628,339,89
19260629,344,100
19260630,311,122
19260701,267,50
19260702,278,44
19260703,328,83
19260704,9999,9999
19260705,9999,9999
19260706,278,61
19260707,267,61
19260708,239,72
19260709,267,83
19260710,267,33
19260711,278,44
19260712,267,67
19260713,278,100
19260714,311,61
19260715,322,94
19260716,283,72
19260717,344,100
19260718,289,156
19260719,289,100
19260720,294,50
19260721,278,33
19260722,289,100
19260723,289,44
19260724,333,56
19260725,333,78
19260726,350,72
19260727,339,100
19260728,317,83
19260729,317,44
19260730,339,61
19260731,356,106
19260801,317,83
19260802,322,83
19260803,289,61
19260804,344,83
19260805,322,78
19260806,267,100
19260807,239,72
19260808,294,72
19260809,267,44
19260810,239,44
19260811,267,17
19260812,239,56
19260813,267,22
19260814,294,72
19260815,267,44
19260816,294,44
19260817,267,83
19260818,211,50
19260819,211,-11
19260820,272,-6
19260821,278,44
19260822,306,44
19260823,333,67
19260824,339,72
19260825,356,72
19260826,339,94
19260827,267,0
19260828,9999,-11
19260829,9999,9999
19260830,9999,9999
19260831,9999,9999
19260901,9999,9999
19260902,9999,9999
19260903,9999,9999
19260904,9999,9999
19260905,9999,9999
19260906,9999,9999
19260907,211,-11
19260908,206,-39
19260909,244,0
19260910,267,78
19260911,217,0
19260912,222,17
19260913,217,-39
19260914,206,-28
19260915,239,-6
19260916,194,17
19260917,178,-6
19260918,189,-44
19260919,239,-39
19260920,239,6
19260921,206,-50
19260922,161,-67
19260923,194,-94
19260924,106,-167
19260925,167,-144
19260926,211,-56
19260927,183,-117
19260928,228,-33
19260929,194,33
19260930,128,-6
19261001,139,-83
19261002,144,-28
19261003,161,-33
19261004,156,-56
19261005,183,-67
19261006,206,-22
19261007,183,11
19261008,111,-56
19261009,183,-33
19261010,206,28
19261011,200,-28
19261012,144,-28
19261013,200,-11
19261014,211,0
19261015,200,0
19261016,189,61
19261017,239,56
19261018,133,17
19261019,161,-39
19261020,183,-22
19261021,189,-6
19261022,172,-6
19261023,211,0
19261024,189,-11
19261025,200,0
19261026,200,11
19261027,167,44
19261028,94,-44
19261029,78,-61
19261030,111,-61
19261031,167,-94
19261101,133,-89
19261102,144,-44
19261103,133,-17
19261104,139,-56
19261105,144,-39
19261106,144,-11
19261107,83,-44
19261108,94,-94
19261109,106,-39
19261110,111,-39
19261111,111,-11
19261112,33,-28
19261113,22,-39
19261114,28,-94
19261115,22,-78
19261116,39,-44
19261117,0,-133
19261118,22,-61
19261119,11,-78
19261120,72,0
19261121,67,-11
19261122,61,0
19261123,67,0
19261124,67,0
19261125,72,-11
19261126,56,-22
19261127,33,-22
19261128,11,-33
19261129,44,-17
19261130,50,0
19261201,100,0
19261202,94,0
19261203,67,17
19261204,67,-6
19261205,78,-22
19261206,39,-50
19261207,28,-33
19261208,17,-50
19261209,11,-106
19261210,-11,-83
19261211,9999,9999
19261212,9999,9999
19261213,-183,-228
19261214,-122,-278
19261215,-78,-250
19261216,-22,-128
19261217,-11,-94
19261218,0,-44
19261219,-6,-78
19261220,-33,-111
19261221,-39,-117
19261222,9999,9999
19261223,9999,9999
19261224,9999,9999
19261225,9999,9999
19261226,-28,-233
19261227,-17,-211
19261228,-22,-206
19261229,-17,-200
19261230,17,-167
19261231,0,-122
19270101,6,-128
19270102,28,-78
19270103,0,-111
19270104,50,-72
19270105,111,-61
19270106,50,-44
19270107,11,-111
19270108,-11,-78
19270109,-22,-144
19270110,44,-139
19270111,-6,-39
19270112,-17,-111
19270113,11,-117
19270114,50,-56
19270115,67,-67
19270116,67,-56
19270117,-22,-72
19270118,-11,-78
19270119,-56,-167
19270120,-139,-172
19270121,-106,-267
19270122,-94,-272
19270123,-39,-228
19270124,0,-194
19270125,-6,-150
19270126,-11,-172
19270127,-17,-94
19270128,11,-94
19270129,11,-167
19270130,-22,-156
19270131,-56,-144
19270201,11,-94
19270202,22,0
19270203,61,-22
19270204,44,-39
19270205,33,-72
19270206,0,-122
19270207,39,-144
19270208,-28,-144
19270209,0,-239
19270210,-11,-222
19270211,-11,-189
19270212,-44,-161
19270213,-44,-161
19270214,-22,-133
19270215,17,-67
19270216,22,-50
19270217,28,-67
19270218,11,-39
19270219,17,-128
19270220,39,-39
19270221,72,-17
19270222,56,-100
19270223,-6,-139
19270224,11,-161
19270225,44,-150
19270226,61,-50
19270227,6,-111
19270228,22,-111
19270301,56,-67
19270302,61,-78
19270303,72,-61
19270304,50,-39
19270305,72,-50
19270306,94,-67
19270307,72,-100
19270308,44,-78
19270309,33,-72
19270310,56,-56
19270311,39,-144
19270312,44,-111
19270313,72,-17
19270314,67,-17
19270315,33,-106
19270316,28,-106
19270317,28,-78
19270318,6,-94
19270319,6,-128
