Date,TMax,TMin
19480101,-33,-156
19480102,-22,-89
19480103,-56,-128
19480104,-17,-100
19480105,11,-72
19480106,-56,-156
19480107,-28,-150
19480108,-22,-67
19480109,-39,-200
19480110,-106,-261
19480111,0,-133
19480112,-78,-228
19480113,-189,-267
19480114,-172,-300
19480115,-122,-256
19480116,-244,-322
19480117,-217,-322
19480118,-133,-317
19480119,-122,-256
19480120,-50,-194
19480121,-178,-261
19480122,-233,-289
19480123,-178,-328
19480124,-133,-289
19480125,-111,-189
19480126,-156,-272
19480127,-194,-306
19480128,-72,-272
19480129,-61,-161
19480130,-89,-144
19480131,-78,-211
19480201,-28,-178
19480202,-178,-267
19480203,-183,-317
19480204,-100,-306
19480205,-94,-206
19480206,-122,-233
19480207,-150,-261
19480208,-194,-322
19480209,-150,-267
19480210,-106,-289
19480211,-111,-194
19480212,-83,-233
19480213,-28,-167
19480214,-56,-194
19480215,-50,-178
19480216,50,-83
19480217,44,-111
19480218,-39,-117
19480219,-33,-233
19480220,-156,-272
19480221,-133,-272
19480222,-56,-167
19480223,-11,-78
19480224,17,-78
19480225,-17,-150
19480226,-6,-78
19480227,-28,-56
19480228,-56,-106
19480229,-67,-133
19480301,-28,-200
19480302,-39,-89
19480303,-56,-156
19480304,-67,-217
19480305,-33,-228
19480306,-33,-78
19480307,-28,-61
19480308,-56,-206
19480309,-156,-261
19480310,-178,-322
19480311,-133,-311
19480312,-33,-228
19480313,6,-211
19480314,28,-50
19480315,39,-56
19480316,28,-50
19480317,-33,-94
19480318,6,-83
19480319,89,-6
19480320,17,-67
19480321,17,-22
19480322,61,-100
19480323,111,6
19480324,17,-44
19480325,39,-39
19480326,11,-78
19480327,-28,-128
19480328,44,-78
19480329,-6,-100
19480330,-11,-100
19480331,22,-22
19480401,17,-56
19480402,6,-83
19480403,50,-83
19480404,128,11
19480405,83,-17
19480406,61,-17
19480407,22,-6
19480408,6,-61
19480409,22,-100
19480410,94,-22
19480411,44,-33
19480412,83,-50
19480413,67,-22
19480414,128,-33
19480415,72,-11
19480416,72,-17
19480417,144,-28
19480418,172,39
19480419,61,39
19480420,150,11
19480421,189,44
19480422,167,56
19480423,94,61
19480424,139,50
19480425,167,44
19480426,194,94
19480427,111,50
19480428,122,11
19480429,94,-6
19480430,133,-6
19480501,139,11
19480502,100,11
19480503,133,6
19480504,172,28
19480505,128,28
19480506,122,11
19480507,89,-28
19480508,106,-44
19480509,122,6
19480510,78,-11
19480511,100,22
19480512,167,11
19480513,167,44
19480514,200,17
19480515,200,56
19480516,117,67
19480517,211,44
19480518,117,11
19480519,178,11
19480520,283,133
19480521,250,89
19480522,278,67
19480523,150,33
19480524,178,33
19480525,228,33
19480526,278,133
19480527,167,67
19480528,161,56
19480529,200,17
19480530,239,67
19480531,272,100
19480601,289,106
19480602,311,161
19480603,322,167
19480604,200,67
19480605,178,39
19480606,250,39
19480607,217,128
19480608,233,117
19480609,244,106
19480610,239,117
19480611,211,78
19480612,211,78
19480613,239,72
19480614,161,50
19480615,183,17
19480616,194,78
19480617,156,78
19480618,122,83
19480619,228,83
19480620,261,117
19480621,128,100
19480622,156,83
19480623,200,89
19480624,200,122
19480625,144,78
19480626,178,72
19480627,217,78
19480628,217,100
19480629,228,106
19480630,189,67
19480701,200,44
19480702,217,122
19480703,261,89
19480704,311,106
19480705,339,194
19480706,222,128
19480707,256,122
19480708,333,139
19480709,322,183
19480710,306,183
19480711,283,156
19480712,256,144
19480713,217,111
19480714,233,94
19480715,217,100
19480716,272,128
19480717,244,150
19480718,222,128
19480719,267,128
19480720,239,133
19480721,161,89
19480722,150,106
19480723,239,89
19480724,267,128
19480725,244,139
19480726,228,122
19480727,244,128
19480728,267,128
19480729,211,161
19480730,217,133
19480731,233,111
19480801,206,94
19480802,239,89
19480803,189,89
19480804,222,78
19480805,233,89
19480806,256,89
19480807,261,100
19480808,217,94
19480809,156,106
19480810,239,133
19480811,222,144
19480812,217,106
19480813,250,100
19480814,261,106
19480815,278,144
19480816,250,128
19480817,261,139
19480818,250,117
19480819,256,106
19480820,278,156
19480821,267,133
19480822,289,100
19480823,300,161
19480824,344,172
19480825,322,194
19480826,328,167
19480827,283,183
19480828,289,178
19480829,244,128
19480830,250,100
19480831,222,128
19480901,283,133
19480902,289,106
19480903,311,144
19480904,300,144
19480905,294,150
19480906,211,156
19480907,189,94
19480908,211,67
19480909,167,44
19480910,183,56
19480911,278,100
19480912,306,122
19480913,217,61
19480914,139,83
19480915,183,117
19480916,317,128
19480917,294,172
19480918,217,100
19480919,211,67
19480920,167,83
19480921,133,56
19480922,156,44
19480923,167,33
19480924,183,56
19480925,183,61
19480926,228,44
19480927,222,50
19480928,239,61
19480929,233,50
19480930,250,50
19481001,144,22
19481002,139,-11
19481003,167,-22
19481004,156,11
19481005,172,44
19481006,172,94
19481007,139,72
19481008,161,56
19481009,89,17
19481010,83,-6
19481011,117,39
19481012,100,11
19481013,172,-28
19481014,150,22
19481015,206,33
19481016,61,-50
19481017,-22,-78
19481018,122,-50
19481019,100,-17
19481020,89,11
19481021,111,33
19481022,111,-6
19481023,111,-33
19481024,161,0
19481025,178,33
19481026,183,22
19481027,172,11
19481028,189,11
19481029,117,44
19481030,117,78
19481031,133,67
19481101,156,28
19481102,94,33
19481103,100,50
19481104,89,67
19481105,89,67
19481106,67,11
19481107,50,-22
19481108,44,-56
19481109,39,-78
19481110,22,-67
19481111,22,-56
19481112,33,-67
19481113,-11,-106
19481114,0,-33
19481115,28,-67
19481116,39,-6
19481117,50,-39
19481118,0,-50
19481119,-11,-39
19481120,-17,-78
19481121,-44,-122
19481122,-72,-106
19481123,-33,-111
19481124,-22,-44
19481125,0,-33
19481126,6,-44
19481127,-33,-67
19481128,-33,-122
19481129,-17,-106
19481130,-28,-111
19481201,-6,-128
19481202,22,-67
19481203,44,-28
19481204,44,-11
19481205,28,-28
19481206,-28,-72
19481207,-44,-94
19481208,-78,-133
19481209,-94,-233
19481210,-100,-289
19481211,-17,-100
19481212,-17,-183
19481213,-83,-172
19481214,-44,-183
19481215,-11,-44
19481216,-33,-178
19481217,-106,-172
19481218,-67,-189
19481219,-67,-183
19481220,-33,-89
19481221,-33,-128
19481222,-122,-183
19481223,-133,-217
19481224,-128,-233
19481225,-156,-283
19481226,-94,-206
19481227,-50,-144
19481228,-44,-89
19481229,-56,-178
19481230,-50,-211
19481231,-56,-139
19490101,-39,-144
19490102,-33,-100
19490103,-11,-83
19490104,0,-28
19490105,0,-122
19490106,11,-122
19490107,39,-39
19490108,-17,-89
19490109,-89,-206
19490110,-133,-228
19490111,-100,-222
19490112,-78,-144
19490113,-11,-100
19490114,-22,-61
19490115,17,-22
19490116,6,-161
19490117,-83,-178
19490118,-83,-217
19490119,-217,-289
19490120,-117,-261
19490121,-106,-256
19490122,-106,-272
19490123,-50,-106
19490124,-50,-128
19490125,-83,-189
19490126,-61,-183
19490127,-106,-222
19490128,-139,-261
19490129,-189,-311
19490130,-117,-228
19490131,-61,-144
19490201,-133,-267
19490202,-183,-311
19490203,-100,-200
19490204,-67,-239
19490205,-78,-233
19490206,-72,-189
19490207,-72,-222
19490208,-78,-233
19490209,-122,-239
19490210,-122,-272
19490211,-28,-150
19490212,-22,-183
19490213,-122,-211
19490214,-144,-311
19490215,-33,-150
19490216,-94,-222
19490217,-33,-239
19490218,-33,-172
19490219,-78,-161
19490220,-94,-183
19490221,-44,-100
19490222,-22,-122
19490223,-11,-44
19490224,-44,-139
19490225,-33,-172
19490226,-22,-111
19490227,-56,-189
19490228,-94,-250
19490301,-56,-194
19490302,-17,-133
19490303,11,-111
19490304,67,-6
19490305,6,-117
19490306,-67,-194
19490307,28,-133
19490308,17,-144
19490309,-78,-194
19490310,-61,-144
19490311,-39,-183
19490312,-17,-172
19490313,-28,-167
19490314,-117,-222
19490315,-72,-222
19490316,-61,-156
19490317,-50,-167
19490318,-89,-178
19490319,-39,-228
19490320,-6,-89
19490321,-17,-61
19490322,-11,-100
19490323,-11,-139
19490324,0,-28
19490325,28,0
19490326,78,-39
19490327,28,-6
19490328,33,-6
19490329,67,-28
19490330,33,-33
19490331,28,-56
19490401,44,-83
19490402,72,-72
19490403,111,-39
19490404,111,-17
19490405,44,0
19490406,50,-33
19490407,61,-6
19490408,67,-22
19490409,83,-39
19490410,167,-28
19490411,183,-11
19490412,211,61
19490413,83,-17
19490414,6,-39
19490415,44,-44
19490416,78,-67
19490417,17,-33
19490418,78,-44
19490419,133,-39
19490420,211,61
19490421,167,44
19490422,167,33
19490423,61,-11
19490424,28,-56
19490425,183,-33
19490426,206,33
19490427,189,6
19490428,222,33
19490429,244,83
19490430,244,94
19490501,139,83
19490502,183,78
19490503,283,83
19490504,189,106
19490505,139,89
19490506,167,56
19490507,200,28
19490508,233,67
19490509,83,0
19490510,111,-17
19490511,217,33
19490512,122,33
19490513,222,33
19490514,100,11
19490515,206,0
19490516,250,67
19490517,161,56
19490518,250,33
19490519,67,-11
19490520,111,-11
19490521,156,28
19490522,183,56
19490523,133,28
19490524,122,-6
19490525,133,44
19490526,167,11
19490527,172,17
19490528,200,17
19490529,172,61
19490530,156,56
19490531,200,67
19490601,222,111
19490602,217,117
19490603,261,111
19490604,150,83
19490605,267,56
19490606,200,67
19490607,156,28
19490608,172,17
19490609,200,78
19490610,294,128
19490611,328,167
19490612,306,150
19490613,228,111
19490614,161,89
19490615,228,94
19490616,222,122
19490617,283,161
19490618,228,139
19490619,144,78
19490620,167,78
19490621,250,122
19490622,261,117
19490623,267,100
19490624,283,111
19490625,283,144
19490626,261,150
19490627,244,150
19490628,272,133
19490629,256,111
19490630,294,150
19490701,300,139
19490702,311,128
19490703,333,183
19490704,256,133
19490705,156,122
19490706,128,117
19490707,156,111
19490708,217,122
19490709,233,133
19490710,244,100
19490711,211,150
19490712,267,133
19490713,222,100
19490714,278,128
19490715,278,133
19490716,300,122
19490717,294,178
19490718,256,139
19490719,211,117
19490720,189,106
19490721,256,111
19490722,239,106
19490723,272,106
19490724,322,156
19490725,294,183
19490726,306,194
19490727,278,200
19490728,278,178
19490729,206,139
19490730,239,106
19490731,261,122
19490801,217,128
19490802,222,128
19490803,261,100
19490804,261,117
19490805,283,150
19490806,283,139
19490807,350,178
19490808,339,200
19490809,322,206
19490810,289,189
19490811,206,156
19490812,228,144
19490813,267,144
19490814,278,144
19490815,256,156
19490816,256,167
19490817,239,167
19490818,233,139
19490819,183,83
19490820,217,50
19490821,261,100
19490822,283,133
19490823,183,117
19490824,211,128
19490825,289,178
19490826,300,178
19490827,250,111
19490828,217,83
19490829,256,89
19490830,167,72
19490831,128,50
19490901,206,28
19490902,267,100
19490903,228,122
19490904,183,100
19490905,144,67
19490906,167,83
19490907,167,67
19490908,200,67
19490909,272,106
19490910,194,106
19490911,144,117
19490912,161,89
19490913,94,44
19490914,133,33
19490915,189,28
19490916,183,33
19490917,211,94
19490918,194,72
19490919,133,78
19490920,144,33
19490921,167,56
19490922,128,50
19490923,128,17
19490924,211,17
19490925,183,50
19490926,156,83
19490927,111,33
19490928,100,-6
19490929,189,11
19490930,189,0
19491001,139,61
19491002,217,106
19491003,222,67
19491004,167,44
19491005,139,56
19491006,167,89
19491007,111,67
19491008,111,67
19491009,111,17
19491010,206,78
19491011,100,22
19491012,167,0
19491013,156,56
19491014,139,11
19491015,161,22
19491016,189,83
19491017,117,44
19491018,150,44
19491019,117,78
19491020,100,17
19491021,72,-11
19491022,78,-11
19491023,44,-22
19491024,17,-50
19491025,17,-33
19491026,50,-61
19491027,144,11
19491028,139,-11
19491029,161,44
19491030,44,-39
19491031,33,-89
19491101,111,0
19491102,0,-67
19491103,44,-56
19491104,28,-22
19491105,89,-22
19491106,150,17
19491107,167,39
19491108,94,-11
19491109,61,17
19491110,50,22
19491111,28,17
19491112,33,6
19491113,33,-11
19491114,0,-33
19491115,0,-28
19491116,6,-22
19491117,0,-39
19491118,-6,-50
19491119,0,-33
19491120,-33,-106
19491121,-61,-122
19491122,0,-94
19491123,-50,-122
19491124,-44,-122
19491125,-56,-128
19491126,-28,-78
19491127,0,-72
19491128,67,0
19491129,56,-6
19491130,17,-100
19491201,-78,-161
19491202,-17,-189
19491203,11,-33
19491204,-28,-78
19491205,-56,-122
19491206,-44,-122
19491207,-83,-172
19491208,-83,-189
19491209,-78,-161
19491210,-11,-78
19491211,72,-106
19491212,-106,-206
19491213,-178,-228
19491214,-172,-256
19491215,-94,-211
19491216,-6,-139
19491217,0,-50
19491218,-33,-50
19491219,-11,-61
19491220,0,-183
19491221,-111,-228
19491222,-156,-239
19491223,-178,-261
19491224,-61,-267
19491225,11,-194
19491226,-100,-228
19491227,-83,-178
19491228,-94,-206
19491229,-50,-211
19491230,33,-50
19491231,17,-122
19500101,11,-56
19500102,0,-78
19500103,-78,-217
19500104,-189,-267
19500105,-178,-283
19500106,-122,-228
19500107,-156,-267
19500108,-22,-167
19500109,-22,-111
19500110,-17,-239
19500111,-72,-278
19500112,-39,-167
19500113,-50,-178
19500114,-117,-261
19500115,-56,-278
19500116,-211,-306
19500117,-122,-278
19500118,-239,-344
19500119,-206,-289
19500120,-150,-250
19500121,-100,-178
19500122,-94,-144
19500123,-106,-183
19500124,-61,-122
19500125,-122,-244
19500126,-233,-300
19500127,-178,-322
19500128,-44,-228
19500129,-189,-317
19500130,-194,-361
19500131,-139,-217
19500201,-111,-256
19500202,-111,-211
19500203,-39,-200
19500204,-61,-183
19500205,17,-89
19500206,-39,-117
19500207,-33,-78
19500208,0,-128
19500209,0,-161
19500210,-33,-94
19500211,-67,-167
19500212,-94,-139
19500213,-50,-111
19500214,-33,-72
19500215,-28,-122
19500216,17,-150
19500217,22,-100
19500218,-28,-150
19500219,-122,-194
19500220,-117,-172
19500221,-61,-144
19500222,-67,-172
19500223,-78,-261
19500224,-178,-300
19500225,-128,-283
19500226,-50,-239
19500227,-11,-172
19500228,-17,-150
19500301,-139,-250
19500302,-144,-294
19500303,-100,-261
19500304,39,-106
19500305,28,-56
19500306,0,-78
19500307,11,-178
19500308,-133,-206
19500309,-106,-250
19500310,-61,-200
19500311,-133,-222
19500312,-61,-250
19500313,-94,-189
19500314,-56,-167
19500315,-39,-206
19500316,-28,-111
19500317,-33,-144
19500318,-39,-217
19500319,-39,-194
19500320,-6,-78
19500321,0,-28
19500322,39,-61
19500323,44,-111
19500324,28,-50
19500325,50,-56
19500326,0,-17
19500327,-6,-67
19500328,-33,-94
19500329,6,-156
19500330,17,-89
19500331,6,-67
19500401,39,-50
19500402,-11,-39
19500403,0,-39
19500404,17,-67
19500405,0,-111
19500406,28,-133
19500407,17,-100
19500408,-67,-122
19500409,-28,-94
19500410,0,-28
19500411,-22,-89
19500412,-56,-144
19500413,0,-128
19500414,44,-122
19500415,78,-67
19500416,117,28
19500417,111,28
19500418,67,11
19500419,17,-17
19500420,28,-56
19500421,67,-67
19500422,117,17
19500423,22,-17
19500424,17,-22
19500425,-11,-50
19500426,-11,-67
19500427,0,-56
19500428,17,-33
19500429,6,-33
19500430,0,-28
19500501,39,-11
19500502,28,-44
19500503,6,0
19500504,22,0
19500505,94,17
19500506,33,6
19500507,33,-28
19500508,39,-28
19500509,56,11
19500510,150,6
19500511,211,33
19500512,39,-17
19500513,156,-28
19500514,183,33
19500515,72,-6
19500516,61,-17
19500517,83,-6
19500518,150,6
19500519,183,33
19500520,189,39
19500521,167,56
19500522,239,56
19500523,267,94
19500524,211,117
19500525,183,72
19500526,150,44
19500527,211,22
19500528,211,56
19500529,233,100
19500530,178,83
19500531,167,61
19500601,200,83
19500602,144,50
19500603,161,28
19500604,250,72
19500605,283,133
19500606,167,61
19500607,272,72
19500608,161,67
19500609,189,83
19500610,200,72
19500611,250,100
19500612,267,111
19500613,278,122
19500614,233,94
19500615,272,117
19500616,167,44
19500617,150,33
19500618,183,61
19500619,250,61
19500620,178,83
19500621,211,44
19500622,211,89
19500623,283,144
19500624,267,144
19500625,183,94
19500626,150,83
19500627,244,72
19500628,172,89
19500629,200,72
19500630,183,50
19500701,206,56
19500702,189,61
19500703,156,83
19500704,183,78
19500705,211,72
19500706,261,111
19500707,278,144
19500708,267,150
19500709,222,144
19500710,272,117
19500711,261,150
19500712,239,89
19500713,172,61
19500714,122,72
19500715,172,67
19500716,233,133
19500717,189,117
19500718,244,122
19500719,189,83
19500720,233,61
19500721,256,117
19500722,244,128
19500723,189,117
19500724,261,106
19500725,256,122
19500726,272,122
19500727,289,139
19500728,317,161
19500729,311,161
19500730,167,111
19500731,128,94
19500801,133,89
19500802,206,89
19500803,183,89
19500804,211,72
19500805,239,78
19500806,239,100
19500807,250,161
19500808,300,133
19500809,278,122
19500810,172,72
19500811,194,61
19500812,206,61
19500813,222,72
19500814,250,139
19500815,278,150
19500816,311,128
19500817,178,56
19500818,189,33
19500819,122,56
19500820,200,33
19500821,161,78
19500822,233,61
19500823,189,72
19500824,150,72
19500825,156,44
19500826,156,44
19500827,222,78
19500828,167,106
19500829,172,72
19500830,256,67
19500831,239,111
19500901,239,67
19500902,244,100
19500903,206,83
19500904,200,61
19500905,244,56
19500906,256,100
19500907,261,83
19500908,233,117
19500909,194,100
19500910,133,83
19500911,83,56
19500912,100,72
19500913,139,83
19500914,183,83
19500915,178,39
19500916,133,72
19500917,183,72
19500918,200,106
19500919,122,67
19500920,217,56
19500921,89,44
19500922,206,61
19500923,133,0
19500924,194,-11
19500925,272,100
19500926,228,100
19500927,172,89
19500928,200,50
19500929,122,72
19500930,100,72
19501001,144,83
19501002,128,17
19501003,61,-17
19501004,111,-11
19501005,83,17
19501006,139,61
19501007,183,44
19501008,100,28
19501009,156,28
19501010,156,39
19501011,161,50
19501012,139,28
19501013,133,0
19501014,111,33
19501015,72,28
19501016,161,44
19501017,106,11
19501018,228,44
19501019,117,6
19501020,150,-22
19501021,83,6
19501022,17,-6
19501023,50,-17
19501024,67,17
19501025,83,-22
19501026,94,22
19501027,144,50
19501028,172,50
19501029,211,56
19501030,200,56
19501031,233,44
19501101,94,0
19501102,22,-22
19501103,0,-39
19501104,17,-78
19501105,61,-11
19501106,61,6
19501107,6,-11
19501108,11,-28
19501109,-17,-72
19501110,-72,-139
19501111,-67,-144
19501112,-78,-183
19501113,0,-89
19501114,56,-22
19501115,50,-28
19501116,0,-72
19501117,-6,-133
19501118,39,-56
19501119,-28,-156
19501120,-61,-161
19501121,-44,-106
19501122,-22,-100
19501123,-100,-217
19501124,-67,-183
19501125,-39,-94
19501126,-56,-106
19501127,-67,-122
19501128,-50,-94
19501129,-50,-133
19501130,-106,-178
19501201,-50,-183
19501202,0,-67
19501203,-67,-189
19501204,-139,-233
19501205,-111,-144
19501206,-17,-111
19501207,0,-67
19501208,-56,-89
19501209,-56,-117
19501210,-83,-139
19501211,-56,-122
19501212,-44,-111
19501213,-111,-194
19501214,-122,-222
19501215,-117,-189
19501216,-144,-244
19501217,-144,-256
19501218,-128,-222
19501219,-106,-200
19501220,-100,-206
19501221,-89,-200
19501222,-44,-161
19501223,39,-156
19501224,-156,-244
19501225,-161,-244
19501226,-200,-294
19501227,-144,-256
19501228,-89,-211
19501229,-111,-200
19501230,-100,-200
19501231,11,-178
19510101,6,-172
19510102,-117,-211
19510103,-78,-200
19510104,-67,-144
19510105,-144,-244
19510106,-172,-289
19510107,-133,-250
19510108,-106,-233
19510109,-11,-144
19510110,-22,-128
19510111,-67,-183
19510112,-56,-206
19510113,-22,-94
19510114,-28,-61
19510115,-44,-117
19510116,-22,-128
19510117,-11,-83
19510118,6,-133
19510119,-61,-139
19510120,-122,-233
19510121,-144,-294
19510122,-78,-178
19510123,-61,-144
19510124,-78,-189
19510125,-133,-222
19510126,-172,-233
19510127,-189,-267
19510128,-244,-328
19510129,-267,-372
19510130,-178,-356
19510131,-172,-300
19510201,-206,-339
19510202,-117,-289
19510203,-83,-183
19510204,-78,-133
19510205,-78,-144
19510206,-56,-228
19510207,-200,-283
19510208,-194,-322
19510209,-161,-317
19510210,-39,-161
19510211,-56,-100
19510212,-100,-228
19510213,-139,-300
19510214,-94,-222
19510215,-39,-167
19510216,-17,-94
19510217,22,-33
19510218,11,0
19510219,11,-22
19510220,17,-67
19510221,11,-128
19510222,-11,-83
19510223,-6,-67
19510224,50,-11
19510225,33,6
19510226,11,-106
19510227,-72,-133
19510228,-72,-133
19510301,-61,-122
19510302,-89,-206
19510303,-44,-128
19510304,-78,-189
19510305,-11,-200
19510306,6,-172
19510307,-106,-228
