Date,Precipitation,TMax,TMin
19130601,0,389,194
19130602,0,389,211
19130603,0,389,211
19130604,0,356,200
19130605,0,350,206
19130606,20,344,222
19130607,18,344,189
19130608,25,267,189
19130609,79,228,172
19130610,5,211,150
19130611,0,233,178
19130612,0,278,122
19130613,0,311,133
19130614,0,333,156
19130615,0,339,144
19130616,0,350,194
19130617,140,311,189
19130618,46,278,206
19130619,0,328,206
19130620,0,350,211
19130621,0,361,200
19130622,0,367,211
19130623,0,339,233
19130624,0,361,244
19130625,0,356,244
19130626,0,367,233
19130627,18,361,222
19130628,20,328,233
19130629,25,333,228
19130630,51,344,222
19130701,51,322,244
19130702,0,322,222
19130703,8,300,222
19130704,0,344,233
19130705,0,361,233
19130706,0,389,211
19130707,0,406,217
19130708,0,411,233
19130709,0,422,233
19130710,0,433,256
19130711,0,406,244
19130712,0,372,244
19130713,0,372,244
19130714,0,378,244
19130715,0,383,239
19130716,0,372,211
19130717,0,389,228
19130718,0,394,222
19130719,0,411,206
19130720,0,356,256
19130721,0,372,200
19130722,0,394,200
19130723,0,411,233
19130724,51,417,222
19130725,10,344,206
19130726,97,367,217
19130727,432,339,211
19130728,0,350,233
19130729,0,361,239
19130730,0,389,222
19130731,0,372,228
19130801,0,361,233
19130802,0,361,217
19130803,0,361,211
19130804,0,389,222
19130805,0,378,217
19130806,0,389,200
19130807,0,406,211
19130808,0,394,233
19130809,0,378,256
19130810,0,383,250
19130811,0,389,244
19130812,0,383,256
19130813,0,367,233
19130814,0,367,233
19130815,0,383,239
19130816,0,389,239
19130817,0,378,233
19130818,0,356,211
19130819,0,378,206
19130820,0,389,239
19130821,0,394,217
19130822,0,350,228
19130823,0,372,217
19130824,0,378,144
19130825,0,389,206
19130826,0,394,211
19130827,0,389,211
19130828,0,378,239
19130829,0,389,217
19130830,0,406,222
19130831,0,383,217
19130901,0,367,233
19130902,0,367,233
19130903,0,361,222
19130904,0,378,200
19130905,0,411,200
19130906,0,411,222
19130907,51,356,200
19130908,0,394,211
19130909,97,311,211
19130910,8,300,222
19130911,25,267,211
19130912,356,256,189
19130913,23,200,150
19130914,137,167,133
19130915,10,217,156
19130916,0,250,183
19130917,13,283,178
19130918,0,294,156
19130919,0,328,156
19130921,0,256,61
19130923,0,311,189
19130924,0,289,194
19130925,396,256,167
19130926,10,189,128
19130927,38,183,144
19130928,0,244,144
19130929,0,300,122
19130930,0,300,144
19131001,81,261,200
19131002,15,233,189
19131003,97,256,194
19131004,130,256,200
19131005,0,317,217
19131006,0,294,167
19131007,0,300,200
19131008,0,306,172
19131009,147,289,178
19131010,53,289,217
19131011,0,256,89
19131012,0,256,67
19131013,0,256,89
19131014,0,256,117
19131015,0,272,156
19131016,69,222,144
19131017,0,150,117
19131018,0,150,106
19131019,0,150,44
19131020,0,156,61
