Date,Precipitation,TMax,TMin
19410601,0,183,-6
19410602,0,206,28
19410603,0,244,83
19410604,0,256,111
19410605,0,222,67
19410606,0,261,44
19410607,0,250,56
19410608,0,228,39
19410609,0,250,28
19410610,0,272,50
19410612,198,172,106
19410613,0,211,89
19410614,0,239,83
19410615,0,256,33
19410616,0,211,111
19410617,3,228,61
19410618,89,222,44
19410619,0,233,50
19410621,0,244,100
19410622,66,178,94
19410623,81,167,94
19410624,8,133,89
19410625,3,161,78
19410626,0,200,11
19410627,74,244,83
19410628,38,189,56
19410629,0,206,61
19410630,0,200,83
19410701,0,244,106
19410702,56,222,106
19410703,18,183,111
19410704,8,206,78
19410705,0,189,67
19410706,3,217,89
19410707,310,194,111
19410708,13,200,106
19410709,15,161,106
19410710,8,156,94
19410711,3,156,72
19410712,221,194,67
19410713,0,211,100
19410714,25,222,89
19410715,46,194,100
19410716,107,200,100
19410717,64,194,100
19410718,0,189,56
19410719,0,189,106
19410720,5,200,56
19410721,0,233,89
19410722,36,150,33
19410723,23,167,100
19410724,61,167,94
19410725,10,156,89
19410726,84,156,83
19410727,28,122,50
19410728,10,150,28
19410729,28,189,89
19410730,3,178,83
19410731,25,183,39
19410801,33,183,83
19410802,64,194,117
19410803,43,172,117
19410804,3,206,100
19410805,94,161,111
19410806,69,167,117
19410807,18,144,89
19410808,41,139,94
19410809,5,144,72
19410810,0,144,22
19410811,8,172,89
19410812,0,228,50
19410813,64,233,78
19410814,0,217,39
19410815,0,239,44
19410816,0,244,50
19410817,0,256,61
19410818,0,250,128
19410819,0,233,67
19410820,0,200,78
19410821,0,156,89
19410822,0,167,100
19410823,0,222,56
19410824,0,250,22
19410825,0,261,50
19410826,0,267,39
19410827,0,239,44
19410828,46,217,111
19410829,8,206,72
19410830,0,211,61
19410831,0,200,89
19410901,0,222,83
19410902,0,178,39
19410903,0,167,44
19410904,15,156,72
19410905,38,150,67
19410906,0,172,6
19410907,0,167,61
19410908,3,194,11
19410909,3,167,33
19410910,8,128,89
19410911,33,128,89
19410912,0,128,22
19410913,0,117,-28
19410914,0,100,-39
19410915,0,100,-61
19410916,0,100,-72
19410917,10,100,0
19410918,135,94,44
19410919,5,106,44
19410920,0,83,-17
19410921,0,67,-83
19410922,0,89,-61
19410923,0,128,-67
19410924,0,139,72
19410925,0,144,-28
19410926,0,139,-28
19410927,0,128,-44
19410928,0,122,-39
19410929,0,139,-39
19410930,0,133,-50
19411001,0,128,-17
19411002,3,94,22
19411003,0,61,-28
19411004,335,56,6
19411005,173,78,0
19411006,25,83,33
19411007,5,50,0
19411008,0,33,-44
19411009,3,17,-17
19411010,0,28,-78
19411011,0,28,-67
19411012,0,-11,-128
19411013,0,-28,-139
19411014,0,-56,-189
19411015,0,-56,-189
19411016,0,-56,-189
19411017,0,-56,-156
19411018,0,-11,-167
19411019,0,-17,-150
19411020,0,-11,-150
19411021,0,-22,-133
19411022,3,17,-33
19411023,0,17,-94
19411024,0,11,-111
19411025,36,22,-72
19411026,43,33,-50
19411027,99,17,-11
19411028,0,11,-22
19411029,8,11,-39
19411030,53,-33,-89
19411031,30,-44,-100
19411101,3,-33,-83
19411102,0,-22,-178
19411103,0,-67,-228
19411104,0,-83,-239
19411105,0,-106,-267
19411106,0,-117,-183
19411107,0,-122,-172
19411108,0,-111,-139
19411109,0,-106,-261
19411110,0,-144,-233
19411111,0,-128,-244
19411112,5,-122,-211
19411113,0,-139,-294
19411114,0,-161,-256
19411115,3,-156,-244
19411116,0,-167,-250
19411117,86,-56,-233
19411118,23,17,-56
19411119,0,-56,-183
19411120,0,-111,-167
19411121,175,11,-172
19411122,81,22,-22
19411123,0,6,-144
19411124,0,-94,-328
19411125,5,-233,-311
19411126,0,-239,-389
19411127,0,-294,-378
19411128,0,-311,-367
19411129,0,-294,-367
19411130,33,-222,-361
19411201,10,-122,-317
19411202,0,-122,-361
19411203,0,-194,-356
19411204,0,-233,-389
19411205,0,-306,-394
19411206,0,-311,-411
19411207,0,-289,-367
19411208,3,-200,-306
19411209,0,-83,-244
19411210,18,-94,-161
19411211,53,-89,-244
19411212,0,-89,-211
19411213,0,-44,-206
19411214,0,-39,-128
19411215,0,-156,-194
19411216,0,-117,-183
19411217,0,-178,-244
19411218,3,-161,-244
19411219,0,-156,-322
19411220,0,-272,-356
19411221,0,-172,-300
19411222,8,-150,-228
19411223,0,-189,-322
19411224,0,-106,-217
19411225,0,-100,-183
19411226,0,-106,-172
19411227,0,-106,-250
19411228,0,-144,-244
19411229,5,-56,-150
19411230,307,-56,-72
19411231,208,-56,-167
19420101,0,-72,-156
19420102,5,6,-78
19420103,0,-17,-144
19420104,10,-28,-72
19420105,0,-22,-161
19420106,0,-117,-222
19420107,0,-156,-228
19420108,0,-150,-222
19420109,0,-167,-272
19420110,0,-161,-278
19420111,0,-67,-233
19420112,0,-61,-183
19420113,0,-128,-200
19420114,25,-122,-217
19420115,0,-117,-233
19420116,0,-178,-239
19420117,13,-139,-289
19420118,30,-133,-217
19420119,18,-111,-161
19420120,0,-100,-150
19420121,0,-100,-250
19420122,8,-122,-217
19420123,0,-150,-244
19420124,3,-156,-200
19420125,8,-156,-189
19420126,5,-150,-194
19420127,0,-161,-261
19420129,0,-178,-333
19420130,0,-200,-356
19420131,0,-189,-361
19420201,3,-150,-194
19420202,0,-144,-239
19420203,20,-122,-244
19420204,0,-111,-167
19420205,0,-122,-289
19420206,0,-150,-233
19420207,0,-133,-272
19420208,0,-144,-244
19420209,0,-139,-311
19420210,15,-144,-178
19420211,30,-72,-206
19420212,0,-6,-100
19420213,0,56,-94
19420214,0,61,-83
19420215,20,28,-28
19420216,0,28,-150
19420217,3,-22,-106
19420218,5,6,-56
19420219,0,17,-22
19420220,132,50,-28
19420221,0,50,-44
19420222,3,11,-106
19420223,89,17,-83
19420224,0,22,-61
19420225,5,-22,-78
19420226,0,-33,-194
19420227,0,-67,-261
19420228,0,-56,-294
19420301,5,-106,-294
19420302,0,-94,-289
19420303,0,-61,-256
19420304,0,-61,-283
19420305,0,-44,-211
19420306,15,-22,-128
19420307,13,-17,-111
19420308,0,-67,-272
19420309,56,22,-122
19420310,28,28,-117
19420311,0,-78,-167
19420312,0,-83,-300
19420313,0,-111,-283
19420314,0,-94,-300
19420315,0,-89,-317
19420316,0,-106,-328
19420317,0,-122,-333
19420318,13,-17,-317
19420319,5,-6,-144
19420320,0,-133,-306
19420321,0,-133,-356
19420322,0,-111,-339
19420323,5,-78,-289
19420324,23,-17,-133
19420325,0,-11,-206
19420326,0,-11,-206
19420327,0,17,-250
19420328,0,17,-244
19420329,0,-17,-283
19420330,0,-78,-294
19420331,0,-22,-233
19420401,0,-22,-167
19420402,58,6,-61
19420403,79,44,-17
19420404,0,22,-128
19420405,0,56,-106
19420406,0,61,-200
19420407,0,44,-206
19420408,0,50,-61
19420409,0,50,-11
19420410,5,72,-100
19420411,0,44,-78
19420412,0,72,-128
19420413,0,72,-78
19420414,0,61,-61
19420415,0,67,-89
19420416,0,56,-56
19420417,0,44,-122
19420418,0,89,-100
19420419,0,117,-67
19420420,0,117,-61
19420421,0,117,-67
19420422,0,106,-61
19420423,0,22,-67
19420424,0,50,-83
19420425,0,106,-22
19420426,5,72,11
19420427,0,61,-11
19420428,10,22,-6
19420429,0,33,-28
19420430,0,89,-22
19420501,0,100,-28
19420502,0,106,-33
19420503,0,89,11
19420504,0,89,11
19420505,0,78,33
19420506,10,72,-28
19420507,20,11,-44
19420508,0,139,-28
19420509,0,167,0
19420510,20,106,6
19420511,10,161,39
19420512,0,233,11
19420513,0,167,39
19420514,0,161,17
19420515,0,200,6
19420516,0,194,22
19420517,0,117,28
19420518,20,100,22
19420519,5,83,39
19420520,38,156,44
19420521,0,206,28
19420522,0,189,39
19420523,0,217,33
19420524,0,217,44
19420525,0,211,56
19420526,3,200,61
19420527,8,172,78
19420528,25,167,33
19420529,20,111,33
19420530,10,178,50
19420531,0,161,33
19420601,0,167,33
19420602,0,189,56
19420603,0,206,28
19420604,3,189,39
19420605,112,106,50
19420606,0,189,22
19420607,0,228,50
19420608,5,189,33
19420609,0,194,33
19420610,5,183,61
19420611,0,211,39
19420612,0,194,67
19420613,3,222,100
19420614,145,189,100
19420615,0,172,67
19420616,0,178,61
19420617,36,183,100
19420618,0,206,83
19420619,0,244,89
19420620,5,317,94
19420621,0,200,111
19420622,0,233,56
19420623,0,283,89
19420624,0,289,83
19420625,0,217,111
19420626,135,144,94
19420627,43,161,100
19420628,0,183,94
19420629,0,217,117
19420630,0,200,78
