Date,Precipitation,TMax,TMin
19510804,10,328,239
19510809,30,322,239
19510814,41,328,250
19510818,41,300,228
19511119,5,328,228
19511128,61,311,228
19511229,10,328,222
19520414,5,350,222
19520503,89,328,250
19520514,5,339,239
19520520,41,339,250
19520604,201,328,228
19520623,201,328,239
19520721,160,328,228
19520730,30,300,222
19520731,201,300,228
19520801,10,311,228
19520803,130,322,222
19520804,221,300,239
19520805,79,322,228
19520814,0,311,239
19520816,51,328,250
19520818,10,289,228
19520821,10,322,239
19520823,99,322,239
19520826,5,311,239
19520827,89,300,239
19520831,10,311,228
19520902,30,289,239
19520904,5,322,250
19520905,170,311,228
19520907,41,322,239
19520909,89,328,239
19520922,41,328,239
19520923,3,328,239
19520924,20,289,228
19520926,170,311,228
19520928,3,322,228
19520930,20,322,239
19521001,3,322,239
19521005,20,300,228
19521007,541,300,228
19521010,61,311,228
19521014,89,322,222
19521015,191,261,228
19521016,30,300,228
19521017,41,300,239
19521018,0,311,239
19521023,41,322,228
19521026,5,311,239
19521027,0,311,239
19521029,0,311,250
19521103,180,322,239
19521104,191,300,228
19521105,0,311,228
19521111,79,322,228
19521203,599,311,228
19521205,20,300,222
19521223,20,322,222
19521228,30,322,228
19530105,5,311,222
19530106,0,278,189
19530212,0,339,211
19530214,0,328,228
19530218,0,328,228
19530227,0,328,211
19530404,20,339,261
19530405,0,339,250
19530407,0,372,261
19530417,351,339,228
19530418,0,350,250
19530419,71,328,250
19530420,30,339,239
19530421,0,339,250
19530425,79,339,239
19530428,3,350,250
19530429,0,350,261
19530504,5,339,250
19530505,0,350,250
19530509,201,350,239
19530511,221,328,239
19530512,41,328,239
19530514,0,311,239
19530515,320,339,222
19530518,160,339,250
19530519,5,328,239
19530520,160,361,250
19530521,79,328,250
19530523,399,328,239
19530525,10,339,239
19530526,221,328,228
19530529,1100,339,239
19530601,201,339,250
19530602,10,350,239
19530604,71,339,261
19530605,99,328,250
19530607,99,322,250
19530608,10,322,239
19530611,599,339,239
19530615,79,272,228
19530617,201,322,250
19530618,191,322,239
19530619,41,289,239
19530620,259,322,239
19530621,3,328,239
19530622,20,328,250
19530623,0,328,239
19530625,10,339,250
19530626,0,339,250
19530627,5,328,239
19530628,0,278,250
19530629,0,322,250
19530630,30,322,250
19530701,3,328,261
19530703,20,322,239
19530705,0,339,250
19530706,20,311,228
19530707,0,328,228
19530714,119,328,239
19530715,51,328,250
19530716,0,328,250
19530717,0,328,239
19530718,10,339,239
19530722,51,322,250
19530724,259,322,239
19530726,160,300,228
19530802,20,311,250
19530804,109,322,239
19530805,10,328,239
19530811,10,311,228
19530814,61,328,250
19530817,20,328,250
19530819,10,328,250
19530820,5,311,239
19530821,119,300,250
19530822,30,311,239
19530823,0,311,228
19530825,0,328,239
19530828,460,328,239
19530902,79,300,239
19530904,191,328,239
19530905,269,311,239
19530906,140,322,239
19530912,0,328,250
19530916,0,322,228
19530917,51,322,239
19530918,99,311,239
19530919,71,311,239
19530920,899,311,239
19530921,150,311,239
19530922,419,311,239
19530925,140,289,239
19531001,30,322,239
19531002,140,311,239
19531003,0,328,239
19531008,20,339,239
19531009,0,328,250
19531010,10,328,228
19531013,0,339,239
19531014,191,322,228
19531015,140,311,222
19531016,3,322,228
19531019,71,322,239
19531021,701,311,228
19531022,0,322,239
19531023,10,322,228
19531024,30,322,228
19531103,119,311,239
19531104,79,300,239
19531105,0,322,228
19531106,99,311,239
19531115,71,322,228
19531120,0,272,211
19531123,0,311,239
19531215,0,322,228
19531220,119,311,222
19531223,0,322,222
19531224,5,322,228
19540310,89,300,222
19540311,170,322,239
19540312,0,328,239
19540322,20,350,228
19540323,0,339,228
19540430,109,311,239
19540502,71,328,239
19540521,41,322,239
19540526,0,328,250
19540602,371,300,239
19540604,20,328,239
19540606,10,322,239
19540609,79,311,239
19540612,0,328,239
19540615,89,300,250
19540617,201,328,239
19540618,0,328,261
19540619,20,350,261
19540624,0,322,239
19540625,119,328,239
19540628,231,322,239
19540702,460,311,222
19540706,300,311,228
19540707,3,322,239
19540713,71,328,239
19540719,109,328,228
19540721,0,322,250
19540727,5,328,250
19540801,259,289,239
19540807,30,322,211
19540808,249,322,228
19540811,30,311,228
19540812,521,328,239
19540813,61,311,239
19540814,51,322,228
19540815,0,322,250
19540816,211,300,239
19540817,51,328,250
19540821,0,328,261
19540824,0,339,250
19540827,259,311,239
19540829,381,311,239
19540830,61,289,239
19540901,0,300,239
19540906,51,322,228
19540907,300,328,239
19540911,79,322,222
19540916,391,322,222
19540917,71,300,228
19540920,89,311,228
19540921,3,311,250
19540923,41,300,228
19540925,140,311,228
19540926,20,311,239
19540929,5,311,239
19540930,3,322,239
19541001,480,300,228
19541006,170,311,228
19541007,150,311,228
19541008,0,311,228
19541009,51,322,239
19541010,0,322,239
19541011,800,311,239
19541014,20,322,228
19541015,51,322,239
19541020,10,278,239
19541021,0,272,228
19541022,3,311,228
19541023,170,322,228
19541024,140,311,228
19541027,0,311,239
19541101,30,311,239
19541102,0,311,228
19541104,0,311,228
19541107,399,261,228
19541108,41,300,228
19541109,0,278,239
19541110,51,300,228
19541114,10,322,228
19541115,249,322,222
19541116,130,322,239
19541117,0,300,222
19541118,5,300,200
19541119,0,289,178
19541204,41,300,222
19541207,0,311,228
19541219,20,289,200
19550102,0,328,228
19550103,3,339,222
19550110,0,289,211
19550409,30,350,250
19550411,119,339,250
19550412,0,339,250
19550421,20,350,239
19550422,0,350,261
19550502,0,350,261
19550504,10,328,250
19550505,41,361,250
19550508,191,339,239
19550510,170,339,250
19550515,0,350,250
19550519,119,339,239
19550520,0,328,250
19550526,211,322,239
19550529,130,339,239
19550530,0,339,261
19550531,10,350,250
19550601,0,322,261
19550602,3,339,250
19550603,41,322,211
19550604,30,322,239
19550606,409,289,228
19550609,140,322,239
19550611,0,328,261
19550612,300,339,261
19550616,10,328,250
19550621,381,322,250
19550623,20,300,239
19550624,20,289,250
19550629,340,300,222
19550630,10,300,228
19550701,109,311,228
19550702,61,311,250
19550704,279,328,239
19550707,180,322,239
19550708,30,328,239
19550709,109,322,239
19550710,0,322,250
19550711,3,328,250
19550712,0,328,250
19550717,79,322,250
19550718,0,339,250
19550721,0,339,250
19550724,221,339,239
19550725,0,322,239
19550726,0,311,250
19550729,3,300,250
19550731,20,328,239
19550801,0,322,250
19550802,89,328,239
19550803,0,322,250
19550804,0,339,239
19550806,180,300,239
19550808,340,322,228
19550809,51,322,228
19550810,371,328,239
19550811,0,322,250
19550812,20,322,250
19550813,89,311,239
19550816,150,328,239
19550817,511,322,228
19550819,51,322,239
19550822,201,311,239
19550823,5,311,228
19550825,20,300,239
19550826,300,339,239
19550827,0,328,250
19550829,5,328,250
19550830,51,328,250
19550901,180,311,250
19550904,201,300,228
19550908,399,311,228
19550909,51,322,250
19550911,119,328,239
19550913,0,328,250
19550919,10,339,239
19550920,419,322,239
19550921,0,300,239
19550923,269,322,239
19550924,61,311,239
19550926,89,289,228
19550930,71,322,239
19551002,5,289,239
19551004,140,322,239
19551006,89,311,228
19551007,201,300,239
19551009,140,289,228
19551012,340,311,228
19551013,0,311,239
19551014,130,300,239
19551016,701,322,239
19551018,41,311,228
19551019,51,300,239
19551020,30,311,228
19551021,239,311,228
19551022,170,311,228
19551023,130,311,228
19551025,0,300,228
19551026,0,328,250
19551031,0,322,228
19551102,5,322,239
19551103,10,322,228
19551104,490,278,222
19551106,5,322,228
19551107,899,300,228
19551108,10,289,239
19551110,10,289,239
19551111,41,278,239
19551113,340,239,228
19551115,30,261,222
