1948,8,34,23,10,370,247,107,340,305,75,34,15
1949,13,31,59,39,33,143,489,61,235,194,36,62
1950,36,44,69,50,73,129,351,330,318,175,93,18
1951,13,22,22,39,129,438,110,171,127,144,19,3
1952,32,3,61,65,90,84,115,220,141,99,14,84
1953,0,17,9,113,48,147,251,434,62,130,131,11
1954,48,41,16,24,80,39,313,299,115,239,67,34
1955,11,31,27,49,16,105,287,418,67,140,77,58
1956,69,32,28,162,55,8,204,589,61,92,67,14
1957,13,18,24,60,78,117,250,457,194,202,34,34
1958,26,45,39,32,59,48,259,29,286,92,6,51
1959,29,50,26,71,95,103,74,204,279,239,135,160
1960,35,29,13,17,94,66,270,548,238,274,18,68
1961,67,58,5,146,57,154,525,118,190,189,77,100
1962,16,5,56,16,34,62,180,117,134,82,40,85
1963,31,92,37,27,53,75,262,495,100,180,75,44
1964,27,45,8,80,177,202,260,239,79,48,71,104
1965,18,31,58,80,68,257,173,108,146,151,55,3
1966,11,19,31,47,56,67,153,394,211,88,3,55
1967,14,8,60,77,87,47,724,273,210,239,44,75
1968,66,19,34,62,175,159,54,427,144,192,90,36
1969,59,88,13,47,65,21,535,415,331,248,38,47
1970,30,21,26,46,8,176,152,321,140,51,26,18
1971,18,46,3,115,156,51,142,576,151,96,18,37
1972,41,35,36,3,67,96,82,281,79,32,34,16
1973,46,11,9,12,21,58,210,250,359,170,180,48
1974,27,12,27,65,191,146,357,250,85,125,60,68
1975,19,43,25,79,97,248,265,334,279,75,14,38
1976,47,11,70,80,74,137,73,388,11,92,33,42
1977,18,7,17,27,20,12,49,49,529,224,18,26
1978,93,14,47,69,112,285,20,591,278,118,93,56
1979,45,38,40,83,92,93,230,202,234,91,128,44
1980,45,35,52,13,103,145,192,160,182,45,81,49
1981,81,2,130,39,281,41,194,774,154,55,66,11
1982,39,0,51,149,9,112,106,203,251,68,5,0
1983,4,8,14,12,58,226,400,343,350,96,99,72
1984,13,22,174,18,36,32,314,254,97,188,38,20
1985,20,18,0,0,34,94,412,198,570,322,37,4
1986,29,76,104,54,86,135,394,264,126,126,34,40
1987,10,50,54,50,105,52,72,445,384,40,70,73
1988,84,49,83,69,52,288,40,432,221,221,135,10
1989,14,50,34,189,22,152,225,394,548,152,76,52
1990,14,60,100,97,81,185,235,142,270,137,14,104
1991,18,14,66,30,58,336,204,292,130,51,158,48
1994,9,12,108,54,286,196,422,677,547,168,207,146
1995,41,93,152,54,24,166,129,360,303,276,112,57
1996,32,116,105,68,48,534,306,458,354,178,134,70
1997,122,26,42,98,94,126,178,406,70,70,82,84
1998,40,40,52,136,16,40,68,258,200,424,102,4
1999,8,18,0,80,58,252,122,107,293,116,92,8
2000,18,41,94,22,158,19,285,580,158,94,52,68
2001,44,58,120,56,156,91,507,240,140,84,36,6
2002,2,32,52,30,63,84,789,402,45,172,50,98
2003,84,20,4,72,84,176,366,309,250,380,230,170
2004,14,28,31,84,97,198,371,261,319,169,107,35
2005,47,38,137,47,63,28,168,312,216,134,56,6
2006,32,56,66,42,14,240,324,128,10,292,56,96
2007,0,14,22,104,82,18,102,83,78,243,15,78
2008,76,54,46,72,53,216,330,260,99,198,22,94
2009,98,52,50,34,12,34,643,169,256,138,166,128
2010,22,43,46,156,90,34,364,602,38,62,154,32
2011,56,50,58,12,51,235,122,109,215,115,273,48
2012,28,60,16,69,38,126,287,170,408,111,74,30
2013,36,6,66,52,24,342,122,164,17,99,18,29
2015,19,42,18,62,42,61,183,155,88,672,114,56
2017,51,85,62,90,49,137,386,648,207,103,114,36
2018,43,21,38,63,86,536,206,495,340,92,228,267
2020,55,24,89,26,41,42,49,96,226,94,348,88
2022,13,0,51,34,5,29,58,231,11,212,46,6
2023,10,3,19,33,90,11,0,362,88,112,45,6
