1934,30,10,70,60,220,90,290,4020,830,660,0,100
1935,60,10,40,90,180,80,770,2090,830,220,330,0
1936,40,20,50,340,100,960,840,980,950,0,50,0
1937,0,80,0,170,400,1190,500,1500,660,130,130,0
1938,50,30,160,120,710,360,840,440,440,140,20,30
1939,0,70,20,70,200,60,980,280,800,340,120,0
1940,0,90,20,50,10,880,1400,1840,800,0,740,0
1941,0,30,10,10,100,20,1290,230,390,0,50,0
1942,0,60,120,340,360,70,1510,830,460,790,0,0
1943,0,0,200,200,160,380,690,1090,390,140,70,0
1944,100,60,10,300,300,630,2140,1090,500,50,140,0
1945,20,50,50,160,110,100,1760,870,800,80,210,60
1946,20,30,210,130,240,770,730,190,110,0,110,10
1947,20,20,0,30,70,350,300,800,1740,250,0,10
1948,30,0,250,290,180,170,1080,690,610,120,30,100
1951,6,268,62,162,347,80,420,2403,628,330,268,18
1952,0,31,64,545,668,159,192,271,426,250,245,6
1953,0,0,77,297,212,372,647,1540,237,476,281,81
1954,24,32,2,51,229,872,725,1493,681,263,97,160
1955,18,0,162,143,19,495,924,236,627,165,0,23
1956,52,0,174,227,176,1073,1143,946,67,332,71,3
1957,129,17,6,362,543,275,486,730,512,0,108,0
1958,10,0,26,411,608,205,2147,1229,698,358,36,43
1959,0,113,307,39,104,444,1263,2232,485,434,9,47
1960,4,0,159,633,327,59,853,954,1063,304,4,14
1961,28,45,74,288,127,543,1755,907,924,622,164,22
1962,42,20,0,9,51,331,1638,690,504,83,185,0
1963,0,4,84,201,776,502,1091,645,270,143,225,31
1964,43,65,141,689,615,403,1374,2181,890,495,19,39
1965,3,49,19,477,121,59,288,286,138,154,2,0
1966,15,62,189,145,177,227,866,1100,232,200,128,0
1967,62,8,97,206,336,205,716,3308,1592,119,245,0
1968,0,0,198,112,83,142,1345,1590,284,513,199,29
1969,18,51,60,366,365,80,1061,1074,1028,383,21,0
1970,0,42,17,328,339,469,390,2106,508,103,0,8
1971,64,23,73,96,201,161,1543,165,743,89,283,36
1972,110,45,27,65,166,174,682,1260,391,141,190,9
1973,79,3,98,123,54,439,922,1403,1058,659,29,0
1974,14,37,0,167,285,323,1017,94,530,61,103,75
1975,6,3,97,415,62,467,763,866,743,372,137,17
1976,0,142,19,167,132,194,945,1268,519,182,0,82
1977,17,11,25,300,138,130,776,1354,366,333,83,16
1978,0,135,313,0,469,296,1613,1073,955,364,100,23
1979,0,131,87,23,34,602,1239,600,217,102,104,1
1980,19,27,252,46,136,453,285,791,414,175,5,0
1981,16,0,163,113,40,1132,1692,642,205,116,42,1
1982,7,59,27,60,569,127,1455,537,428,162,76,0
1983,10,10,96,229,419,326,451,292,605,491,31,0
1984,17,7,44,83,999,668,601,1171,372,51,7,46
1985,5,14,13,91,814,306,243,1670,1240,211,0,18
1986,0,41,174,155,122,1559,384,435,176,146,28,39
1987,17,27,35,467,139,878,489,1073,326,424,62,0
1988,0,27,93,0,902,985,1606,1507,171,80,0,37
1989,81,68,32,388,25,659,586,189,549,85,127,3
1990,6,88,627,514,362,208,915,517,157,407,6,1
1991,12,41,339,462,728,271,628,187,544,197,0,50
1992,0,1,236,5,305,474,1031,1537,408,153,119,22
1993,84,19,38,8,147,221,714,1139,160,161,326,0
1994,0,66,4,503,83,247,754,2381,200,200,74,49
1995,0,0,0,5,77,162,924,1849,279,288,1,0
1996,16,0,44,219,311,737,321,1321,176,336,78,0
1997,5,33,246,83,106,53,1268,897,161,71,242,0
1998,36,51,178,344,574,281,1148,201,427,293,0,0
1999,0,0,150,253,323,54,532,158,1155,140,56,7
2000,68,28,51,99,33,253,570,802,547,166,27,5
2001,64,80,36,587,33,276,802,2764,764,196,53,32
2002,0,11,37,245,388,1561,1691,356,780,102,0,95
2003,4,36,121,160,546,717,515,893,900,232,239,0
2004,21,0,4,70,663,304,542,2140,208,144,0,104
2005,2,43,25,80,398,244,243,853,451,113,1,34
2006,123,55,0,32,363,173,494,1051,633,104,77,30
2007,7,108,291,58,443,543,723,563,561,1039,12,46
2008,103,42,73,217,149,635,191,1506,1405,141,13,0
2009,2,24,65,22,323,49,864,1845,623,87,298,6
2010,0,90,133,240,390,483,177,1165,635,325,0,1
2011,10,80,0,131,289,116,1569,777,701,266,492,23
2012,5,0,117,184,397,825,2389,535,866,186,133,31
2013,46,2,0,169,238,553,1962,1535,962,101,57,0
2016,1,66,129,286,354,744,1859,2573,423,750,34,30
2020,122,8,92,43,130,302,556,1378,673,11,183,13
2021,3,118,371,259,355,467,174,618,713,545,110,8
2022,21,46,64,61,212,453,2372,1529,128,295,389,0
