1909,620,330,900,150,2450,1280,1370,3070,3590,1960,2400,190
1910,390,80,400,410,430,1870,1670,2570,2920,2210,580,480
1911,570,440,130,470,2010,800,1240,1380,1290,1230,780,630
1912,480,360,410,1050,460,1020,720,1050,590,1560,4160,1130
1913,1010,270,720,860,840,940,1560,1880,1920,580,840,280
1914,440,190,1510,1150,1320,1930,740,2760,1370,360,650,700
1915,400,80,350,590,2280,2700,1770,1630,1610,980,630,390
1916,910,820,90,60,2190,980,1960,2410,490,3300,2200,100
1917,420,370,630,1960,2170,2000,1700,1660,1770,660,330,440
1918,50,670,440,770,1210,2170,1500,1070,920,2270,1740,380
1919,1920,230,610,1510,570,3020,1500,1120,2110,1940,590,850
1920,740,1250,1310,760,960,620,1410,2450,2630,2350,1030,610
1921,820,430,2010,1570,3420,1600,1930,1520,1890,600,390,200
1922,170,1220,460,80,1230,1820,1700,1190,1800,1180,540,570
1923,260,260,250,840,880,2800,3280,1040,1620,2210,1340,290
1924,570,380,340,1490,530,1180,2550,2090,2760,2530,3370,1140
1925,370,440,330,1830,1170,2150,2800,450,2190,1150,2000,490
1926,1670,180,160,570,1680,860,1950,3120,900,1130,940,410
1927,1490,160,1070,410,990,780,1320,1070,360,2240,1320,450
1928,540,60,120,390,1930,870,700,2160,2310,1650,1810,500
1929,280,340,160,1140,2390,1010,2160,2210,700,930,520,490
1930,1340,450,200,3260,3550,830,760,220,5910,1160,1260,430
1931,1000,110,380,2810,1590,5110,880,1310,3180,1980,1500,410
1932,410,210,70,940,3400,2750,2010,1620,1690,1830,1080,770
1933,380,120,1380,190,2000,3300,1240,1870,2550,2130,1830,1340
1935,90,830,280,180,2500,760,1000,1820,1460,1720,80,420
1936,220,80,50,650,2110,2550,4230,1290,1240,1090,2050,870
1937,950,480,140,1160,3950,740,730,1110,1130,1200,1010,850
1938,440,750,400,160,160,1980,1160,1150,900,1600,1510,580
1939,410,130,620,460,820,450,770,1170,1650,1010,930,440
1940,100,290,20,280,1970,570,900,1000,880,3160,660,1060
1941,840,350,20,590,1830,2550,2030,2010,1510,910,540,1180
1942,270,210,370,700,1290,4040,1380,2280,730,610,1340,700
1943,740,650,850,1320,1460,1370,880,1400,960,2320,1130,410
1944,190,90,420,410,3640,1590,1940,1670,2360,1590,400,340
1945,110,450,270,680,2270,680,1150,3580,1520,530,1490,840
1946,370,200,1990,140,1710,890,850,1390,710,2770,2880,920
1947,500,830,120,1140,380,860,2970,1220,2530,650,0,60
1948,950,250,70,280,2490,930,2250,960,1950,1980,2280,700
1949,130,120,1370,240,840,1090,850,750,720,900,540,1090
1950,440,1100,350,110,720,2020,1130,1390,1040,2980,770,410
1951,150,50,0,1370,1800,890,2590,930,1540,1020,580,1100
1952,190,60,530,1360,2700,1460,2620,1340,1940,660,130,360
1953,590,130,480,40,2120,3010,2300,1050,2730,1100,1130,640
1954,390,900,280,790,1210,1690,1200,1580,2400,3430,700,380
1955,1930,1450,130,600,820,1780,2000,2030,1840,1900,1750,360
1956,100,1190,870,590,1120,1600,880,450,1400,2030,680,660
1957,590,340,30,150,850,1560,1480,1690,2300,1400,500,610
1958,220,920,40,90,7450,2610,2190,1320,1310,1230,1330,520
1959,560,70,100,780,1520,310,1680,490,1770,1810,830,710
1961,290,780,1010,620,2120,1290,2970,1960,720,3330,670,1110
1962,780,150,220,1320,920,1820,1210,2630,950,1070,340,470
1963,1870,220,1160,1510,2660,1370,1330,1050,1490,2390,1080,830
1964,370,260,200,1170,1020,930,1720,1270,1860,770,490,580
1965,30,160,220,140,3830,910,1020,1460,2320,1910,590,480
1966,600,120,850,1270,2440,920,1340,1830,1130,2150,1410,280
1967,620,430,430,670,410,870,1260,1360,1350,400,350,470
1968,170,620,200,230,610,1500,1110,980,1480,300,1110,860
1969,210,30,270,450,2130,2380,680,1790,1140,2050,1250,400
1970,1180,1190,40,70,1730,3490,2490,3150,1330,2660,680,580
1971,370,650,380,1040,950,980,1720,2820,450,490,470,600
1972,660,430,610,880,2920,1590,800,1210,1550,2130,370,1190
1973,400,370,450,140,1090,570,970,1770,1330,2010,350,650
1974,1200,430,170,600,600,760,1020,1260,760,1720,360,330
1975,360,170,270,220,860,220,990,1400,5650,1790,1300,1360
1976,440,1420,680,90,90,800,920,1270,1250,2120,270,650
1977,210,80,170,680,4880,910,1190,3380,1590,2080,2170,2330
1978,230,190,850,1480,1620,860,1490,1020,980,2470,1290,540
1979,270,270,2730,210,2440,3130,3470,3600,4900,1290,1710,360
1980,570,160,420,490,3020,490,3120,1000,1080,490,380,1150
1981,810,1010,780,350,4040,2400,1690,2330,830,890,280,820
1982,930,330,100,380,3560,1600,1320,900,1180,1160,940,440
1983,340,0,570,300,3070,640,1950,1960,1290,1240,930,1230
1984,1170,1060,110,290,1210,1700,1830,1170,2420,1550,300,509
1985,450,950,960,370,2180,80,1240,1260,4000,3714,2040,290
1986,1340,280,260,1140,3630,4500,770,2620,1370,280,2940,360
1987,90,1810,420,2620,890,2177,1620,1680,1970,1580,870,3140
1988,330,620,1807,2377,912,1306,2125,3490,2250,1410,2260,610
1989,1250,2470,1110,380,689,1021,1150,1452,3675,1143,1120,380
1990,1370,380,540,150,440,820,740,1160,700,6230,1240,1060
1996,560,450,300,900,690,1490,1380,1160,2130,1850,1420,680
1997,270,730,130,310,120,1280,1610,1580,1290,2450,1850,470
1998,500,1280,1200,800,1620,1310,1460,1690,5940,1590,1770,710
