1896,3270,2930,4540,1250,1090,0,0,30,280,2210,4010,3140
1897,2350,3150,4520,3510,720,0,0,20,600,1660,2080,2660
1898,1070,2180,2050,3670,1170,0,0,0,800,430,4070,2080
1899,2170,1620,2970,3090,930,0,0,60,390,3190,3230,2310
1901,3160,2270,2890,2710,2770,20,0,30,100,1570,3610,1730
1902,1610,950,2590,2760,1540,20,0,10,0,1800,3030,2420
1903,730,1840,3360,1560,2370,220,0,0,560,2780,1750,2040
1904,2400,1610,1830,3550,890,400,20,0,10,1750,3460,640
1908,1220,2630,2780,2310,2620,0,0,100,160,3260,3020,1550
1909,1980,1900,2300,1030,1720,60,0,0,530,1260,3570,2190
1910,3510,720,960,1200,1650,320,0,0,320,610,2220,2480
1947,2320,2860,3580,4130,2680,960,10,110,230,3390,4320,1920
1948,2510,2820,2540,2940,670,80,90,110,270,2750,3540,3390
1949,2430,1680,3230,1220,830,40,30,10,670,3840,3360,1040
1950,1022,2104,1581,1584,1635,233,0,0,0,6116,6181,4222
1951,1951,3170,2273,2848,1734,46,10,14,18,6433,5683,1673
1952,658,3708,2129,3635,1587,96,20,93,490,3339,5149,3222
1953,5176,1538,2996,1008,3215,1455,23,63,266,2511,1168,2009
1954,2059,2335,2659,2113,2223,15,22,9,472,4823,3390,2497
1955,2881,1205,2317,922,2217,5,121,92,572,5679,1855,1405
1956,1496,2121,2741,1716,1272,64,33,11,256,3654,3069,3331
1957,2547,880,3207,4072,2517,98,79,87,86,3925,7153,3937
1958,1400,392,1588,1912,234,66,2,39,393,1610,3230,3811
1959,3259,2819,1279,2298,1884,10,70,50,1730,4230,3020,3570
1960,1840,3720,3030,2142,1316,24,99,138,719,2923,4263,2938
1961,1693,2349,3146,2862,2064,11,0,18,3553,5258,5512,2905
1962,2359,2506,2943,3382,1756,106,0,62,474,4984,2849,3480
1963,2145,832,1691,3802,3282,17,24,58,202,2973,4598,2848
1964,1195,2406,1009,1610,1291,0,6,46,112,2826,3386,3194
1965,3585,2135,4365,2540,2105,41,140,165,89,1630,2465,1982
1966,2550,4410,5360,2550,1370,140,20,60,140,2930,7310,2080
1967,1191,2116,1442,1145,1183,103,69,65,334,4365,3375,3308
1968,3576,1953,1311,2195,1731,0,0,21,25,3098,4159,1813
1969,2123,1501,3113,2084,762,68,19,23,9,2956,5184,1872
1970,2960,2458,2542,3767,2714,27,66,53,172,4294,2333,2329
1971,1575,2106,2149,1825,905,0,76,46,742,2913,4219,1405
1972,2434,1274,2173,1815,1797,184,8,19,213,3452,2496,1290
1973,3091,914,2382,2601,2173,0,0,0,540,2999,4216,1355
1974,3245,2281,2926,2496,2270,180,0,45,46,3663,5109,1079
1975,1559,3247,1942,2509,2462,823,0,41,438,3063,4063,2427
1976,2325,3332,2460,2423,1172,39,60,210,121,2966,4663,3697
1977,2499,2431,3574,2980,994,65,245,101,578,7428,5382,2661
1978,1006,1262,1104,2480,1195,32,10,45,410,3755,4703,1675
1979,2975,1771,3255,2787,2095,65,11,158,205,1312,2021,3510
1980,2660,4305,1880,1849,1038,25,37,8,656,2995,6120,1264
1981,4300,4140,2270,2570,670,20,20,100,120,2760,4130,2000
1982,2050,1270,2550,1590,2540,90,60,40,70,3390,3160,2740
1983,1680,840,2820,660,740,70,40,240,90,3650,3450,1490
1984,1330,3070,2320,1450,2270,1390,480,290,2080,1830,3140,1960
1985,860,2510,1580,3470,870,30,10,110,1130,4300,2820,2040
1986,1550,2160,1860,2220,1160,850,60,100,90,1700,2160,3360
1987,750,1400,2260,2360,1160,0,10,150,400,2840,2810,1610
1988,2350,3420,2140,1700,2390,1760,10,30,390,3030,5930,2630
1989,1170,1600,3070,3150,2770,0,30,0,370,6270,2540,1130
1990,3530,1880,3300,1080,2620,20,90,90,1520,3040,4430,4560
1991,3320,2360,3150,3290,1720,290,60,90,430,1270,3770,1180
1992,1440,2840,2640,2980,1810,140,50,120,90,1820,3010,1800
1993,1180,1660,2080,4010,1100,520,60,30,400,2300,4140,3620
1994,2420,1930,2110,2290,2380,10,80,70,1780,5030,3360,2950
1995,1140,3680,1720,2250,2110,270,50,30,1090,3670,3750,3290
1996,2600,910,3530,1200,2730,30,10,80,750,2820,3610,2250
1997,1640,1440,1110,3200,1630,210,90,60,820,3130,4520,3440
