1951,293,157,446,61,371,16,3,98,316,2607,108,329
1952,418,240,100,282,100,2,126,12,506,176,414,546
1953,355,254,308,113,857,452,4,15,55,331,270,101
1954,413,328,592,158,236,50,11,113,5,4,70,172
1955,760,529,977,184,50,79,6,100,525,190,281,230
1956,533,929,953,592,158,12,2,0,572,88,201,61
1957,983,27,80,376,690,217,0,36,177,1551,862,1310
1958,143,83,307,528,94,62,1,1,53,429,904,1054
1959,158,1144,353,252,884,26,2,70,682,930,724,732
1960,399,165,662,271,144,5,2,11,265,406,427,1210
1961,767,38,16,126,17,216,0,0,30,1090,1383,333
1962,53,428,895,264,74,404,8,0,229,149,1254,269
1963,417,1311,142,435,317,47,97,37,704,128,287,974
1964,210,382,267,484,36,12,4,780,3,796,285,1587
1965,978,682,707,130,92,9,1,264,585,1583,755,253
1966,542,359,355,229,160,87,1,1,120,561,687,336
1967,372,793,76,500,122,44,1,5,224,95,544,1023
1968,302,337,183,241,170,60,1,2,27,201,1129,943
1969,299,962,316,386,145,77,79,5,731,620,427,943
1970,621,206,266,188,176,3,0,6,2,524,191,499
1971,461,261,633,238,188,1,1,15,957,944,1113,429
1972,871,1062,230,383,1062,129,11,52,372,133,124,1191
1973,1149,370,799,74,4,130,2,9,380,347,44,179
1974,105,1688,791,847,29,23,30,7,125,747,293,68
1975,27,877,498,64,430,66,0,126,20,485,797,395
1976,103,904,852,409,432,242,279,311,355,563,580,1196
1977,578,79,97,504,431,265,38,327,126,522,247,129
1978,648,365,599,1111,413,22,2,2,59,424,827,401
1979,385,644,533,759,156,250,116,160,980,529,301,530
1980,517,320,587,464,752,3,6,0,14,625,693,717
1981,276,485,230,325,164,170,3,21,262,167,12,292
1982,48,378,172,127,206,14,0,74,595,1697,617,327
1983,23,713,449,33,67,42,101,164,863,230,577,466
1984,199,858,438,246,282,27,0,119,279,258,692,830
1985,729,419,1629,156,286,1,6,0,414,1001,724,107
1986,771,547,447,429,94,79,23,8,192,746,831,394
1987,361,921,212,78,85,157,2,6,41,298,339,306
1989,509,411,192,644,184,40,7,11,255,40,321,229
1990,201,50,279,903,476,39,35,49,4,958,553,679
1991,353,984,292,532,256,59,9,32,615,582,488,92
1992,226,100,427,297,123,430,131,1,337,1290,292,1041
1993,27,794,292,335,564,74,8,0,618,396,1610,363
1994,460,220,1,517,52,29,34,4,444,330,197,443
1995,200,24,292,310,35,89,101,336,353,144,577,499
1996,371,665,568,368,354,692,31,168,456,261,401,1216
1997,927,117,17,378,174,36,1,235,130,1000,1385,307
1998,146,292,189,374,347,2,0,79,296,235,214,452
2005,89,830,149,794,61,45,0,94,146,35,883,475
2008,334,101,488,90,188,51,0,0,155,1223,641,820
2012,206,659,150,767,330,0,89,0,122,221,431,187
2018,149,411,983,356,498,410,0,666,523,2460,1363,133
2019,631,61,49,392,810,13,0,690,10,147,1494,948
2020,142,12,317,424,64,227,5,0,962,188,411,867
2022,86,65,242,380,558,10,0,518,336,173,726,275
2023,591,385,116,309,211,178,21,15,64,83,287,374
