1954,340,940,2220,260,0,40,0,0,0,10,630,970
1955,2440,1880,1090,170,50,50,0,0,0,1450,1170,1990
1956,1400,2640,1980,1430,70,0,0,0,580,40,810,870
1957,690,330,400,1230,530,200,0,0,110,375,1066,1214
1958,585,122,596,182,320,393,0,70,10,400,247,2286
1959,902,651,911,168,571,117,0,62,3,143,1706,1280
1960,1773,922,2159,351,700,118,131,42,105,2065,1112,1327
1974,294,889,268,1982,284,414,0,0,10,460,144,99
1978,694,1227,695,550,462,160,0,0,0,149,320,2301
1980,1015,41,489,381,907,86,0,8,41,355,1543,149
1983,3,680,274,462,76,0,0,5,8,30,2216,1638
1987,1808,1115,94,301,13,0,211,20,1271,1196,987,956
1988,1104,395,328,258,144,170,229,0,10,350,1601,104
1990,498,51,171,995,20,30,3,0,20,1317,550,1182
1992,91,422,502,639,47,574,0,20,259,2199,201,783
1993,112,220,959,741,1043,124,99,215,196,1643,1683,292
1994,895,668,99,469,366,0,10,0,99,845,663,41
1995,319,210,530,395,30,119,92,0,190,25,1150,2738
1996,4650,1737,781,286,1293,10,0,0,144,450,2252,4660
1997,2106,3,61,486,150,117,130,71,491,1230,1926,1872
1998,594,1038,201,403,442,40,0,0,578,50,204,252
2004,140,321,567,615,375,0,0,0,0,968,109,615
2020,630,35,940,735,398,96,0,3,13,383,806,679
2021,1582,1144,117,333,23,43,0,3,92,28,803,1460
2022,82,93,1697,569,10,3,0,13,18,9,971,4508
2023,786,722,254,3,445,128,5,0,422,1938,232,909
