1975,2249,364,345,548,434,365,635,764,2218,512,1261,1143
1976,931,1120,372,705,417,595,599,148,539,2028,1265,698
1977,747,625,900,848,201,742,591,1012,1209,1044,1463,985
1978,890,838,1008,385,574,397,1311,1011,1222,1120,1304,199
1979,511,583,935,413,1119,834,600,1640,1036,1124,1819,1134
1980,101,901,307,279,299,749,236,1137,1388,1626,963,1414
1981,1443,751,1171,200,435,681,654,850,1529,2216,1682,934
2007,2181,905,883,901,572,416,1595,1188,1622,669,1677,996
2008,1253,1070,1494,689,62,769,466,1332,1074,1898,1474,749
2009,1050,1021,945,299,663,246,1223,1419,754,968,1457,530
2011,1178,1116,643,543,738,1356,1281,1001,1351,989,942,1906
2017,1131,943,1253,1127,685,887,1356,1291,2045,2611,2187,1897
