1902,120,5410,3040,5740,1740,460,2330,1180,470,1740,2920,1900
1903,2440,1010,1360,1180,1380,2030,1350,40,880,2110,2310,3700
1905,1050,1010,820,1310,1770,0,1670,1760,2170,1130,3800,4840
1906,2950,2140,0,500,410,580,1030,760,2320,2930,3670,7470
1907,4140,6720,6010,1660,0,2100,1560,1620,1140,0,1320,7000
1908,3330,8310,4460,2730,680,2290,1460,930,2910,2870,4460,2740
1909,3520,3720,1480,1310,830,2100,1160,780,1880,1510,4650,9500
1910,6160,5930,2460,3830,380,2250,1430,590,2320,2170,6940,6520
1911,2490,3700,4300,1280,1050,1590,2170,1420,2210,2560,1760,3910
1912,2330,1980,1330,1210,180,210,1450,790,1380,4020,6750,2720
1913,3620,3630,1610,4520,1450,1320,1850,740,1280,2000,2830,2740
1914,0,830,2410,2280,2580,2300,970,980,800,2510,2900,4500
1915,3910,290,870,1740,450,2060,440,810,760,2170,1830,3340
1916,10640,2700,5890,2470,3750,850,1430,760,1190,1920,4010,6170
1917,7390,3840,2410,790,450,830,1200,1160,640,1470,3400,3310
1918,11840,4160,6800,2160,2250,1820,380,1310,780,3340,4620,6870
1919,2910,1990,1130,1750,880,1230,2760,830,3990,5390,4860,8140
1920,8050,4850,3450,3400,130,780,650,1000,2670,1730,8280,4400
1921,3890,5410,7010,2670,1920,1230,2120,1510,2010,2460,3700,7170
1922,10250,3630,3350,1930,2760,1250,3490,1050,1560,1800,3700,6550
1923,10260,1480,6060,3320,2410,1620,1290,1710,970,2930,1180,3420
1924,4240,4200,2880,930,2970,2060,1620,1360,1430,2580,4070,14800
1925,4590,4980,6860,4810,1720,2200,1370,450,1280,3560,4240,6370
1926,7060,3490,2540,420,1820,850,3480,2840,1980,5250,7610,13110
1927,7080,3700,2850,1970,880,1290,1310,2140,170,2670,3330,7700
1928,8030,10230,5590,3910,990,890,1670,1010,1510,2610,3690,7140
1929,7120,3790,6880,6070,3650,910,2000,2600,300,2370,4760,6960
1930,4210,1980,1920,2570,2220,2340,1450,2490,1850,590,4980,7340
1931,5270,1260,2180,1760,780,360,1930,370,1520,2430,3080,6020
1932,9040,2720,4270,2620,2060,620,2820,1190,3010,1800,5230,7110
1933,6990,3880,3450,1260,1190,810,1850,440,2160,6560,4660,2960
1934,6090,12330,7560,3230,910,0,3580,1330,3010,4220,7790,8760
1935,0,2590,3800,2310,330,830,3450,190,3390,3080,4770,5180
1937,4740,2250,2130,1560,1860,830,2090,3600,1390,4310,3490,3080
1938,4320,4420,3140,4840,1680,1410,1260,1330,1780,6300,3270,5970
1939,12920,7990,5000,3110,3070,460,950,690,1610,2010,4590,7670
1947,3760,2220,4340,1910,3450,1150,870,1860,1080,4660,2580,9350
1949,3700,2770,2270,1620,2880,680,2230,2980,1230,2470,8120,6330
1950,6720,2940,4870,2550,1350,1480,1010,770,2180,1280,3760,6980
1951,5220,4690,3590,2140,2610,820,1190,580,1650,2840,3130,8100
1952,2150,7960,1790,3520,420,1840,5390,1680,3670,4570,2840,8190
1953,10630,5490,2970,2060,590,1930,1700,1700,1320,1250,4530,5960
1954,3130,1260,6250,1910,3900,880,1070,2040,2050,2870,3430,9130
1955,8080,1720,3050,1690,1590,2110,570,1880,1540,2520,5680,6610
1956,7910,3640,5370,3750,3980,1410,2040,2690,1030,2290,4300,13040
1957,3680,5170,3740,2850,950,1300,2460,820,770,1780,1770,3450
1958,3690,3210,1590,1620,1080,1150,2490,1210,930,2190,5220,5320
1959,5000,2040,8720,1290,4450,830,1450,2090,1180,5420,4350,4450
1960,5550,4640,2000,4970,740,760,590,1660,3820,2550,5410,5970
1961,6381,3515,1328,3480,1633,1615,1458,1687,1125,1450,5898,5890
1962,5748,7772,5362,1174,5009,607,1819,2489,2512,2464,4407,5834
1963,1852,8801,6769,1407,708,1191,1539,2796,591,2380,4544,1988
1965,8319,7457,3389,2724,791,1229,1636,1128,1712,3715,3577,6034
1966,3221,2093,2114,2074,1540,410,3018,592,1351,2087,4931,7851
1967,6691,8938,4005,1623,1155,532,1147,1518,1183,4357,3367,3293
1968,6111,2347,3949,1531,706,716,203,899,2480,2019,2502,5326
