1948,6610,1000,4280,1430,2230,960,1560,640,1570,490,2560,3820
1949,2620,1770,450,3950,1910,1620,1700,660,1660,1830,2390,3130
1950,2440,1340,3020,2470,3310,1020,450,920,1510,1680,2450,1930
1951,5930,2460,1020,1310,830,740,1570,2100,970,1970,1540,1980
1952,3710,3770,2180,2200,950,1520,2290,2020,1020,2030,2320,1180
1953,2650,2160,2790,3190,2220,2180,1810,1480,990,1090,1440,1790
1954,3670,890,2350,1630,900,1400,1220,2690,1750,2840,1250,9120
1955,5590,300,200,1880,1170,960,1450,1290,1720,1600,1650,3080
1956,2800,1400,680,1030,2040,670,2070,1720,940,1550,5320,3750
1957,490,280,1130,1450,1070,1030,2540,1730,2520,2010,1740,4010
1958,1230,1190,1070,1030,1720,3050,430,1950,150,2240,3030,1130
1959,1560,700,2860,1780,2110,2210,1890,1900,720,1430,1940,4970
1960,1560,2430,970,1850,1820,2570,520,1230,1410,930,810,1880
1961,1920,1070,1550,1900,2040,790,1790,580,420,670,1580,1580
1962,3120,530,1960,730,1450,650,1920,1990,510,940,1730,1640
1963,2090,1360,1140,250,980,2240,1010,690,360,640,1040,3490
1964,1780,4180,2040,1360,1190,1120,1480,830,1330,2100,1790,4880
1965,220,1510,1090,450,1780,1760,1000,1190,730,2170,940,1030
1966,1940,1310,2150,1820,960,600,1360,1510,840,2480,5360,2170
1967,5630,3690,530,1170,2140,1080,1580,900,280,770,3240,5990
1968,2740,220,2120,730,1880,1580,1730,1480,1540,2440,1840,1930
1969,790,1270,510,1500,1240,890,2270,1560,1370,730,2180,6470
1970,1680,980,1400,1250,1560,1290,1530,1230,1070,1680,1140,2500
1971,1610,1090,230,500,1490,1210,790,830,710,2210,2410,2290
1972,600,1570,350,1850,940,870,390,910,2300,750,1120,3110
1973,2150,2770,1750,1760,980,2170,370,1830,2300,4250,2950,1870
1974,500,3080,1080,1280,1460,1470,1300,1290,3060,2990,1340,2380
1975,1210,2050,820,1780,780,1460,1440,920,1870,1470,2820,1540
1976,160,630,460,2350,1370,800,910,790,2100,2170,940,4220
1977,380,1870,400,310,1080,910,1590,1580,1280,680,3600,3120
1978,4060,1040,2020,1390,1560,1810,930,1080,2330,1700,2640,5260
1979,520,750,920,2620,2260,1470,2250,610,1620,2760,2890,560
1980,3060,780,640,2260,1520,1670,920,2190,1810,4430,1790,2470
1981,373,1765,555,1410,1584,678,2070,495,1493,785,535,3815
1982,858,974,907,2275,1664,625,585,2348,421,758,1899,4182
1983,2536,340,644,431,2929,1104,1241,1760,2501,1491,2275,3556
1984,2512,4704,3613,1531,1865,2550,1272,1027,1867,1875,1277,2774
1985,1111,793,880,1105,701,370,1318,569,1107,1690,1794,3401
1986,3082,267,3534,1500,1451,1229,1097,729,3960,2273,2567,3672
1987,5690,870,1330,730,2700,1270,810,1920,1300,230,3480,730
1988,2370,1580,1870,1100,2300,2520,3050,800,4400,1350,4010,630
1989,1900,520,3060,1990,1940,1180,1580,2010,2470,1110,5080,1800
1990,1450,1450,940,520,1800,1130,1240,1470,2050,560,1800,2010
1991,1240,450,920,1340,2560,890,370,2260,1230,520,2050,4920
1993,1760,690,2510,2840,1300,1150,2400,1070,620,1750,2510,3026
1994,570,1330,2880,1540,1700,1850,540,450,240,850,3220,4250
1995,3480,3350,680,2420,840,640,1740,2120,2950,1010,3730,3030
1996,1730,1800,1300,1770,1090,2660,1620,2580,2970,3000,1800,1850
1997,150,1050,310,1220,420,790,190,870,310,780,1580,3520
1998,2690,330,590,1880,3710,1990,2550,1990,2550,2260,1070,4630
1999,1940,660,1710,810,1760,1030,2250,2040,1260,2050,2410,3410
2000,2750,2380,2380,3080,970,1570,1150,1140,810,1210,3860,2360
2001,4260,870,2970,2030,1650,1370,1110,1580,1620,2520,1750,6090
2002,2210,510,560,1170,2370,800,2370,540,1240,110,3070,2550
2003,4410,1770,1550,1600,820,500,1700,1940,2050,3340,1520,2730
2004,6010,320,2690,570,1380,1250,1680,1850,1290,1260,1660,1390
2005,1640,80,820,820,3310,820,1040,590,1760,3150,3630,1640
2006,4560,1150,830,2400,2060,2370,1540,1270,830,1020,1860,7660
2007,4500,970,2650,2300,1500,1390,1420,1910,1490,2370,3680,4690
2008,2630,1290,2940,870,1050,1380,890,3270,1600,1230,3660,2440
2009,380,2020,2230,1840,1990,220,1610,1780,1090,1340,2820,1900
2010,700,60,2380,1590,1580,2410,2620,1950,1220,1610,2840,1810
2011,5130,230,2570,2180,1270,2130,770,810,1360,2170,3780,2850
2012,1060,840,3130,2610,2680,7700,1310,1190,1070,1220,2080,3630
2013,2620,3950,860,1590,2110,1110,1610,1800,2570,2850,2860,3480
2014,750,0,660,1100,1260,710,1490,2410,840,1200,2510,2460
2015,800,190,840,730,890,960,1170,1860,600,870,730,2990
2016,1260,1860,620,900,1940,1630,1680,1390,1190,1810,2900,2930
2017,1980,1580,1360,2080,1920,1040,790,840,1240,1210,2690,3860
2018,2730,150,4460,610,1320,1830,1430,1220,1440,2340,1700,1730
2019,640,320,720,1750,690,1740,120,120,230,1770,1370,4220
2020,880,650,1090,1930,2510,2340,1410,1030,1500,790,2190,2540
2021,6930,10,1820,2900,2460,930,1960,2930,2230,1860,3130,1320
2022,880,1750,1630,2430,1020,2120,1430,1410,1210,2820,3110,2150
2023,3030,3950,1580,2230,1130,2290,1580,1140,1330,970,2340,2973
