Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Nelson Aero,4241,G13222,-41.299,173.226,2,G,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Rain: Daily
Station,Date(UTC),Amount(mm),SofG,Deficit(mm),Runoff(mm),Period(Hrs),Freq
4241,19410601:2100,0.0,-,-,-,24,D
4241,19410602:2100,0.0,-,-,-,24,D
4241,19410603:2100,17.3,-,-,-,24,D
4241,19410604:2100,7.1,-,-,-,24,D
4241,19410605:2100,0.0,-,-,-,24,D
4241,19410606:2100,0.0,-,-,-,24,D
4241,19410607:2100,3.6,-,-,-,24,D
4241,19410608:2100,0.0,-,-,-,24,D
4241,19410609:2100,23.1,-,-,-,24,D
4241,19410610:2100,25.4,-,-,-,24,D
4241,19410611:2100,0.0,-,-,-,24,D
4241,19410612:2100,14.7,-,-,-,24,D
4241,19410613:2100,3.8,-,-,-,24,D
4241,19410614:2100,0.3,-,-,-,24,D
4241,19410615:2100,0.0,-,-,-,24,D
4241,19410616:2100,3.8,-,-,-,24,D
4241,19410617:2100,0.0,-,-,-,24,D
4241,19410618:2100,0.0,-,-,-,24,D
4241,19410619:2100,0.0,-,-,-,24,D
4241,19410620:2100,0.0,-,-,-,24,D
4241,19410621:2100,0.0,-,-,-,24,D
4241,19410622:2100,0.0,-,-,-,24,D
4241,19410623:2100,0.0,-,-,-,24,D
4241,19410624:2100,0.0,-,-,-,24,D
4241,19410625:2100,1.8,-,-,-,24,D
4241,19410626:2100,0.0,-,-,-,24,D
4241,19410627:2100,0.0,-,-,-,24,D
4241,19410628:2100,0.0,-,-,-,24,D
4241,19410629:2100,0.0,-,-,-,24,D
4241,19410630:2100,0.0,-,-,-,24,D
4241,19410701:2100,0.0,-,-,-,24,D
4241,19410702:2100,0.0,-,-,-,24,D
4241,19410703:2100,14.2,-,-,-,24,D
4241,19410704:2100,2.0,-,-,-,24,D
4241,19410705:2100,3.8,-,-,-,24,D
4241,19410706:2100,10.9,-,-,-,24,D
4241,19410707:2100,9.9,-,-,-,24,D
4241,19410708:2100,1.3,-,-,-,24,D
4241,19410709:2100,19.1,-,-,-,24,D
4241,19410710:2100,1.5,-,-,-,24,D
4241,19410711:2100,0.0,-,-,-,24,D
4241,19410712:2100,0.0,-,-,-,24,D
4241,19410713:2100,0.0,-,-,-,24,D
4241,19410714:2100,0.0,-,-,-,24,D
4241,19410715:2100,0.0,-,-,-,24,D
4241,19410716:2100,0.0,-,-,-,24,D
4241,19410717:2100,0.0,-,-,-,24,D
4241,19410718:2100,0.0,-,-,-,24,D
4241,19410719:2100,0.0,-,-,-,24,D
4241,19410720:2100,0.0,-,-,-,24,D
4241,19410721:2100,0.0,-,-,-,24,D
4241,19410722:2100,0.0,-,-,-,24,D
4241,19410723:2100,3.8,-,-,-,24,D
4241,19410724:2100,29.0,-,-,-,24,D
4241,19410725:2100,15.2,-,-,-,24,D
4241,19410726:2100,0.0,-,-,-,24,D
4241,19410727:2100,0.0,-,-,-,24,D
4241,19410728:2100,0.0,-,-,-,24,D
4241,19410729:2100,0.0,-,-,-,24,D
4241,19410730:2100,0.0,-,-,-,24,D
4241,19410731:2100,0.0,-,-,-,24,D
4241,19410801:2100,0.0,-,-,-,24,D
4241,19410802:2100,0.0,-,-,-,24,D
4241,19410803:2100,0.0,-,-,-,24,D
4241,19410804:2100,0.0,-,-,-,24,D
4241,19410805:2100,0.0,-,-,-,24,D
4241,19410806:2100,3.8,-,-,-,24,D
4241,19410807:2100,58.2,-,-,-,24,D
4241,19410808:2100,0.0,-,-,-,24,D
4241,19410809:2100,1.3,-,-,-,24,D
4241,19410810:2100,0.0,-,-,-,24,D
4241,19410811:2100,0.0,-,-,-,24,D
4241,19410812:2100,2.5,-,-,-,24,D
4241,19410813:2100,20.1,-,-,-,24,D
4241,19410814:2100,2.0,-,-,-,24,D
4241,19410815:2100,12.7,-,-,-,24,D
4241,19410816:2100,1.0,-,-,-,24,D
4241,19410817:2100,0.0,-,-,-,24,D
