1997,959,718,951,934,724,566,228,507,589,318,1324,927
1998,1578,885,1230,877,398,508,313,551,1335,1916,828,457
2003,697,975,1361,828,575,662,784,1652,922,1165,685,1109
2004,246,264,589,1152,387,559,624,654,740,1144,1454,1076
2005,691,424,896,1043,1800,391,736,295,880,2304,1353,1199
2006,739,449,155,805,751,2215,1300,646,317,1107,1011,820
2008,1039,1434,1132,585,938,426,494,1160,1207,689,728,1608
2009,821,712,1035,1188,641,628,1110,1790,669,1439,621,1204
2010,794,885,695,354,267,1832,940,903,930,1343,2350,1510
2013,347,914,575,452,726,1240,902,390,1018,1163,849,2049
2014,1121,1259,1512,870,304,911,2004,609,854,1411,2077,1667
2015,1478,1338,979,825,438,1389,271,949,1144,992,1459,1547
2016,963,1171,901,662,851,152,1097,566,589,1494,790,898
2017,1186,1133,762,273,1100,849,888,1167,159,420,868,1053
2018,1105,1135,1140,996,658,1166,471,1466,1038,1465,1712,763
2019,1170,686,737,1606,1084,1752,498,1372,1340,985,1507,1043
2020,767,554,535,965,780,491,1149,706,1218,590,987,1618
2021,564,1372,500,984,1089,328,1643,1217,1687,644,1369,935
2022,1633,1631,934,873,382,949,368,1205,943,731,745,1290
