1984,1829,1997,2416,2884,3072,3121,3518,3311,3249,2803,2444,2103
1985,2018,1936,2335,2629,3065,3249,3499,3638,3263,2960,2520,2084
1986,1821,1962,2262,2741,3284,3261,3500,3668,3388,2950,2528,1966
1987,1867,2079,2372,2697,3239,3309,3606,3641,3333,2945,2475,1993
1988,1849,2055,2353,2731,3090,3352,3567,3593,3359,3038,2545,2130
1989,1741,1890,2246,2542,3078,3278,3609,3546,3293,2966,2586,2067
1990,1867,2065,2253,2759,3180,3388,3615,3615,3438,3015,2540,2164
1991,2033,2093,2318,2776,2889,3294,3352,3624,3308,2907,2440,2204
1992,1841,1955,2102,2574,3235,3360,3445,3558,3216,2936,2483,2200
1993,1920,2092,2350,2695,3058,3367,3531,3564,3338,2975,2544,2141
1994,1990,1962,2380,2753,3171,3371,3406,3568,3394,2942,2661,2077
1995,1966,2118,2233,2679,3098,3304,3384,3652,3300,3020,2492,2177
1996,2002,2155,2448,2743,3267,3498,3772,3643,3400,2854,2446,2001
1997,1885,2090,2268,2576,3089,3440,3533,3481,3398,3063,2561,2174
1998,1977,2153,2505,2843,3272,3549,3775,3772,3440,3141,2671,2308
1999,2048,2294,2330,2919,3184,3547,3652,3940,3529,3092,2682,2187
2001,1884,2038,2434,2790,3324,3384,3654,3614,3404,3034,2544,2424
2002,2114,2144,2514,2894,3344,3494,3604,3594,3394,3054,2544,2265
2003,1974,2344,2594,2949,3274,3444,3634,3684,3394,3084,2594,2204
2004,2194,2174,2514,2864,3234,3434,3644,3634,3404,3034,2664,2164
2005,1949,2169,2470,2904,3264,3429,3669,3711,3386,3126,2686,2286
2006,1996,2321,2404,2851,3226,3566,3576,3766,3416,3116,2646,2016
2007,1876,2156,2476,3016,3351,3636,3621,3816,3416,2996,2606,2216
2008,1899,1956,2436,2881,3406,3366,3636,3736,3436,3106,2616,2006
2009,1876,2286,2601,2876,3411,3536,3566,3676,3436,3056,2726,2256
2010,2046,2316,2566,2976,3346,3575,3865,3755,3435,3115,2615,2175
2011,2095,2165,2405,2965,3410,3485,3685,3800,3550,3095,2575,2055
2012,1975,2085,2405,2805,3445,3455,3759,3697,3485,3100,2670,2235
2014,1930,2045,2345,3000,3285,3415,3615,3733,3445,3165,2585,2199
2018,1910,2220,2500,2995,3375,3605,3790,3695,3640,3135,2665,2210
2019,2165,2085,2290,2880,3205,3670,3670,3745,3590,3240,2485,2255
2020,1970,2145,2425,3030,3365,3570,3835,3735,3505,3000,2620,2180
2021,1915,2195,2640,2970,3335,3600,3835,3780,3555,3170,2680,2285
2022,2155,2150,2645,3015,3150,3610,3665,3755,3500,3105,2780,2310
