1878,954,1084,1184,1634,1854,2074,2324,2594,2204,1944,1304,1234
1879,1214,1184,1174,1364,1484,2094,2174,2274,2084,1754,1334,884
1880,954,1084,1214,1464,1604,1984,2414,2424,2184,1954,1414,1174
1881,1324,1294,1444,1524,1694,1914,2424,2634,2264,1854,1404,1164
1882,974,1134,1154,1534,1834,2004,2224,2294,1954,1744,1474,1184
1883,1124,1104,1084,1344,1644,1924,2234,2224,2134,1714,1454,1014
1884,1063,1303,1163,1313,1693,1793,2333,2523,2213,1683,1343,1053
1885,893,1493,1253,1253,1763,1933,2273,2573,2303,1683,1333,1203
1886,963,1023,1313,1463,1763,1943,2253,2233,2223,1843,1363,1103
1887,943,953,1243,1353,1693,2123,2433,2443,2263,1503,1433,1043
1888,1074,884,1274,1504,1654,2024,2224,2194,2124,1794,1494,1304
1889,914,1024,1114,1334,1644,1934,2264,2244,2084,1574,1374,954
1890,1084,1024,1074,1304,1514,1954,2014,2294,2064,1704,1284,1024
1891,744,914,1224,1414,1674,1954,2354,2294,2154,1894,1534,1224
1892,1134,1204,1274,1374,1734,2134,2434,2324,2214,1904,1514,1144
1893,944,1214,1374,1564,1824,2124,2314,2284,2354,1934,1434,1124
1895,946,1266,1186,1516,1616,2076,2496,2276,2336,2076,1736,1336
1897,1086,1146,1466,1546,1736,2166,2566,2546,2186,1786,1636,1156
1898,1196,1046,1146,1326,1696,2076,2436,2476,2216,1876,1466,1056
1899,1216,1346,1266,1566,1806,2056,2366,2466,2386,2186,1666,1196
1900,1086,1436,1116,1326,1666,2166,2176,2316,2286,1976,1296,1136
1901,1036,846,1166,1536,1566,2356,2446,2366,2216,1606,1366,1006
1902,986,1196,1256,1546,1516,1986,2486,2576,2166,1696,1496,1136
1903,1146,1066,1266,1346,1646,1906,2326,2446,2146,1926,1356,1056
1904,926,1126,1136,1406,1836,2126,2516,2606,2076,1826,1376,1246
1905,906,866,1386,1576,1596,2146,2326,2496,2206,1716,1386,1076
1906,1086,886,1186,1276,1636,2076,2256,2406,2226,1856,1426,1076
1907,946,836,1076,1286,1646,2156,2186,2506,2126,1726,1556,1326
1910,978,1088,1088,1348,1468,2018,2278,2318,2008,1948,1478,1198
1911,808,1068,1128,1278,1528,2028,2428,2548,2358,1898,1438,1418
1912,1098,1398,1418,1238,1858,2078,2208,2328,1878,1728,1158,1088
