1938,1828,1858,2628,2928,2648,2808,2808,2788,2858,2678,2108,1848
1942,1768,1848,2498,2728,2858,2908,2888,2788,2758,2678,2278,1868
1948,1848,1988,2458,2798,2708,2838,2828,2828,2848,2598,2258,1818
1949,1818,1908,2488,2518,2608,2828,2828,2818,2838,2748,2188,1718
1950,1788,1928,2428,2928,2888,2818,2828,2758,2878,2668,2198,1888
1951,1748,1998,2528,2858,2878,2808,2828,2888,2858,2718,2288,1958
1952,1868,2148,2358,2798,2718,2858,2858,2848,2818,2708,2328,1858
1955,1758,1948,2588,2758,2878,2818,2788,2758,2848,2758,2308,1858
1956,1733,1942,2508,2722,2853,2753,2858,2808,2798,2688,2298,1868
1957,1818,1898,2408,2958,3118,2808,2808,2878,2888,2668,2268,1888
1958,1958,2043,2593,2972,2958,3028,2938,2828,2878,2733,2313,1958
1959,1753,1998,2378,2843,2813,2818,2838,2803,2768,2553,2222,1913
1960,1767,2103,2368,3053,3018,2888,2788,2878,2808,2708,2258,1953
1961,1792,1767,2568,2943,2803,2758,2872,2828,2843,2663,2168,1708
1962,1692,2093,2518,2808,2748,2813,2868,2803,2908,2623,2233,1928
1963,1797,2163,2478,2733,2718,2798,2823,2848,2863,2608,2238,1948
1965,1797,2023,2372,2888,2928,2808,2783,2693,2793,2643,2253,1923
1966,1838,2173,2518,2938,2888,2883,2848,2798,2793,2538,2272,1903
1967,1788,2103,2358,2588,2783,2788,2798,2783,2668,2563,2103,1917
1968,1738,1863,2418,2743,2778,2733,2797,2833,2893,2593,2283,1908
1969,1717,1997,2538,2838,2868,2823,2828,2718,2788,2658,2238,1942
1970,1698,2028,2583,2918,2978,2808,2783,2853,2808,2618,2238,1842
1972,1808,1803,2543,2918,3043,2823,2847,2793,2808,2647,2263,1898
1973,1767,2148,2443,2988,2663,2763,2838,2838,2753,2658,2283,1873
1974,1713,1942,2308,2688,2708,2803,2748,2798,2758,2753,2363,1792
1975,1778,2028,2503,2938,2823,2893,2733,2848,2763,2758,2218,1803
1976,1797,2093,2518,2873,2698,2758,2823,2722,2818,2613,2368,1858
1979,1888,1988,2513,2883,3083,2993,2822,2893,2848,2718,2508,1967
1980,1773,1988,2513,3022,2618,2843,2828,2858,2843,2623,2353,2033
1981,1798,2033,2418,2553,2693,2918,2813,2888,2768,2693,2243,1863
1982,1842,1948,2308,2693,2943,2818,2873,2808,2903,2628,2242,1848
1983,1753,1898,2447,2658,2688,2963,2923,2853,2793,2658,2388,1868
1984,1733,1913,2518,2913,2668,2808,2778,2868,2753,2733,2297,1913
1985,1863,1993,2617,2883,2728,2833,2743,2883,2768,2653,2293,1973
1986,1838,2033,2542,2677,2718,2903,2783,2867,2693,2547,2363,1988
1987,1863,2168,2503,2768,2873,2908,2758,2778,2798,2743,2403,2038
2014,1770,1980,2410,2916,3005,2840,2930,2955,2810,2620,2435,1870
2015,1940,2155,2515,2560,2830,2950,2930,2940,2970,2670,2385,2000
2016,1630,2260,2690,3045,2800,3020,2945,3040,2965,2875,2500,2140
2017,1790,2205,2395,2755,2915,2985,2935,3010,3010,2820,2450,2130
2020,1820,2040,2515,2720,2800,2985,2975,3060,2980,2930,2460,1945
2021,1790,2205,2695,2945,2905,2930,3000,2975,3005,2975,2380,2100
2022,1820,1980,2720,2890,2855,2915,3065,3050,2950,2840,2495,2085
