1947,2418,3028,2988,3248,3148,2838,2638,2558,2588,2768,2588,2498
1948,2388,2878,2978,3078,2968,2628,2578,2528,2628,2788,2648,2468
1949,2508,2688,3158,3228,3118,2818,2638,2548,2638,2898,2778,2438
1950,2548,2648,2938,3208,3058,2838,2578,2508,2638,2718,2578,2478
1951,2528,2788,3128,3228,2968,2848,2598,2578,2618,2708,2568,2318
1952,2488,2678,3118,3398,3048,2788,2648,2528,2588,2718,2578,2428
1953,2578,2838,3068,3128,2838,2688,2538,2588,2638,2768,2738,2418
1954,2498,2808,3128,3158,2868,2708,2528,2448,2588,2728,2728,2488
1955,2548,2778,3028,3128,2948,2688,2538,2528,2538,2708,2548,2428
1956,2368,2828,3078,3218,3118,2728,2518,2468,2568,2628,2668,2488
1957,2428,2648,3008,3138,2948,2728,2668,2598,2588,2758,2848,2658
1958,2638,2688,3138,3178,3038,2678,2608,2588,2598,2768,2898,2618
1959,2608,2858,3148,3218,3008,2848,2668,2528,2588,2818,2748,2448
1960,2498,2708,3058,3128,3058,2758,2568,2588,2588,2768,2628,2658
1961,2558,2588,2918,3168,3078,2818,2608,2558,2578,2798,2578,2338
1962,2438,2698,3108,3138,2958,2708,2618,2518,2568,2718,2868,2528
1963,2538,3018,3008,3318,2998,2798,2668,2568,2668,2748,2558,2468
1964,2508,2688,3128,3198,2928,2698,2568,2488,2538,2748,2638,2568
1965,2628,2808,2968,3038,3008,2718,2588,2538,2588,2798,2528,2338
1967,2368,2798,3018,3168,3038,2718,2588,2528,2548,2738,2598,2608
1968,2428,2818,3098,3048,2898,2668,2588,2628,2638,2778,2678,2618
1969,2488,2878,3258,3158,3058,2828,2578,2568,2608,2738,2588,2528
1970,2618,2778,3048,3338,3018,2928,2608,2558,2578,2810,2590,2420
1971,2360,2840,3190,3190,2960,2810,2590,2460,2540,2700,2580,2510
1972,2480,2850,3160,3150,2980,2750,2680,2540,2630,2720,2440,2460
1987,2600,2870,3093,3270,3284,2800,2744,2649,2708,2821,2692,2516
1988,2531,2839,3282,3231,3259,2837,2655,2520,2618,2745,2746,2428
1989,2340,2608,2906,3181,3041,2790,2615,2517,2601,2713,2645,2507
1990,2674,2740,3029,3253,3046,2901,2605,2660,2621,2924,2905,2747
1991,2658,3043,3170,3170,2660,2750,2526,2544,2690,2737,2633,2479
1993,2418,2826,3103,3326,3153,2850,2656,2674,2643,2912,2949,2610
1994,2572,2818,3242,3220,3035,2826,2623,2535,2671,2774,2645,2393
1995,2366,2669,3227,3189,3051,2882,2690,2600,2640,2795,2721,2690
1996,2686,2988,3245,3351,3085,2799,2693,2588,2593,2761,2607,2599
1997,2663,2719,3061,3139,2902,2784,2679,2663,2740,2922,2856,2631
1998,2599,3079,3141,3374,3098,2816,2724,2570,2622,2805,2820,2619
1999,2653,2847,3356,3248,3082,2980,2658,2543,2550,2698,2680,2470
2000,2819,2590,3060,3320,3130,2782,2604,2530,2640,2720,2690,2510
2001,2480,2680,3126,3262,3107,2820,2660,2570,2620,2810,2697,2674
2003,2575,3015,3075,3205,3267,2810,2690,2615,2650,2890,2820,2545
2004,2605,2860,3090,3305,3010,2780,2635,2650,2720,2890,2840,2725
2005,2495,3110,3385,3410,3190,2845,2670,2655,2715,2795,2754,2579
2006,2765,2980,2940,3350,3055,2880,2795,2675,2645,2870,2635,2470
2008,2355,2784,3225,3210,3005,2850,2680,2705,2690,2820,2670,2650
2009,2590,3020,3230,3300,3140,2940,2730,2670,2700,2790,2797,2660
2010,2640,3040,3300,3360,3100,2800,2700,2630,2670,2740,2720,2510
2011,2510,2970,3343,3300,3110,2910,2733,2640,2650,2810,2720,2520
2012,2511,2920,3160,3300,2940,2780,2585,2590,2660,2885,2840,2620
2013,2570,2941,3447,3180,3040,2840,2710,2630,2670,2845,2790,2570
2015,2440,2980,3150,3300,3160,2979,2731,2625,2728,2880,2730,2355
2016,2485,2815,3250,3235,3085,2815,2740,2645,2660,2915,2855,2690
2017,2580,2835,3220,3370,3095,2825,2695,2605,2670,2790,2725,2535
2018,2429,2951,3256,3345,3100,2800,2685,2595,2675,2875,2740,2415
2019,2565,2817,3215,3430,3094,2905,2725,2655,2760,2755,2830,2530
2021,2665,2750,3250,3385,3260,2935,2735,2650,2685,2970,2945,2590
2022,2485,2815,3290,3340,3190,2865,2728,2630,2615,2760,2680,2500
2024,2630,2860,3400,3340,3140,2895,2785,2705,2715,2840,2625,2230
