1982,2628,2618,2663,2718,2743,2703,2658,2688,2708,2638,2698,2718
1983,2708,2692,2812,2873,2808,2783,2728,2748,2708,2703,2668,2653
1984,2648,2623,2688,2753,2718,2713,2673,2733,2678,2668,2668,2658
1985,2598,2718,2733,2722,2743,2728,2628,2703,2678,2673,2693,2623
1986,2618,2588,2658,2738,2758,2723,2678,2653,2683,2673,2663,2683
1987,2638,2643,2753,2773,2738,2773,2708,2727,2732,2729,2729,2709
1988,2727,2704,2779,2813,2744,2730,2673,2669,2721,2718,2673,2568
1998,2750,2749,2899,2946,2926,2835,2774,2738,2783,2757,2717,2662
1999,2688,2654,2747,2737,2693,2782,2751,2744,2754,2667,2693,2670
2000,2666,2622,2708,2718,2818,2679,2802,2698,2749,2667,2706,2689
2001,2646,2668,2708,2758,2798,2688,2808,2828,2728,2658,2668,2658
2005,2708,2822,2837,2879,2868,2871,2824,2845,2738,2801,2638,2664
2006,2668,2708,2708,2708,2738,2698,2798,2728,2678,2776,2738,2708
2009,2618,2658,2795,2818,2828,2848,2738,2798,2838,2718,2783,2728
2010,2678,2768,2868,2863,2882,2856,2708,2845,2806,2839,2698,2648
2011,2710,2618,2731,2728,2768,2768,2758,2758,2846,2748,2728,2678
2014,2582,2685,2750,2860,2860,2875,2835,2780,2825,2765,2805,2765
2015,2690,2735,2785,2844,2860,2865,2865,2810,2855,2850,2810,2850
2016,2865,2860,2900,2970,2970,2791,2840,2920,2845,2815,2810,2789
2017,2805,2755,2792,2847,2877,2817,2857,2837,2807,2772,2817,2782
2018,2757,2712,2814,2867,2847,2867,2877,2897,2817,2807,2832,2797
2019,2787,2787,2817,2932,2957,2882,2852,2889,2922,2802,2792,2752
2020,2827,2837,2872,2887,2917,2842,2827,2872,2827,2797,2788,2797
2021,2717,2722,2777,2797,2812,2782,2877,2822,2792,2842,2832,2827
2022,2787,2732,2807,2822,2902,2842,2857,2857,2712,2802,2737,2757
2023,2772,2765,2765,2900,2950,2853,2835,2900,2865,2860,2855,2890
2024,2850,2775,2940,2990,2940,2795,2900,2850,2790,2855,2860,2800
