1918,-481,-52,504,1249,1743,2364,2639,2424,1809,1218,249,-546
1927,-751,-326,399,1374,1893,2544,2689,2529,2069,1269,669,-316
1928,-521,-326,519,1424,2179,2519,2584,2424,1824,1194,249,-401
1929,-561,-295,654,1299,2044,2579,2654,2429,2014,1239,324,-511
1930,-661,-82,659,1334,1984,2479,2714,2419,1939,1293,254,-186
1931,-441,-351,553,1204,1868,2494,2519,2549,2029,1214,414,-356
1932,-211,-336,344,1259,2024,2409,2584,2469,1944,1244,484,-141
1933,-736,-245,169,1234,1994,2234,2614,2369,2094,1204,369,-170
1934,-786,-107,368,1119,2044,2414,2739,2319,1954,1179,444,-151
1935,-681,64,729,1414,2009,2489,2569,2498,2099,1459,293,-651
1936,-816,-505,158,1193,1904,2514,2639,2464,2079,1414,419,-301
1944,-366,-211,519,1239,1889,2509,2679,2404,2024,1234,314,-661
1945,-691,-510,364,1543,1949,2519,2614,2559,1994,1319,649,-136
1946,-376,-66,269,1404,1824,2619,2634,2524,1994,1394,539,-496
1947,-675,-501,188,1444,1979,2399,2659,2484,1843,1209,109,-676
1950,-355,-77,679,1343,1923,2359,2619,2589,1999,1259,319,-195
1951,-918,-249,215,1296,2161,2526,2576,2526,1756,1350,365,41
1952,-294,-364,371,1400,1925,2291,2556,2476,2011,1316,296,-504
1953,-619,-409,671,1300,1875,2476,2721,2336,2041,1451,421,-179
1954,-314,-88,406,1316,1881,2246,2401,2426,1950,1211,616,-724
1955,-514,91,281,1356,2056,2596,2706,2537,2052,1192,412,-59
1956,-388,-303,292,1307,1776,2237,2617,2377,2072,1212,152,-528
1957,-558,-543,266,1327,2027,2281,2622,2487,1862,1347,597,-163
1958,-532,-187,467,1327,1922,2492,2642,2317,2062,1177,437,62
1959,-408,-8,747,1367,1982,2327,2562,2492,1942,1417,257,-223
1960,-513,232,542,1401,1792,2537,2612,2467,2002,1187,457,-393
1961,-383,72,752,1477,2062,2507,2692,2472,1937,1212,592,-438
1962,-438,-74,517,1237,2022,2397,2602,2517,2017,1197,332,-59
1963,-418,-118,642,1192,1807,2512,2662,2502,1962,1217,477,-223
1964,-673,-853,337,1107,1932,2452,2567,2447,1917,1177,536,-117
1965,-333,-43,561,1107,2037,2472,2702,2512,2092,1497,542,-233
1966,-393,-89,472,1257,1937,2477,2567,2547,1922,1367,522,-428
1967,-363,-233,647,1317,2227,2402,2562,2502,1826,1357,237,-553
1968,-463,-433,627,1437,2002,2562,2732,2457,2002,1152,522,-74
1969,-708,-513,197,1197,1862,2312,2472,2417,1942,1267,322,-338
1970,-613,-148,172,1322,1972,2372,2542,2377,1947,1362,322,-268
1971,-388,-237,241,1347,2027,2447,2602,2462,1997,1292,657,-358
1972,-538,-443,542,1382,1857,2637,2697,2402,1901,1301,366,-187
1973,-453,-193,677,1467,1912,2247,2467,2427,1912,1117,502,-123
1974,-348,-162,502,1357,1972,2406,2482,2417,1982,1162,452,-328
1975,-263,-117,667,1412,1926,2487,2652,2572,2127,1387,592,-298
1976,-298,27,492,1132,1952,2372,2377,2322,1957,1232,237,-143
1977,-748,-123,752,1487,1881,2347,2542,2442,2062,1412,507,-53
1978,-217,-213,507,1422,1912,2572,2606,2402,1952,1247,552,-298
1979,-393,7,547,1102,1892,2352,2477,2377,1867,1472,336,-107
1980,-421,-246,404,1144,1984,2539,2674,2364,1874,1184,689,-341
1981,-501,-137,739,1494,1984,2434,2694,2404,2019,1174,219,-276
1982,-446,18,694,1524,2089,2374,2439,2474,1934,1463,469,-132
1983,-296,-191,614,1439,2009,2494,2624,2479,2124,1304,614,-32
1984,-490,-300,404,1284,1899,2424,2639,2499,1888,1329,484,-361
1985,-511,-230,334,1399,1893,2423,2523,2463,1803,1353,388,-462
1986,-336,-162,638,1428,2013,2508,2558,2378,2003,1163,348,-221
1987,-427,23,483,1353,1953,2328,2658,2473,2093,1373,348,-161
1988,-386,-142,433,1448,1908,2468,2528,2403,2048,1383,623,-53
1989,-262,138,778,1478,1968,2423,2503,2443,1917,1348,447,-67
1990,-542,-177,688,1303,1893,2358,2553,2467,1983,1478,568,-117
1991,-268,-65,329,1288,1892,2380,2518,2595,2018,1370,379,-295
1992,-159,116,531,1500,2012,2352,2698,2402,2028,1190,337,-133
1995,-146,133,718,1379,1907,2380,2491,2442,1833,1395,746,-83
1996,-303,-54,536,1313,2090,2498,2512,2302,2017,1275,379,-4
1997,-504,74,747,1403,1985,2557,2867,2692,1853,1467,490,-169
1999,-48,257,488,1537,2003,2579,2776,2512,2147,1332,573,18
2000,-681,-119,822,1510,2079,2641,2866,2538,2187,1153,288,-80
2001,-578,-167,803,1396,2258,2550,2671,2546,2111,1407,538,-254
2006,-252,-70,816,1315,1995,2620,2538,2545,2166,1614,620,-155
2007,-239,374,621,1474,2221,2562,2636,2616,2129,1303,544,-21
2008,-328,56,896,1558,2047,2272,2655,2538,2054,1489,711,-75
2009,-220,90,739,1501,2206,2614,2688,2446,1993,1529,112,-232
2010,-521,-115,371,1059,2154,2456,2828,2515,2045,1342,597,-45
2012,-446,-173,593,1614,2237,2525,2714,2517,1990,1483,402,-397
2013,-562,-104,711,1262,2110,2457,2697,2689,2098,1385,618,-14
