1954,1507,1547,1447,1167,947,937,747,837,807,1037,1357,1487
1955,1647,1447,1257,1097,827,737,607,667,837,1047,1407,1357
1956,1297,1457,1267,957,837,737,807,807,787,1117,1367,1467
1958,1487,1407,1437,1107,907,857,977,687,857,1217,1287,1387
1959,1557,1597,1367,997,967,817,817,697,817,1107,1327,1527
1960,1757,1667,1337,1127,997,847,657,787,917,1087,1307,1437
1962,1517,1517,1447,1087,1017,887,657,927,907,1157,1407,1607
1965,1613,1603,1433,1143,853,1103,773,803,843,1043,1333,1283
1966,1533,1323,1393,1273,1113,923,773,813,803,933,1343,1383
1969,1563,1403,1293,1133,1023,783,883,783,933,963,1273,1573
1970,1623,1513,1283,1123,1003,793,863,733,963,1053,1263,1343
1971,1393,1313,1273,1003,963,613,893,773,993,1103,1333,1313
1972,1553,1463,1223,1183,1003,753,673,803,853,877,1177,1407
1973,1357,1297,1247,1067,881,785,622,769,814,954,1144,1304
1975,1527,1398,1308,1129,1009,896,675,645,821,944,1061,1209
1976,1321,1454,1123,979,1004,679,575,658,846,964,1178,1383
1977,1480,1446,1311,1186,933,724,682,740,860,1057,1151,1438
1979,1514,1435,1274,1104,995,734,739,853,747,964,1158,1404
1980,1584,1477,1395,896,934,725,685,821,890,1014,1092,1422
1981,1449,1412,1298,1225,996,782,711,754,772,1032,1084,1312
1982,1573,1299,1237,1168,1064,595,724,782,1055,964,1108,1424
1983,1632,1423,1297,1111,946,600,571,722,709,1077,1267,1541
1984,1494,1364,1300,946,754,484,553,636,950,942,1157,1430
1985,1540,1435,1209,979,883,1009,754,783,842,997,1288,1346
1986,1382,1403,1174,1037,933,699,768,676,824,1136,1037,1282
1987,1458,1467,1385,1065,831,818,845,720,836,1071,1223,1292
1988,1348,1491,1344,1089,847,719,574,717,849,895,1208,1344
1989,1477,1472,1263,1094,758,891,726,748,806,1021,1265,1420
1990,1441,1519,1265,1000,887,740,714,825,879,986,1096,1323
1991,1476,1449,1274,1075,920,723,626,652,926,915,1281,1237
1993,1403,1501,1364,1093,843,764,617,728,826,1030,1155,1310
1994,1494,1346,1369,1043,1009,937,690,689,847,1017,1227,1426
1995,1368,1341,1249,1176,955,710,490,594,772,1001,1149,1416
1996,1381,1372,1241,1014,972,514,802,864,904,976,1193,1419
1997,1493,1244,1346,1186,1058,824,812,773,875,983,1210,1335
1998,1423,1623,1321,1132,1240,863,787,770,681,962,1129,1242
1999,1469,1366,1159,1062,851,585,616,855,916,1073,1257,1277
2000,1497,1387,1137,966,847,582,547,707,752,982,1162,1352
2001,1442,1420,1194,907,857,737,647,777,847,987,1107,1459
2002,1497,1397,1156,997,947,577,747,827,825,982,1177,1322
2003,1397,1282,1249,905,817,737,602,862,797,1037,1178,1297
2004,1512,1450,1435,1105,945,860,760,805,855,1075,1230,1350
2005,1375,1625,1315,1030,825,694,765,690,805,949,1210,1324
2006,1439,1540,1205,1085,855,900,770,750,840,960,1081,1324
2007,1469,1410,1345,1015,780,620,602,505,858,970,1065,1294
2008,1555,1620,1370,1355,905,785,775,720,854,1030,1250,1525
2009,1485,1470,1350,1250,915,710,630,875,750,915,960,1195
2010,1434,1320,1395,1060,795,845,610,671,825,1000,1115,1265
2011,1445,1475,1245,1055,890,750,669,665,880,949,1165,1405
2013,1619,1494,1335,1195,1005,775,649,680,765,1010,1160,1420
2014,1418,1404,1170,1010,935,720,735,880,883,1005,1170,1335
2015,1510,1392,1385,1165,1065,765,755,790,805,995,1149,1390
2016,1590,1505,1350,975,1095,730,745,870,905,1070,1280,1370
2017,1500,1595,1310,1230,930,720,690,760,765,975,1170,1370
2018,1455,1540,1235,1040,935,655,605,745,890,1000,1135,1370
2019,1255,1475,1255,1045,920,740,750,715,810,985,1165,1325
2020,1460,1420,1400,1120,965,790,665,715,805,935,1205,1320
2021,1415,1505,1385,1255,940,680,715,765,910,1035,1210,1430
2022,1485,1530,1215,990,835,575,605,650,810,980,1365,1440
2023,1485,1465,1230,1115,930,740,745,705,745,940,1060,1303
