1957,2250,2317,2382,2389,2326,2314,2281,2256,2193,2175,2261,2287
1958,2300,2347,2483,2502,2397,2311,2283,2261,2258,2211,2258,2282
1960,2317,2359,2368,2411,2308,2265,2264,2288,2247,2162,2264,2292
1974,2161,2181,2289,2373,2260,2182,2202,2202,2095,2092,2175,2211
1975,2238,2248,2396,2418,2310,2231,2148,2138,2119,2125,2133,2163
1978,2240,2251,2357,2333,2333,2141,2155,2263,2229,2196,2271,2195
1987,2288,2337,2369,2366,2289,2386,2257,2273,2240,2323,2340,2324
1988,2284,2344,2323,2399,2290,2256,2210,2219,2105,2113,2249,2196
1990,2307,2258,2342,2370,2325,2344,2264,2215,2264,2088,2274,2223
1991,2284,2314,2404,2332,2222,2262,2354,2314,2304,2244,2197,2264
1996,2188,2266,2295,2359,2268,2241,2240,2234,2209,2150,2104,2254
1997,2200,2211,2325,2370,2379,2259,2415,2420,2315,2334,2284,2320
1999,2195,2234,2279,2315,2240,2220,2234,2184,2100,2125,2129,2140
2001,2204,2270,2299,2404,2363,2354,2300,2334,2254,2290,2259,2295
2002,2229,2259,2329,2329,2220,2229,2250,2331,2261,2226,2256,2281
2003,2316,2361,2351,2406,2306,2236,2286,2271,2226,2221,2241,2221
2004,2301,2221,2386,2421,2321,2341,2260,2281,2238,2232,2258,2193
2005,2278,2308,2412,2432,2358,2257,2322,2288,2283,2163,2188,2253
2006,2208,2298,2377,2298,2348,2238,2238,2258,2293,2208,2218,2323
2007,2433,2358,2348,2318,2333,2298,2308,2268,2253,2183,2148,2253
2008,2298,2288,2248,2353,2283,2278,2258,2248,2128,2108,2238,2238
2009,2283,2328,2248,2463,2353,2323,2368,2363,2268,2292,2283,2333
2010,2358,2468,2482,2503,2372,2303,2247,2263,2202,2238,2168,2128
2011,2278,2353,2358,2298,2373,2323,2288,2293,2288,2158,2232,2154
2012,2232,2232,2391,2237,2228,2333,2266,2175,2303,2276,2177,2308
2013,2377,2261,2425,2437,2362,2324,2345,2184,2145,2138,2245,2229
2014,2230,2267,2398,2507,2275,2274,2327,2357,2153,2149,2274,2208
2015,2246,2324,2286,2472,2492,2442,2277,2332,2250,2230,2217,2333
2016,2357,2293,2523,2394,2317,2329,2385,2253,2333,2160,2108,2286
2017,2323,2295,2348,2468,2363,2221,2240,2223,2275,2273,2274,2316
2018,2320,2360,2424,2421,2322,2362,2363,2323,2290,2236,2312,2291
2019,2341,2404,2440,2515,2395,2410,2411,2260,2312,2219,2335,2383
2020,2412,2438,2482,2499,2424,2332,2374,2339,2296,2275,2249,2322
2021,2331,2341,2331,2309,2400,2240,2274,2309,2332,2324,2343,2380
2022,2336,2364,2440,2380,2329,2235,2320,2315,2250,2283,2240,2315
2023,2325,2385,2375,2440,2505,2420,2480,2425,2430,2335,2375,2435
2024,2440,2445,2555,2565,2455,2355,2420,2415,2257,2357,2129,2376
