2002,2623,2563,2573,2635,2716,2676,2827,2829,2781,2735,2729,2622
2007,2719,2540,2593,2682,2760,2802,2869,2959,2759,2819,2738,2655
2008,2608,2423,2685,2590,2697,2775,2839,2961,2844,2687,2705,2491
2009,2513,2501,2498,2617,2684,2736,3015,2889,3025,2816,2722,2622
2011,2472,2524,2512,2669,2732,2768,2739,2761,2769,2669,2612,2533
2012,2490,2498,2584,2624,2701,2772,3059,2916,2790,2780,2699,2743
2013,2435,2425,2630,2710,2755,2978,2725,2850,3050,2750,2861,2805
2014,2730,2620,2809,2740,2876,2860,2855,2951,2809,2764,2660,2551
2015,2562,2549,2621,2724,2807,3024,2890,2975,3012,2950,2660,2570
2019,2480,2729,2611,2685,2795,2840,2925,2920,2949,2754,2695,2755
2022,2490,2530,2640,2680,2735,2987,2864,2925,2780,2760,2625,2565
