1961,2493,2573,2513,2513,2523,2383,2233,2283,2393,2383,2413,2523
1962,2473,2493,2513,2473,2463,2283,2133,2283,2353,2343,2393,2553
1965,2474,2504,2524,2534,2514,2494,2374,2334,2384,2384,2374,2504
1966,2544,2514,2534,2474,2474,2304,2254,2324,2364,2374,2414,2434
1967,2434,2494,2504,2584,2504,2284,2214,2294,2324,2394,2374,2454
1968,2444,2474,2504,2534,2544,2274,2314,2344,2414,2374,2454,2534
1969,2514,2544,2594,2614,2604,2544,2354,2324,2424,2374,2454,2514
1970,2524,2524,2504,2554,2484,2354,2264,2244,2344,2424,2374,2434
1971,2404,2394,2514,2514,2404,2324,2234,2284,2364,2334,2354,2474
1972,2454,2494,2584,2594,2574,2494,2494,2454,2444,2434,2484,2574
1973,2574,2564,2594,2594,2504,2404,2264,2294,2334,2344,2384,2364
1974,2424,2444,2524,2524,2504,2354,2264,2294,2314,2344,2434,2454
1975,2424,2444,2544,2524,2444,2374,2204,2234,2314,2374,2354,2384
1976,2384,2444,2544,2544,2554,2474,2444,2414,2394,2394,2464,2564
1977,2484,2544,2574,2557,2527,2417,2327,2327,2427,2387,2457,2567
1978,2487,2567,2577,2557,2527,2357,2317,2307,2377,2407,2537,2537
1979,2507,2577,2597,2607,2547,2437,2287,2427,2437,2527,2517,2617
1980,2597,2527,2587,2637,2577,2427,2287,2317,2387,2467,2467,2487
1985,2393,2523,2533,2543,2443,2393,2223,2323,2413,2433,2493,2473
1986,2463,2533,2553,2523,2433,2263,2273,2333,2433,2403,2423,2473
1987,2573,2643,2673,2663,2573,2483,2403,2423,2463,2503,2583,2583
1988,2553,2593,2573,2583,2543,2323,2313,2303,2403,2383,2433,2443
1989,2453,2523,2603,2583,2473,2313,2233,2243,2363,2413,2503,2513
1990,2543,2573,2623,2603,2543,2463,2373,2363,2443,2403,2513,2543
2009,2585,2615,2660,2680,2645,2520,2490,2515,2575,2590,2625,2680
2010,2655,2630,2745,2755,2710,2515,2470,2455,2490,2515,2435,2480
2012,2550,2550,2630,2650,2610,2540,2410,2380,2440,2470,2570,2590
2013,2510,2550,2620,2610,2520,2455,2300,2430,2550,2565,2550,2642
2014,2580,2520,2725,2685,2665,2635,2540,2530,2510,2530,2555,2640
2015,2530,2610,2630,2775,2670,2695,2615,2530,2655,2630,2625,2715
2016,2680,2735,2765,2725,2750,2630,2540,2560,2575,2645,2550,2680
