1930,1327,1287,1460,1797,1936,2377,2463,2512,2452,2226,1835,1680
1931,1392,1353,1678,1830,1968,2290,2539,2582,2512,2188,1798,1542
1932,1292,1388,1552,1787,1976,2292,2455,2492,2430,2310,1839,1561
1934,1292,1157,1534,1680,2065,2273,2455,2512,2447,2326,2023,1602
1937,1256,1508,1629,1855,2013,2297,2458,2560,2530,2306,1988,1527
1939,1392,1392,1555,1737,2103,2121,2418,2529,2468,2427,2042,1650
1947,1329,1500,1687,1740,2084,2296,2538,2646,2525,2237,1900,1614
1957,1237,1353,1464,1779,2033,2338,2466,2583,2466,2208,1961,1427
1959,1327,1257,1467,1767,2057,2287,2427,2567,2387,2047,1847,1447
1960,1307,1417,1578,1900,2051,2294,2456,2571,2421,2366,1971,1663
1964,1292,1334,1661,1728,1907,2303,2460,2568,2360,2207,1831,1520
1965,1350,1304,1616,1865,1920,2424,2509,2493,2352,2110,1743,1459
1966,1352,1438,1506,1836,1984,2323,2512,2599,2420,2320,1983,1380
1967,1187,1297,1397,1737,1997,2327,2467,2557,2427,2127,1777,1417
1968,1197,1377,1437,1817,2117,2527,2547,2577,2407,2057,1727,1407
1969,1137,1447,1647,1617,1977,2497,2437,2457,2467,2187,1837,1407
1970,1407,1407,1677,1727,2007,2247,2467,2557,2427,2087,1747,1377
1971,1467,1397,1587,1747,2127,2317,2377,2567,2427,2107,1757,1477
1972,1327,1347,1567,1887,1977,2367,2507,2617,2647,2227,1827,1527
1973,1327,1467,1517,1687,2017,2327,2537,2537,2407,2207,1717,1517
1975,1277,1317,1517,1737,2047,2337,2427,2497,2437,2157,1807,1457
1976,1267,1207,1457,1727,2037,2197,2437,2467,2367,2227,1827,1537
1977,1357,1457,1447,1747,2127,2357,2517,2527,2367,2027,1877,1347
1978,1237,1537,1457,1767,2087,2307,2467,2437,2337,2177,1627,1477
1983,1103,1081,1343,1717,2046,2264,2477,2531,2371,2006,1886,1436
1984,1316,1376,1531,1661,2135,2191,2381,2466,2455,2171,1791,1491
1985,1411,1401,1516,1852,2198,2464,2540,2472,2285,2161,1925,1539
1986,1404,1496,1570,1837,1922,2413,2512,2575,2527,2164,1769,1420
1987,1369,1434,1355,1686,2007,2291,2473,2670,2499,2145,1729,1619
1988,1315,1326,1510,1729,2090,2490,2652,2604,2518,2136,1623,1385
1989,1215,1305,1523,1902,2095,2338,2505,2591,2575,2122,1791,1516
1990,1354,1378,1511,1839,2011,2367,2564,2567,2439,2269,1968,1555
1991,1358,1382,1666,1874,2051,2334,2465,2601,2405,2280,1803,1260
1992,1292,1174,1450,1690,1927,2416,2523,2623,2422,2271,1953,1396
1993,1335,1286,1436,1871,1965,2365,2525,2541,2473,2365,1926,1631
1994,1448,1410,1468,1942,2079,2254,2509,2580,2543,2380,1830,1394
1995,1282,1397,1570,1609,1931,2503,2637,2655,2579,2200,1726,1527
1996,1341,1444,1525,1688,2031,2284,2495,2588,2589,2129,1926,1562
1997,1450,1344,1452,1650,1979,2408,2617,2573,2420,2193,1869,1547
1998,1410,1428,1431,1854,2068,2309,2544,2758,2581,2322,1859,1480
1999,1370,1397,1589,1798,2174,2451,2623,2646,2538,2382,1970,1568
2000,1220,1330,1490,1890,2050,2380,2590,2640,2504,2200,1980,1610
2001,1470,1470,1730,1840,2050,2290,2570,2690,2590,2250,1820,1410
2003,1550,1253,1350,1730,2130,2400,2700,2680,2540,2320,1935,1490
2004,1463,1420,1664,1746,2088,2187,2640,2620,2508,2323,1978,1540
2005,1436,1355,1626,1805,2064,2287,2546,2660,2584,2293,1840,1552
2006,1353,1420,1608,1912,2020,2410,2567,2690,2540,2220,1780,1520
2007,1415,1430,1645,1720,2100,2410,2610,2660,2520,2297,1870,1510
2008,1377,1350,1780,1920,2140,2467,2630,2670,2596,2230,1957,1570
2009,1470,1460,1539,1793,1979,2468,2622,2640,2590,2360,1880,1669
2010,1490,1798,1766,1919,2136,2436,2620,2691,2640,2412,2020,1590
2011,1450,1480,1550,1790,2060,2470,2640,2660,2560,2250,1680,1480
2012,1260,1250,1500,1920,2170,2470,2720,2760,2580,2390,2060,1580
2013,1370,1460,1730,1840,2260,2410,2505,2680,2580,2270,1995,1510
2014,1475,1500,1660,1850,2120,2420,2650,2690,2600,2260,2131,1610
2015,1290,1340,1585,1800,2011,2306,2490,2788,2685,2415,1971,1588
2016,1420,1595,1700,1595,2320,2570,2670,2705,2635,2385,2020,1465
2017,1280,1485,1595,1765,2155,2505,2680,2745,2555,2269,1806,1631
2018,1450,1745,1820,1975,2270,2530,2640,2740,2615,2335,1955,1580
2019,1260,1350,1505,1960,1960,2510,2707,2710,2572,2365,1985,1565
2021,1515,1482,1740,1915,2335,2375,2720,2760,2615,2284,2055,1510
2022,1290,1410,1355,1920,2095,2495,2640,2700,2655,2265,1945,1740
