1962,2727,2726,2687,2717,2637,2657,2612,2567,2562,2717,2757,2667
1963,2587,2657,2676,2682,2662,2617,2551,2492,2607,2737,2807,2702
1964,2762,2772,2742,2742,2727,2622,2622,2632,2692,2632,2672,2702
1968,2733,2698,2733,2673,2683,2623,2598,2518,2648,2643,2698,2692
1972,2617,2742,2637,2682,2617,2557,2537,2577,2597,2687,2797,2772
1973,2767,2752,2757,2782,2707,2682,2617,2647,2667,2752,2697,2687
1974,2677,2597,2637,2622,2682,2592,2542,2637,2697,2692,2662,2637
1975,2677,2667,2682,2682,2652,2537,2587,2582,2667,2672,2657,2652
1976,2710,2764,2748,2729,2653,2551,2503,2517,2523,2656,2722,2778
1977,2737,2679,2700,2704,2678,2610,2479,2469,2510,2654,2750,2752
1978,2726,2714,2724,2723,2700,2617,2578,2593,2596,2654,2685,2690
1979,2749,2744,2703,2699,2697,2598,2523,2526,2591,2619,2807,2756
1980,2722,2755,2742,2742,2720,2607,2633,2599,2641,2708,2754,2712
1982,2707,2724,2661,2704,2620,2605,2498,2502,2535,2629,2764,2798
1986,2652,2669,2693,2727,2687,2614,2575,2534,2587,2650,2729,2728
1987,2690,2738,2766,2764,2716,2683,2565,2542,2630,2711,2740,2719
1988,2714,2782,2794,2739,2778,2722,2627,2615,2668,2756,2747,2766
1989,2748,2731,2710,2737,2734,2701,2683,2649,2662,2711,2788,2762
1994,2710,2742,2676,2738,2639,2583,2539,2510,2552,2693,2837,2793
1995,2724,2714,2736,2751,2754,2717,2656,2592,2667,2759,2711,2726
1996,2740,2716,2786,2798,2703,2710,2650,2667,2685,2793,2760,2833
1997,2728,2751,2776,2786,2744,2682,2558,2540,2599,2676,2794,2833
2001,2757,2795,2750,2755,2774,2720,2640,2645,2736,2805,2836,2749
2002,2774,2774,2808,2822,2805,2708,2665,2610,2636,2769,2887,2863
2004,2804,2809,2824,2863,2761,2661,2640,2599,2646,2710,2800,2770
2005,2820,2883,2865,2808,2716,2754,2705,2650,2727,2730,2740,2745
2006,2743,2760,2784,2740,2777,2641,2585,2570,2560,2773,2830,2830
2011,2786,2804,2740,2720,2760,2618,2590,2580,2610,2700,2760,2780
2012,2740,2750,2720,2800,2734,2635,2580,2570,2630,2770,2899,2800
2013,2770,2830,2795,2830,2785,2780,2704,2625,2668,2790,2781,2755
2014,2745,2745,2790,2810,2813,2770,2660,2640,2640,2750,2870,2780
2015,2790,2780,2790,2810,2730,2705,2640,2625,2675,2770,2935,2885
2018,2675,2750,2820,2894,2810,2750,2680,2600,2680,2790,2820,2840
2019,2810,2825,2800,2825,2755,2660,2640,2615,2645,2775,2890,2970
2021,2725,2765,2775,2785,2790,2755,2700,2735,2765,2775,2790,2810
2022,2770,2795,2835,2820,2830,2765,2705,2720,2750,2740,2800,2770
2023,2785,2765,2825,2770,2760,2705,2640,2645,2680,2830,2895,2845
