1951,2090,2370,2630,2830,2720,2660,2730,2720,2690,2530,2410,2110
1952,2170,2530,2820,2920,2850,2830,2700,2650,2620,2560,2350,1970
1958,2300,2307,2954,2941,2921,2754,2673,2757,2624,2563,2387,2222
1961,2042,2502,2762,2852,2812,2642,2742,2702,2602,2562,2442,2272
1962,1952,2269,2628,2872,2857,2741,2711,2647,2603,2596,2397,2106
1963,1812,2302,2562,2882,2882,2702,2662,2672,2702,2572,2522,2142
1964,2384,2368,2702,2952,2758,2757,2807,2700,2633,2608,2216,2024
1965,2115,2552,2658,2848,2814,2664,2759,2747,2632,2665,2449,2256
1966,2400,2459,2837,2797,2709,2724,2704,2631,2566,2699,2461,2371
1967,1998,2248,2698,2858,2818,2808,2798,2728,2568,2448,2368,1988
1968,2148,2118,2688,2708,2798,2738,2778,2718,2788,2508,2478,2398
1969,2518,2548,2788,2948,2938,2828,2748,2718,2678,2618,2288,2028
1970,2178,2498,2818,2838,2858,2758,2718,2658,2688,2548,2308,2308
1971,1999,2279,2599,2899,2839,2689,2699,2679,2639,2609,2159,2079
1972,1979,2379,2549,2749,2949,2819,2729,2629,2729,2669,2489,2279
1974,2119,2229,2549,2789,2839,2749,2749,2659,2739,2569,2229,2209
1975,2229,2419,2739,2839,2759,2709,2739,2639,2709,2549,2269,1859
1976,1999,2469,2609,2839,2799,2839,2729,2659,2689,2719,2189,2229
1979,2338,2528,2948,2908,2728,2728,2828,2678,2678,2448,2238,2168
1980,2228,2408,2928,2928,2888,2758,2748,2728,2598,2608,2388,2218
1996,2106,2176,2886,2766,2866,2786,2726,2666,2606,2666,2556,2246
1998,2633,2733,3013,3123,3053,2883,2803,3073,2613,2643,2453,2263
2005,2294,2695,2620,2920,2940,2825,2780,2665,2715,2640,2515,2119
2010,2370,2740,2789,3020,2915,2954,2845,2660,2795,2505,2355,2239
2014,2030,2395,2890,2915,3045,2845,2675,2715,2705,2655,2610,2165
2016,2250,2200,2795,3265,3065,2875,2785,2780,2710,2690,2590,2325
2018,2310,2330,2915,2840,2935,2850,2680,2695,2850,2850,2670,2500
2024,2460,2765,2920,2970,3125,2945,2750,2845,2880,2705,2635,2315
