1943,-3497,-2737,-2017,-97,1203,1713,1933,1793,1003,-17,-1097,-2497
1944,-3457,-3137,-1727,-226,1083,1883,1863,1683,943,3,-1047,-3417
1945,-3676,-3807,-2357,-97,1533,1763,1863,1633,1043,203,-1037,-2257
1946,-3097,-2417,-2177,133,993,1773,1973,1573,833,133,-906,-2937
1947,-3537,-3077,-1946,403,1183,1753,1943,1603,913,33,-997,-2907
1948,-3317,-3337,-1657,363,963,1593,2033,1653,943,-77,-1367,-2527
1949,-2977,-2587,-2137,133,1123,1703,1893,1763,893,183,-1237,-2927
1950,-3137,-3276,-1907,-777,1263,1773,1993,1653,1133,-117,-1657,-2957
1952,-3297,-3497,-2117,-97,1233,1703,1843,1683,1043,-177,-1547,-2677
1953,-3137,-3087,-1867,-577,1163,1903,2013,1583,1183,123,-1147,-2607
1954,-3297,-3067,-2187,-157,713,1763,1683,1913,1063,83,-1047,-3397
1955,-3717,-2757,-2077,-317,1153,1703,1863,1823,963,-37,-1006,-2337
1956,-3617,-3107,-2197,93,1173,1643,1993,1733,1003,83,-1347,-3167
1957,-3637,-2997,-1807,-67,1003,1893,1843,1543,973,-7,-867,-2407
1958,-3257,-2837,-2117,-157,1083,1523,1833,1713,933,93,-1047,-2097
1959,-3317,-2947,-1867,13,1063,1703,1933,1743,1233,143,-1796,-3237
1961,-3340,-3016,-2041,246,1140,1434,1938,1626,1045,-285,-990,-2559
1962,-3251,-2858,-1577,-38,1287,1758,1886,1812,1188,191,-1266,-2275
1963,-2844,-2504,-1462,-504,1008,1626,1839,1744,899,129,-578,-2102
1964,-2946,-3593,-1610,-195,1123,1835,1956,1801,1035,-105,-821,-2120
1965,-2743,-2958,-1848,-329,1307,1819,1961,1612,1037,170,-1049,-2510
1966,-2783,-2563,-1377,39,1018,1748,1770,1717,1312,185,-1001,-3095
1968,-3418,-3365,-1886,-287,1162,1751,1976,1571,678,60,-1356,-2378
1969,-3861,-3470,-1730,242,1000,1800,2070,1471,865,85,-1080,-2784
1970,-3283,-2632,-2323,63,933,1668,1926,1631,990,120,-1188,-2835
1971,-2949,-2936,-2011,369,1140,1634,1801,1620,1032,207,-677,-2459
1972,-3075,-3038,-1650,356,1132,1929,1811,1656,812,55,-789,-2503
1973,-3075,-2715,-1775,264,917,1851,1897,1714,1261,107,-747,-2497
1974,-3183,-2967,-1878,177,1232,1741,2017,1878,916,-102,-1245,-3128
1975,-3074,-3052,-1656,-95,960,1746,2017,1707,1056,171,-1127,-3023
1976,-3156,-2526,-1775,314,1041,1860,1774,1636,1104,-115,-1881,-2931
1977,-3768,-2946,-1635,180,1099,1837,1887,1776,1286,305,-742,-2314
1978,-2983,-3107,-1791,28,1072,2018,2011,1625,1246,178,-816,-2441
1979,-2971,-2530,-1680,7,1258,2060,2008,1668,1140,358,-1167,-2480
1980,-3156,-3058,-2182,-371,1280,1780,1954,1904,1194,84,-827,-2593
1981,-3412,-2926,-1651,333,1241,1979,1932,1672,1148,-116,-1453,-3035
1982,-3045,-3126,-1943,328,1268,1851,1854,1686,1157,480,-887,-2510
1983,-3154,-2739,-2014,-426,1130,1511,1809,1724,940,380,-480,-2105
1984,-3295,-3419,-1806,-146,1139,1799,1762,1626,1176,278,-1174,-2805
1985,-3042,-2906,-2296,223,1008,1553,1808,1648,1027,233,-1186,-2816
1986,-3057,-2859,-1706,238,1416,1699,1927,1686,1096,-9,-1496,-2890
1987,-2998,-2567,-2034,148,1189,1538,1954,1796,1050,-55,-1318,-2510
1988,-3034,-2948,-1883,125,1087,1660,1827,1811,1285,187,-723,-2046
1989,-2921,-3000,-1361,250,1258,1693,1938,1812,1048,367,-1099,-1879
1990,-3124,-2491,-1417,112,1286,1756,2050,1625,1060,451,-996,-2253
1991,-3053,-2658,-1645,107,1086,1783,2045,1792,1155,431,-754,-2369
1992,-2860,-2784,-1666,190,1354,1730,2054,1644,813,131,-764,-2196
1993,-3186,-2236,-1466,-362,1008,1695,1901,1695,976,190,-1199,-2612
1994,-2623,-2401,-1895,313,1194,1798,1829,1579,911,204,-377,-2079
1995,-2898,-2561,-1530,251,914,1477,2014,1791,1044,319,-554,-1795
1996,-3092,-2943,-1683,114,1150,1625,2173,1692,934,81,-792,-2198
1997,-2965,-2653,-1392,523,1343,1824,1747,1576,1042,406,-1015,-2268
1998,-2856,-2041,-1100,356,1123,1690,2070,1979,1121,289,-780,-2199
1999,-2926,-2419,-2302,336,1459,1673,2208,1704,1046,223,-747,-1954
2000,-3228,-2929,-1619,400,1311,1950,2020,1780,899,-50,-1471,-2554
2001,-3157,-2980,-1410,256,1440,2036,2080,1940,1060,180,-620,-2430
2002,-2670,-2580,-1600,247,1330,1920,2170,2010,1070,80,-1070,-3155
2003,-2910,-2840,-1960,-40,1280,2010,1920,1550,1110,173,-1110,-2560
2004,-2800,-2275,-1270,390,1320,1850,2020,1660,1002,80,-900,-2380
2005,-3433,-3583,-2017,407,1135,1907,2213,1801,1050,310,-740,-2750
2006,-3170,-2510,-1540,170,1010,1840,1950,1650,1040,180,-480,-1850
2007,-2790,-2360,-1440,660,1370,1810,2300,1880,1230,60,-810,-2380
2008,-3560,-3140,-1170,460,1240,1960,2090,1830,1040,270,-490,-2350
2009,-3290,-2830,-1900,311,1320,1600,2030,1750,950,270,-1310,-2830
2010,-3444,-3390,-1920,-210,1060,1930,2060,1673,1118,280,-600,-2350
2011,-3660,-2589,-1910,370,1110,1990,1920,1850,960,330,-900,-2350
2012,-3420,-3220,-2010,400,1150,2060,2120,1700,1200,178,-1100,-2770
2013,-3080,-2750,-940,500,1050,1680,2030,1810,880,80,-590,-1750
2014,-2970,-3040,-1600,290,1120,1740,2140,1870,980,330,-730,-2410
2015,-2850,-2560,-1280,530,1230,1840,2170,1960,1020,385,-1015,-2025
2016,-3230,-2950,-1395,325,1030,1875,2265,1700,1355,15,-1420,-2445
2017,-2855,-2675,-1310,650,1295,2045,2080,1760,1125,115,-975,-2370
2018,-3380,-2885,-1185,475,1125,2030,1840,1890,1030,430,-1105,-2700
2019,-3260,-3015,-1380,590,1045,1860,1900,1825,1345,240,-910,-2110
2020,-2965,-2410,-1545,156,1455,1740,2020,1690,1105,95,-640,-2225
2021,-2965,-2165,-1135,475,1205,1660,2140,1735,1110,215,-820,-2025
2022,-2810,-3000,-1420,320,1475,1895,1890,1690,1290,85,-870,-2785
2023,-2760,-2590,-1125,-85,880,1910,2095,2005,1215,550,-755,-2550
2024,-2910,-2825,-1675,175,1410,1960,2210,2045,1040,-65,-520,-2095
