1939,-1777,-1298,-408,612,1342,1892,2342,2162,1222,362,-768,-1308
1940,-1938,-1328,-207,542,1402,1912,2172,1892,1432,572,-598,-1378
1941,-1668,-1398,-458,532,1252,2122,2382,2092,1292,302,-648,-1458
1943,-1977,-1378,-298,662,1562,2042,2542,2032,1282,532,-648,-1418
1944,-1638,-1898,-488,642,1352,2182,2512,2162,1492,362,-1008,-2258
1945,-2118,-1927,-528,872,1302,2102,2322,2102,1472,582,-467,-1478
1946,-1818,-1018,-808,722,1272,2182,2562,2232,1402,622,-508,-1958
1947,-2188,-1798,-1028,732,1402,2062,2352,1992,1432,372,-1278,-2438
1948,-1938,-1588,-158,822,1182,2112,2312,2262,1322,302,-998,-1268
1949,-1488,-1068,-598,662,1422,2052,2322,2042,1442,522,-718,-2038
1950,-1898,-1708,-358,522,1322,2042,2372,2122,1402,452,-928,-1438
1951,-1777,-1468,-698,162,1612,2222,2402,2202,1162,602,-568,-1298
1952,-1518,-1598,-467,472,1522,2082,2382,1932,1332,392,-1168,-2128
1953,-2248,-1898,-278,402,1412,2092,2262,2322,1582,632,-798,-1508
1954,-1758,-1458,-708,502,1122,2042,2182,2182,1402,322,-628,-2478
1955,-2178,-1448,-818,302,1432,1942,2362,2222,1412,332,-738,-1328
1956,-1648,-1528,-548,532,1352,1982,2152,2172,1402,392,-1258,-2328
1957,-2228,-2208,-878,652,1262,2072,2122,2002,1142,412,-478,-1518
1958,-2018,-1488,-518,602,1522,2242,2382,2062,1492,342,-658,-1138
1959,-1768,-1208,-48,732,1492,1902,2192,2082,1322,642,-1198,-1868
1963,-1530,-1179,-88,480,1573,2088,2194,2225,1378,365,-603,-1478
1964,-2058,-2398,-678,752,1692,2122,2222,2062,1302,182,-558,-1518
1965,-1588,-1148,-378,542,1572,2252,2182,2102,1422,672,-818,-1508
1966,-1758,-1018,-498,472,1482,2022,2282,2152,1532,562,-837,-2058
1967,-1808,-1618,-338,642,1702,1902,2302,2212,1362,502,-1048,-2248
1968,-2258,-2008,-388,652,1402,2292,2592,2022,1202,312,-628,-1368
1969,-2328,-1837,-503,565,1448,2132,2289,1918,1337,564,-720,-1525
1970,-1648,-1188,-1004,614,1511,2189,2393,2179,1225,543,-908,-1777
1971,-1680,-1527,-764,632,1447,1964,2292,2112,1252,292,-508,-1627
1972,-1727,-1418,-228,672,1472,2062,2392,2042,1282,322,-728,-1448
1973,-1556,-1322,-125,674,1305,2116,2202,1888,1442,349,-429,-1264
1974,-1544,-1428,-552,695,1418,1956,2215,2247,1340,118,-658,-1823
1975,-1547,-1177,-192,636,1447,2042,2366,2295,1566,536,-421,-1602
1976,-1500,-756,-496,428,1239,1872,2222,1955,1452,429,-1052,-1701
1977,-2239,-1463,-224,690,1389,2016,2335,2102,1548,504,-558,-1315
1978,-1657,-1407,-304,776,1416,2168,2178,2079,1575,440,-553,-1380
1979,-1494,-905,-338,372,1488,2086,2293,1984,1354,779,-920,-1462
1980,-1754,-1297,-578,262,1554,2159,2639,2117,1249,388,-294,-1508
1981,-1879,-1288,-24,1005,1502,2222,2587,1918,1370,107,-1186,-1430
1982,-1727,-1131,-301,795,1442,2035,2282,2146,1436,694,-682,-1472
1983,-1647,-1351,-225,526,1597,1889,2221,2084,1377,543,-409,-1142
1984,-1739,-1406,-595,564,1594,1996,2309,2139,1358,500,-635,-1715
1985,-1721,-1549,-727,527,1614,2122,2149,2163,1230,701,-956,-1742
1989,-1492,-968,-196,922,1554,1956,2324,2258,1319,599,-733,-1687
1990,-2277,-1076,71,591,1473,1966,2356,2073,1431,925,-481,-1320
1991,-1662,-1169,-454,411,1489,2034,2263,2519,1454,500,-636,-1710
1993,-1735,-1012,-188,448,1470,2066,2181,1935,1457,515,-1007,-1626
1994,-1607,-1142,-404,916,1555,2240,2445,2194,1461,450,-246,-1608
1995,-1483,-899,-259,458,1226,2142,2349,2245,1463,653,-287,-1462
1997,-1827,-1086,29,826,1498,2183,2448,2177,1283,428,-576,-1198
1998,-1838,-704,-53,1139,1541,1970,2318,1921,1742,778,-746,-1450
1999,-1620,-926,-636,822,1634,2240,2655,2229,1448,440,-529,-1422
2000,-2238,-1454,-108,692,1666,2326,2682,2082,1582,312,-1164,-1631
2001,-2169,-1468,-318,726,1552,2282,2510,2342,1644,750,-518,-1658
2002,-1138,-641,62,629,1529,2202,2482,2422,1442,162,-868,-2097
2003,-1918,-1332,-328,797,1502,2102,2372,2076,1542,629,-768,-1490
2004,-1578,-858,-388,962,1565,2332,2550,2152,1477,622,-488,-1338
2005,-1550,-1723,-742,750,1470,2254,2591,2362,1562,422,-358,-1618
2006,-1498,-1208,-178,482,1432,2042,2392,2382,1622,762,-438,-1378
2007,-1538,-578,-224,762,1582,2402,2602,2342,1822,552,-458,-1228
2008,-1868,-1228,72,1002,1282,2102,2482,2262,1552,612,-348,-1388
2009,-1638,-1018,-248,1024,1692,2012,2532,2232,1502,512,-808,-1548
2010,-2109,-1378,-628,242,1553,2402,2652,2182,1628,582,-508,-1468
2011,-2158,-984,-378,722,1332,2262,2272,2432,1292,702,-758,-1988
2012,-2198,-1548,-428,832,1642,2097,2292,2212,1454,536,-776,-1816
2013,-1726,-1526,-166,424,1744,2094,2394,2134,1464,514,-406,-1276
2014,-1246,-1266,44,1064,1374,2034,2514,2204,1474,694,-486,-1330
2015,-1290,-870,-140,850,1400,1995,2420,2200,1610,730,-865,-1595
2016,-2060,-1145,-60,810,1455,2045,2570,2490,1575,420,-655,-1095
2017,-1480,-880,-50,920,1960,2345,2625,2130,1615,550,-680,-1150
2019,-1430,-1500,-35,890,1495,2215,2495,2065,1845,565,-650,-1375
2020,-1555,-855,-35,850,1575,2280,2495,2110,1525,405,-615,-1950
2021,-1855,-800,200,730,1390,2090,2485,2100,1695,540,-420,-1075
2022,-1400,-1390,-80,880,1585,2240,2470,2140,1745,475,-400,-1610
2023,-1490,-800,135,650,1495,2320,2440,2340,1755,920,-900,-1750
2024,-1800,-1675,-170,1040,1795,2245,2505,2285,1515,680,-110,-1185
