1951,2108,2438,2848,3148,3298,3258,2868,2708,2748,2818,2638,2248
1952,2048,2368,2888,2998,3318,3168,2768,2708,2618,2828,2628,2098
1953,2408,2478,2688,3238,3438,3118,2698,2688,2768,2898,2638,2268
1954,2148,2308,2728,3098,3358,3188,2688,2578,2718,2798,2618,2308
1955,2348,2598,2978,3028,3358,3108,2738,2538,2668,2968,2778,2218
1956,2318,2608,2808,3138,3358,3198,2768,2668,2608,2868,2668,2228
1957,2128,2488,2798,3098,3328,3148,2858,2668,2738,2858,2718,2378
1958,2388,2542,2722,3242,3412,3182,2852,2642,2842,2842,2652,2122
1959,2182,2272,2722,3072,3412,3382,3012,2682,2852,3042,2652,2122
1966,2172,2522,2822,3072,3362,3302,2982,2812,2772,2792,2602,2282
1968,1984,2569,2669,3104,3309,3298,2829,2789,2839,2929,2694,2379
1969,2409,2809,3073,2948,3414,3364,2798,2704,2834,2809,2659,2289
1970,2339,2679,2834,3074,3284,3348,2904,2679,2769,2984,2714,2248
1971,2039,2404,2723,3189,3234,3264,2884,2689,2729,2839,2629,2309
1972,2164,2354,2714,3039,3198,3144,2934,2779,2944,3064,2573,2229
1973,2079,2454,2839,3189,3504,3244,3014,2784,2954,2924,2729,1973
1974,1979,2289,2614,3029,3364,3304,2954,2698,2769,2829,2604,2269
1975,2154,2314,2734,3029,3339,3264,2744,2669,2809,2909,2409,2399
1988,2107,2585,2916,3364,3510,3214,2941,2659,2766,3039,2668,2152
1989,2253,2535,2783,3028,3439,3309,2839,2658,2932,2929,2859,2505
1990,2079,2579,3105,3269,3528,3368,2947,2921,2927,3144,2745,2349
1994,2000,2428,2808,3305,3424,3321,3026,2757,2842,2896,2842,2355
1995,2161,2645,3061,3282,3543,3482,3024,2719,2833,2969,2779,2279
1998,2384,2829,3068,3529,3469,3399,3079,2854,2835,3058,2694,2378
2010,2441,2865,3173,3494,3624,3378,3024,2810,2790,3028,2769,2662
2014,2344,2335,2790,3285,3369,3451,3142,2783,2868,3036,2796,2347
2015,2242,2583,2850,3435,3610,3485,3120,2855,2822,3150,2720,2325
2016,2495,2500,2800,3450,3700,3535,3010,2895,2960,3120,2810,2425
2017,2160,2730,3180,3330,3640,3430,3005,2931,3100,3250,2755,2180
2018,2250,2540,2970,3230,3495,3530,2990,2785,2885,3325,2820,2340
2019,2155,2483,2750,3290,3594,3608,3155,2990,2980,3112,2855,2480
2020,2315,2780,2895,3400,3639,3415,3005,2845,2880,2955,2675,2525
2021,2380,2630,2910,3482,3610,3450,3140,2865,2980,3185,2995,2610
2022,2485,2620,2940,3300,3525,3345,3002,2805,2840,3015,2677,2585
2023,2360,2240,3035,3265,3600,3520,3060,2995,3030,3155,2785,2410
