1951,41,245,233,895,1283,1775,1882,1992,1587,808,752,280
1952,77,-14,17,1109,1236,1626,1918,1978,1194,774,315,-128
1953,-105,-2,416,1022,1349,1902,2069,1735,1490,1183,488,113
1954,-600,-683,450,596,1374,1867,1716,1838,1630,1029,316,377
1955,-247,-239,102,623,1192,1572,1920,1860,1519,912,420,249
1956,48,-1166,234,682,1303,1625,1821,1637,1468,942,36,117
1957,-30,350,529,803,1075,1794,1978,1650,1287,937,599,-41
1958,-132,199,-84,569,1556,1541,1908,1771,1454,1020,491,228
1959,40,-202,665,978,1360,1715,2069,1892,1280,895,413,184
1960,-152,-148,446,763,1355,1743,1729,1777,1374,1076,634,310
1961,-215,378,714,1176,1196,1761,1673,1696,1633,1188,436,-302
1962,89,-58,33,1105,1132,1536,1624,1803,1367,902,484,-393
1963,-951,-804,84,927,1367,1719,1911,1837,1588,895,815,-327
1964,-313,-137,-72,913,1371,1883,1846,1678,1411,847,469,25
1965,115,-393,205,766,1114,1638,1707,1624,1517,824,90,189
1966,-483,202,421,999,1317,1770,1803,1733,1388,1275,363,162
1967,-65,237,641,800,1381,1656,1949,1803,1627,1297,457,-1
1968,-175,139,490,976,1247,1813,1749,1783,1480,1001,521,-282
1969,-317,-151,3,810,1505,1671,1953,1713,1482,1006,600,-623
1970,-449,-194,99,799,1225,1744,1822,1796,1356,948,611,68
1971,-433,218,94,942,1530,1612,1821,2003,1227,938,357,404
1972,-318,222,617,864,1301,1664,1973,1706,1195,676,556,-9
1973,-55,259,517,666,1261,1612,1830,1810,1507,793,302,33
1974,250,348,647,807,1213,1488,1678,1879,1386,675,450,449
1975,428,36,473,772,1433,1613,1930,1892,1701,851,273,187
1976,27,-101,57,740,1290,1597,1892,1573,1313,972,578,-66
1977,-14,216,682,678,1281,1739,1687,1682,1205,1025,611,93
1978,56,-69,530,697,1238,1543,1638,1627,1311,988,475,-65
1979,-413,-257,449,769,1412,1911,1575,1730,1426,814,409,412
1980,-476,96,271,675,1022,1622,1692,1730,1332,939,315,118
1983,441,-190,533,1046,1443,1732,2091,1862,1477,1034,357,-52
1984,146,4,252,806,1310,1482,1575,1812,1348,1149,370,-40
1985,-747,-515,362,887,1486,1445,1831,1790,1371,883,142,348
1986,-5,-805,325,920,1545,1630,1798,1744,1211,971,564,142
1987,-895,-83,-47,888,1177,1596,1811,1589,1510,994,549,200
1988,324,271,288,860,1444,1675,1865,1820,1452,959,145,302
1989,215,426,633,934,1382,1589,1842,1830,1566,1128,242,245
1990,277,597,794,860,1410,1695,1813,1871,1256,1012,536,91
1991,129,-323,632,864,1055,1473,1979,1868,1556,841,411,-3
1992,87,294,488,883,1456,1912,2015,2206,1479,747,519,3
1993,180,-34,321,984,1643,1666,1742,1753,1382,898,14,341
1994,363,-59,600,949,1325,1658,2175,1946,1509,745,583,288
1995,6,497,383,913,1292,1629,2083,1882,1341,1161,159,-280
1996,-454,-379,13,794,1371,1727,1698,1836,1135,1038,634,-398
1997,-388,367,445,641,1426,1725,1841,1978,1437,785,376,210
1998,226,526,397,1086,1513,1805,1855,1793,1436,935,109,27
1999,188,38,565,1035,1461,1685,2037,1773,1730,981,345,221
2001,102,164,393,843,1522,1552,1962,1962,1292,1312,372,-118
2002,132,542,582,932,1742,1862,2052,2079,1373,837,507,-318
2003,-178,-278,412,792,1597,1957,1997,2082,1477,612,566,189
2004,-296,218,502,1022,1298,1722,1862,1992,1482,1125,509,193
2005,197,-106,200,982,1421,1709,2018,1802,1589,1078,372,82
2006,-520,-169,112,1002,1442,1872,2311,1742,1690,1175,719,446
2007,515,335,689,1112,1582,1963,1952,1922,1372,913,313,141
2008,330,451,510,922,1453,1912,2022,1922,1402,1059,656,242
2009,-225,67,511,1265,1452,1602,2018,1972,1602,847,734,-14
2010,-549,-64,466,973,1344,1765,2174,1950,1336,750,671,-491
2011,91,-128,492,1208,1473,1944,1870,1970,1621,1033,464,394
2012,160,-362,701,966,1571,1790,2047,2012,1564,955,634,-47
2013,-114,22,-23,924,1446,1757,2050,1934,1331,1200,578,347
2015,290,210,635,935,1385,1710,2115,2310,1620,925,690,605
2016,-55,490,530,950,1565,1950,2035,1900,1750,925,415,200
2017,-260,205,770,900,1505,1940,1985,2025,1405,1190,615,310
2018,340,-160,200,1400,1750,1985,2080,2205,1670,1150,580,315
2019,15,395,770,1090,1225,2250,2040,2135,1550,1185,760,385
2020,265,585,600,1010,1220,1850,1945,2110,1615,1150,620,300
2021,15,20,475,700,1270,2010,2125,1840,1595,1080,570,115
2022,230,480,460,810,1555,2030,2045,2130,1400,1285,540,185
2023,405,315,645,840,1355,1895,2105,2070,1875,1290,585,315
