1930,-1665,-1428,-399,-275,1212,1755,1775,1536,933,398,-395,-1417
1933,-2054,-1752,-852,565,1061,1553,1818,1773,865,84,-482,-1352
1935,-1681,-1002,-566,-3,1190,1809,1994,1630,1166,428,-1228,-2045
1936,-1519,-1312,-935,-162,918,1577,1752,1482,1061,784,-337,-1133
1937,-1986,-1257,-1129,-173,1097,1603,1783,1379,1022,501,-880,-1478
1938,-1636,-1049,-601,688,1210,1556,1899,1575,795,328,-291,-2092
1939,-1649,-960,-985,557,1130,1680,1867,1626,1252,121,-932,-708
1940,-2014,-1219,-543,552,1123,1708,1895,1618,906,315,-561,-944
1941,-1158,-1718,-479,166,1124,1815,1735,1583,1095,522,-822,-1321
1942,-1348,-1843,-708,222,943,1721,1834,1660,1306,415,-245,-1117
1943,-1682,-1423,-1109,411,1284,1611,1825,1889,1140,193,-1023,-1111
1944,-1359,-1002,-97,591,1100,1721,1810,1607,1149,457,-1254,-1930
1945,-1820,-2291,-850,515,1487,1656,1834,1593,1154,722,-541,-1265
1946,-1224,-629,-1091,616,998,1561,1887,1597,1014,544,-546,-1859
1947,-1848,-1670,-564,664,1111,1585,1785,1630,1153,548,-393,-1666
1949,-1076,-1036,-937,569,1067,1470,1721,1642,892,535,-896,-2086
1950,-1480,-1604,-763,-141,1251,1623,1913,1716,1249,339,-1409,-1355
1951,-1656,-2167,-729,412,1399,1754,1943,1361,1219,336,-770,-530
1952,-1237,-1756,-1076,14,1138,1660,1858,1747,1259,338,-1596,-1282
1953,-1387,-1200,-298,399,1329,1724,2037,1535,1423,401,-1098,-1058
1954,-1862,-1708,-1117,-327,734,1608,1624,1829,1247,508,-671,-1994
1955,-1331,-1407,-948,216,1359,1777,1861,1765,971,384,-341,-1171
1956,-1865,-1720,-1065,444,1244,1405,1940,1738,1098,623,-481,-1369
1957,-1572,-1484,-876,175,1035,1756,1725,1578,1194,451,-653,-951
1958,-1631,-838,-1052,82,1002,1289,1835,1744,1080,417,-510,-1213
1959,-1387,-1220,-555,450,1035,1696,1843,1683,1333,417,-1327,-1596
1960,-1449,-1128,-1165,77,849,1630,1769,1596,1118,191,-988,-1322
1961,-1232,-1184,-526,733,1202,1427,1869,1633,1187,-62,-454,-1047
1962,-1288,-1102,-419,478,1412,1786,1899,1764,1270,367,-1022,-924
1963,-1051,-731,-136,-91,1017,1549,1760,1674,937,506,-31,-896
1964,-977,-1878,-892,-297,1093,1702,1903,1741,1131,142,-147,-969
1965,-1343,-1267,-680,63,1373,1772,2006,1664,1203,450,-645,-1414
1966,-1554,-1210,-651,-26,1011,1795,1837,1774,1509,390,-833,-2551
1967,-1618,-1217,-587,537,1348,1596,1935,1436,932,590,-1096,-1057
1968,-1456,-1391,-174,386,1283,1655,1888,1580,805,194,-962,-1525
1970,-1314,-1142,-1006,490,1144,1695,1816,1657,1118,362,-596,-1507
1971,-1133,-1578,-997,635,1142,1648,1744,1665,1152,662,-17,-986
1972,-1824,-1319,-621,721,1042,1754,1722,1567,960,328,-309,-1130
1977,-2101,-1211,-463,543,1169,1853,1915,1623,1254,461,-217,-1087
1978,-1111,-1210,-552,711,995,1804,1940,1451,1239,518,-110,-939
1979,-1487,-903,-690,-56,1182,1913,1993,1637,1210,616,-615,-819
1980,-1515,-1412,-1018,245,1377,1741,1874,1813,1195,375,-250,-987
1981,-1433,-1162,-283,675,1357,1883,1806,1661,1191,313,-407,-1058
1982,-1100,-1062,-946,724,1376,1804,1872,1624,1209,673,-185,-833
1984,-1501,-1709,-507,109,1199,1690,1753,1706,1151,554,-756,-2001
1985,-1221,-1353,-980,695,1066,1505,1862,1664,1088,349,-429,-1202
1986,-1113,-1338,-680,324,1329,1526,1967,1708,1230,403,-748,-1232
1987,-1040,-895,-917,265,1258,1413,1926,1790,1142,79,-1156,-793
1988,-1286,-1721,-687,571,1041,1557,1824,1715,1332,393,-144,-692
1989,-1003,-1036,-298,417,1227,1506,1909,1732,1029,625,-546,-642
1990,-1490,-987,-4,476,1442,1777,2008,1636,1232,589,-526,-967
1991,-1004,-1196,-868,331,1174,1717,2032,1678,1277,695,-348,-1083
1992,-734,-969,-708,523,1285,1562,2003,1688,835,531,-337,-929
1993,-1020,-1057,-497,367,1043,1695,1982,1736,1074,645,-1339,-1217
1994,-1296,-1434,-476,500,1324,1945,2071,1685,1090,497,-146,-1056
1995,-1256,-695,-354,669,1188,1529,2018,1864,1100,672,-3,-834
1996,-1696,-1279,-844,239,1278,1681,2102,1628,1143,244,-707,-985
1997,-939,-871,-90,1012,1436,1731,1838,1774,1161,906,-824,-1280
1998,-1709,-924,-760,393,1216,1725,2050,2008,1153,688,-722,-950
1999,-1140,-541,-1296,457,1515,1661,2141,1762,1076,671,-439,-651
2000,-1408,-807,-281,830,1403,1819,1824,1832,1198,134,-946,-871
2001,-1595,-1039,-67,458,1571,1920,1769,1926,1167,497,-43,-1370
2002,-537,-391,119,364,1352,1744,1853,1906,1285,439,-141,-1449
2003,-1055,-1103,-655,277,1301,1833,1814,1672,1259,442,-691,-849
2004,-1332,-639,-525,526,1477,1791,1922,1734,1179,681,-214,-1179
2005,-1473,-1798,-62,631,1192,1756,2071,1858,1162,677,-340,-1281
2006,-1872,-1069,-282,208,1048,1841,1926,1615,1283,529,40,-598
2007,-634,-590,-549,980,1402,1651,2140,1699,1359,493,-410,-1025
2008,-1773,-1082,100,639,1381,1835,2015,1717,1024,645,83,-1140
2009,-1168,-1463,-371,724,1283,1433,1905,1680,1185,478,-549,-1319
2010,-2051,-1909,-526,319,1067,1753,1803,1714,1167,598,117,-1340
2011,-1878,-1085,-539,937,1158,1877,1796,1719,1217,741,-687,-1069
2012,-1697,-1746,-273,840,1167,1976,2024,1824,1342,489,-505,-1979
2013,-1012,-1116,32,765,1046,1475,1898,1842,1147,550,86,-570
2014,-1248,-1608,-53,754,1092,1670,1944,1827,1050,416,-478,-1061
2015,-1091,-845,-348,646,1319,1799,2045,1757,1061,702,-544,-390
2016,-1306,-607,-63,866,1125,1873,2088,1690,1424,6,-1041,-810
2017,-953,-984,-345,793,1385,1979,1961,1746,1078,450,-244,-962
2018,-1831,-1030,-251,506,1127,1939,1828,1814,1173,680,-609,-1496
