1947,2671,2869,2935,2823,2677,2573,2464,2440,2457,2560,2590,2581
1948,2576,2766,2825,2788,2640,2472,2427,2430,2447,2583,2586,2613
1949,2701,2830,2961,2859,2710,2520,2452,2411,2444,2590,2672,2602
1950,2636,2708,2955,2864,2721,2524,2397,2378,2450,2500,2569,2610
1951,2625,2799,2804,2753,2644,2600,2424,2449,2504,2587,2597,2518
1952,2668,2838,2897,2833,2710,2576,2451,2418,2440,2534,2617,2613
1954,2529,2740,2862,2718,2690,2559,2401,2389,2507,2535,2628,2492
1955,2535,2696,2800,2753,2695,2539,2432,2444,2463,2581,2570,2481
1959,2499,2730,2847,2842,2710,2573,2503,2446,2480,2597,2651,2508
1960,2560,2697,2778,2750,2703,2529,2480,2486,2517,2610,2572,2597
1961,2624,2613,2864,2826,2776,2571,2414,2405,2464,2607,2577,2418
1962,2485,2725,2834,2799,2661,2485,2486,2415,2472,2579,2620,2482
1963,2549,2764,2711,2757,2657,2571,2497,2484,2555,2594,2523,2505
1964,2617,2708,2897,2728,2642,2536,2420,2376,2451,2558,2583,2565
1965,2619,2733,2810,2776,2672,2547,2501,2479,2501,2631,2568,2466
1967,2532,2718,2784,2737,2672,2508,2477,2440,2472,2574,2531,2557
1968,2431,2736,2854,2714,2694,2555,2500,2539,2486,2619,2617,2621
1969,2523,2874,2931,2805,2693,2623,2508,2485,2491,2567,2506,2550
1970,2606,2765,2865,2887,2714,2638,2498,2426,2477,2629,2606,2496
1971,2475,2711,2831,2758,2655,2573,2459,2425,2473,2560,2565,2543
1972,2541,2776,2832,2757,2690,2570,2539,2528,2592,2620,2546,2602
1980,2764,2884,2908,2873,2662,2641,2432,2430,2474,2521,2534,2428
1982,2688,2819,2874,2773,2659,2553,2460,2437,2521,2525,2597,2606
1987,2814,2928,2896,2974,2801,2606,2576,2476,2526,2576,2674,2635
1988,2691,2910,3047,2827,2726,2572,2445,2447,2463,2600,2685,2565
1990,2802,2921,3012,2827,2748,2566,2437,2467,2484,2664,2744,2708
1995,2606,2826,2989,2885,2752,2586,2487,2436,2598,2583,2546,2700
1996,2763,2897,2981,2865,2746,2628,2476,2426,2446,2556,2536,2626
1997,2756,2816,2896,2819,2731,2621,2571,2571,2641,2720,2700,2651
1998,2716,3001,3066,3046,2867,2596,2506,2436,2513,2566,2731,2696
2014,2771,2780,2950,2906,2833,2701,2559,2514,2590,2571,2761,2693
2015,2695,2890,2893,2995,2799,2641,2628,2466,2619,2710,2725,2595
2016,2740,2970,3015,2920,2815,2665,2605,2555,2600,2720,2780,2785
2017,2784,2895,3055,2960,2805,2660,2571,2510,2595,2740,2742,2685
2019,2805,2994,3075,2894,2793,2604,2590,2570,2580,2635,2760,2650
2020,2735,2950,2966,2950,2900,2690,2575,2462,2555,2715,2740,2745
2021,2815,2905,2965,2965,2860,2715,2630,2570,2615,2740,2800,2745
2022,2745,2935,3070,2855,2770,2630,2530,2535,2555,2670,2690,2705
2023,2760,2960,2890,2885,2890,2700,2650,2590,2615,2755,2815,2605
2024,2745,3125,3160,3035,2870,2745,2655,2602,2625,2700,2695,2675
