1825,-822,-982,-832,588,1048,1798,2238,1818,1298,348,168,-232
1826,-1122,-1292,-222,468,1098,1768,2088,1888,1378,498,198,-302
1827,-702,-861,118,568,1068,1908,2048,1718,1398,448,-62,-1012
1828,-1492,-1492,-222,778,1238,1748,2268,2018,1138,918,298,-992
1829,-1292,-1122,-512,898,1758,2138,2228,2168,1838,858,-402,-1132
1830,-1152,-1162,-382,328,1508,2128,2018,2218,1358,778,-32,38
1831,-1192,-1132,-232,638,1448,1808,1998,1818,1368,628,-152,-972
1837,-622,-662,18,848,1208,1468,1648,1878,1258,438,108,-872
1838,-1412,-522,-42,688,1348,1548,1768,1648,1358,478,98,-422
1839,-652,-562,-562,378,1468,1828,2118,2488,1448,608,138,-1122
1840,-752,-802,-292,328,1058,1588,2218,1608,1318,538,78,-1072
1841,-752,-1222,-362,588,1408,1958,2318,1968,1398,808,188,-272
1842,-952,-532,-152,408,1278,1718,1868,1628,1238,558,138,-202
1843,-292,218,18,518,868,1858,1628,1668,988,778,88,-222
1844,-662,-202,-162,318,1278,1438,1808,1728,1398,468,-342,-961
1845,-562,-892,-312,598,1128,1608,2048,1748,1038,618,158,-112
1846,-532,-422,88,708,1118,1268,1738,1858,1148,648,-232,-222
1847,-932,-302,-242,738,1128,1478,1678,1678,1328,508,38,-762
1848,-1342,-202,138,918,1178,1998,2228,2358,1568,858,168,-582
1849,-961,-502,-322,418,1488,2028,2188,2218,1388,948,468,-552
1850,-1162,-482,-282,628,1638,2328,2318,2518,1398,908,168,-242
1851,-882,-632,-272,938,1798,1868,2258,2048,1728,878,548,-262
1852,-632,-792,-352,218,1188,1938,1718,1938,1348,708,118,-282
1853,-502,-212,-92,528,1398,1868,2058,2148,1348,988,-82,-702
1854,-992,-542,-391,368,1728,1768,2248,2118,1308,1058,348,138
1855,-852,-772,188,1078,1978,2348,2248,2048,1248,1088,-12,-1322
1856,-212,-572,-572,658,1608,2028,2028,1868,1458,598,-272,138
1857,-332,-902,-32,988,1608,1968,2048,1808,1098,808,228,-42
1859,-512,-532,-82,938,1588,1968,2258,2238,1788,1028,178,-102
1860,-352,-492,-452,828,1538,2068,2098,2188,1778,938,178,-202
1861,-1502,-811,278,518,1318,1908,2258,1988,1528,758,518,-592
1862,-1082,-1222,228,898,1588,2128,2228,2108,1668,698,-372,-1162
1863,-512,-322,158,578,1708,1718,1958,2008,1768,718,248,-552
1864,-982,-642,278,848,1098,2068,1898,1908,1398,638,-212,-872
1886,-372,-842,-252,808,1518,1888,1928,1978,1438,608,338,328
1887,-482,-702,-112,608,1668,1468,1898,1898,1688,708,248,-102
1888,-892,-902,-162,1108,1388,1688,1898,1778,1428,948,-162,-802
1889,-1112,-412,-542,818,1718,1828,2228,2038,1188,1048,318,-802
1890,-572,-792,238,1038,1728,1778,2288,2388,1638,708,-42,-1132
1891,-1022,-911,38,658,1678,1898,2298,2078,1558,808,-252,-232
1892,-961,-222,-12,798,1648,2128,2118,2018,1758,828,-72,-672
1893,-1452,-762,-112,308,1268,1768,1988,1978,1448,938,188,-462
1894,-1042,-342,48,768,1548,1518,2068,1918,1098,708,-12,-512
1895,-212,-602,-12,618,1378,1788,2198,2008,1368,1038,78,-932
1896,-1342,-692,-282,318,1378,1928,1988,2108,1498,1188,-112,-302
1897,-742,-532,28,1008,1748,1928,2278,2188,1618,808,-192,-792
1898,-552,-552,-582,518,1708,1698,2038,2038,1308,418,298,-22
1899,-62,-472,-42,958,1548,1708,2078,1748,1568,768,258,-872
