1890,-1069,-299,51,481,1021,1331,1811,1721,1301,701,251,-269
1893,-380,-453,-243,303,792,1427,1666,1558,1171,611,-5,-220
1894,-671,-764,-67,394,1001,1226,1737,1596,1097,762,443,-315
1896,-258,-408,-20,374,885,1639,1682,1746,1284,660,-116,-225
1905,-825,-743,2,180,842,1446,1658,1711,1339,654,147,-752
1906,-174,-235,-65,427,933,1280,1495,1525,1164,651,174,-125
1907,-485,-33,167,524,658,1123,1759,1602,1174,844,138,-485
1908,-676,-454,86,541,640,1243,1716,1522,1294,496,104,-651
1909,-428,-670,-267,300,743,1517,1821,1705,1188,734,117,-1038
1910,-693,-791,264,545,1033,1475,1791,1649,1374,672,176,-382
1911,-471,-467,103,467,934,1364,1495,1505,1273,502,-205,-728
1912,-788,-507,-179,149,842,1287,1573,1539,919,550,47,-806
1913,-924,-690,-442,379,965,1316,1614,1702,1085,477,165,-866
1914,-590,-672,-43,497,926,1386,1608,1507,1011,611,266,-785
1915,-898,-494,-259,535,703,1220,1548,1488,1137,700,-110,-421
1916,-638,-349,69,454,890,1341,1695,1566,1227,609,57,-800
1917,-928,-622,-548,212,508,1344,1773,1570,1279,602,229,-274
1919,-793,-705,-347,481,892,1256,1668,1641,1299,524,-33,-492
1924,-939,-257,-501,158,758,1484,1672,1621,1302,712,63,-740
1925,-751,-438,-12,496,1098,1432,1837,1481,1321,620,-133,-592
1926,-746,-268,-119,294,750,1446,1720,1694,1385,861,-8,-535
1927,-275,-344,-156,471,1048,1424,1717,1526,1177,757,251,-686
1928,-507,-454,86,255,966,1333,1630,1530,1281,799,199,-679
1929,-778,-828,-339,310,815,1362,1783,1477,1140,749,-219,-243
1930,-914,-123,-340,644,608,1479,1611,1591,1237,693,-70,-693
1931,-634,-244,-231,457,816,1494,1784,1582,1302,751,-239,-846
1932,-1203,-161,-270,385,840,1273,1736,1631,1299,666,63,-797
1933,-790,-977,-230,70,680,1398,1787,1681,1363,823,310,-185
1934,-473,33,322,671,1207,1392,1800,1857,1212,879,132,-389
1935,-387,-190,-182,318,664,1387,1725,1680,1369,682,-35,-529
1936,-670,-555,-70,429,992,1581,1695,1649,1179,678,155,-486
1937,-1245,-724,-252,315,1024,1323,1690,1821,1463,900,67,-369
1940,-615,-613,-51,428,990,1447,1772,1610,1237,676,-34,-278
1941,-626,-181,-85,129,890,1136,1590,1599,1167,653,67,-280
1942,-635,-636,-398,455,811,1327,1752,1634,1240,705,134,-445
1943,-561,-282,-140,775,927,1360,1762,1725,1328,688,148,-385
1948,-532,-507,-493,410,987,1320,1803,1742,1418,658,-310,-660
1951,-660,-514,-168,352,915,1326,1836,1637,1269,588,-250,-770
1954,-468,-111,-129,666,994,1446,1781,1670,1310,865,210,-331
1958,-571,-281,-315,262,1143,1578,1758,1777,1314,770,77,-124
1960,-805,-779,-114,470,855,1524,1742,1706,1412,658,124,-550
1961,-500,-420,-116,368,1023,1609,1767,1687,1033,645,-155,-747
1962,-671,-304,-361,592,937,1428,1751,1686,1297,802,164,-202
1964,-758,-790,-427,201,949,1300,1823,1598,1218,869,-90,-623
1970,-604,-73,-184,146,983,1275,1766,1758,1137,438,62,-438
1971,-651,-502,-65,332,799,1452,1735,1614,1124,545,-48,-614
1976,-734,-246,-219,427,909,1257,1771,1488,1245,506,-38,-526
1977,-873,-454,-231,513,831,1543,1712,1713,1271,754,68,-338
1978,-576,-500,126,477,764,1399,1776,1534,1219,789,60,-821
1979,-910,-615,-150,274,866,1324,1734,1574,1354,812,-421,-379
1980,-438,-355,-304,195,782,1424,1841,1639,1254,583,37,-74
1981,-236,-242,-115,559,814,1494,1765,1631,1272,606,169,-362
1982,-737,-603,-183,308,755,1268,1656,1708,1219,467,-75,-611
1983,-530,-325,-76,77,742,1240,1685,1769,1417,723,-148,-606
1984,-822,-528,-197,210,1068,1300,1797,1664,1305,305,-43,-363
1985,-619,-659,-79,490,920,1454,1756,1625,1039,659,-124,-570
1986,-326,-224,158,406,819,1375,1600,1658,957,481,-14,-460
1987,-644,-359,-258,454,726,1384,1552,1460,1122,762,-56,-539
1988,-836,-465,-162,464,859,1483,1698,1626,1105,820,-144,-574
1989,-744,-395,211,622,953,1348,1742,1527,1258,576,-37,-535
1990,-681,-401,93,513,757,1536,1603,1502,1360,607,24,-803
1992,-739,-263,51,651,992,1277,1538,1515,1180,701,-484,-685
1993,-472,-344,45,394,957,1254,1611,1641,1150,636,-262,-566
1994,-548,-540,161,491,997,1550,1755,1777,1246,494,-256,-370
1995,-569,-61,81,271,719,1276,1614,1816,1252,622,198,-295
1996,-569,-177,-36,457,1031,1427,1668,1676,1138,592,-22,-658
1999,-323,-165,270,299,814,1233,1653,1557,1139,779,300,-435
2000,-443,-73,118,666,1033,1466,1804,1766,1298,651,-461,-623
2002,-551,-500,-67,578,939,1650,1910,1755,1307,548,-65,-481
2003,-81,-254,7,399,964,1346,1927,1753,1158,888,-29,-338
2005,-133,-243,-80,363,1001,1344,1835,1602,1253,716,30,-461
2007,-668,-467,170,495,893,1435,1713,1724,1285,785,174,-582
2008,-831,-463,-66,311,880,1313,1684,1721,1235,781,211,-530
2011,-719,-553,157,448,715,1363,1821,1815,1293,721,-68,-585
2013,-789,-664,76,495,899,1535,1751,1704,1346,560,80,-582
2014,-448,-219,163,447,873,1426,1782,1580,1479,834,35,-340
2015,-282,-93,346,510,870,1566,1655,1681,1469,990,36,-533
2016,-677,-267,216,426,841,1637,1744,1514,1331,856,282,-470
2017,-496,-170,233,429,825,1530,1777,1577,1280,620,345,-199
2018,-322,-249,18,612,1065,1561,1835,1678,1377,659,-101,-595
2023,-578,-539,-191,333,984,1250,1870,1729,1271,726,125,-258
