1990,2451,2618,2546,2322,2137,1959,1891,2027,2470,2806,2866,2571
1991,2440,2488,2516,2197,1984,1778,1736,2026,2562,2627,2588,2493
1992,2639,2777,2609,2446,2029,1772,1684,1967,2558,2858,2704,2763
1995,2949,2421,2498,2359,2114,1725,1713,2247,2486,2825,2724,2709
1996,2493,2540,2500,2364,2073,1696,1596,2081,2480,2890,2704,2615
1997,2342,2432,2323,2203,1859,1707,1679,2048,2450,2631,2696,2719
1998,2541,2694,2681,2463,2008,1696,1836,2043,2610,2827,2673,2468
1999,2465,2510,2395,2356,2076,1797,1823,2056,2395,2656,2699,2408
2008,2369,2354,2335,2119,2049,1702,1714,2033,2450,2839,2560,2453
2014,2474,2448,2411,2205,2069,1792,1783,2135,2448,2740,2482,2561
2015,2643,2685,2574,2354,2118,1779,1899,2194,2714,2770,2985,2810
2016,2680,2680,2477,2461,2003,1851,1691,2158,2628,3004,2730,2485
2019,2707,2735,2820,2559,2232,1813,1796,2170,2436,2923,2847,2685
