1999,2528,2470,2414,2164,2089,1888,1804,1985,2059,2048,2297,2368
2001,2384,2355,2374,2195,1997,1847,1729,1947,2110,2141,2255,2365
2002,2546,2349,2441,2277,2080,1736,1805,1936,2092,2253,2219,2397
2003,2488,2539,2544,2347,2004,1703,1804,1913,2090,2279,2348,2581
2005,2487,2537,2294,2135,2039,1974,1828,2092,2314,2298,2407,2302
2006,2459,2518,2246,2130,1859,1710,1913,1855,2071,2331,2355,2549
2007,2576,2658,2517,2191,2019,1783,1853,2089,2312,2110,2347,2393
2008,2437,2531,2384,2051,2007,1762,1879,2070,2171,2245,2331,2499
2009,2511,2438,2347,2219,2059,1858,1709,1892,2149,2155,2141,2505
2010,2419,2558,2451,2165,2133,1795,1779,1941,2300,2257,2360,2368
2011,2433,2494,2605,2171,2075,1851,1608,1810,2299,2271,2399,2396
2012,2486,2546,2413,2149,2126,1879,1869,2081,2029,2213,2241,2448
2013,2478,2479,2317,2099,1973,1900,1841,2004,2212,2102,2264,2184
2015,2472,2428,2488,2140,2226,1930,1907,2069,2107,2515,2501,2642
2016,2536,2557,2501,2363,2014,2007,1852,2062,2210,2219,2259,2548
