1951,2430,1930,1900,1360,1320,1070,940,1120,1200,1590,2000,2130
1952,2460,2510,2040,1520,1230,570,880,920,1120,1490,1720,2060
1953,2310,2350,1880,1430,1230,830,500,1110,1290,1320,1780,2160
1954,2250,2280,2160,1460,1030,810,650,980,1060,1440,2050,2270
1955,2580,2100,1790,1450,970,740,560,850,1070,1360,2090,2200
1956,2120,2170,1890,1240,800,810,820,920,1100,1510,1840,2200
1957,2540,1930,2180,1350,1450,710,620,880,1140,1580,1860,2130
1958,2260,2000,1860,1510,1130,980,1310,810,1370,1770,1800,1960
1960,2440,2448,1968,1552,1149,843,805,986,1280,1517,1898,2185
1961,2304,2164,2023,1451,1461,858,862,1268,1184,1588,1930,2151
1962,2313,2215,2257,1466,1083,833,593,996,1150,1503,2117,2185
1963,2363,2375,1863,1747,1163,912,1085,916,1108,1357,1582,2009
1964,2295,2113,1780,1493,1311,737,785,987,1205,1364,1706,2039
1965,2372,2397,1825,1542,1097,1317,776,987,1216,1571,1899,1972
1966,2331,2031,1828,1646,1316,1072,929,892,1103,1379,1947,1945
1968,2235,2298,1925,1392,1193,988,1158,1121,1243,1463,2044,2160
1969,2400,2243,1919,1664,1339,969,1019,851,1285,1417,1891,2353
1970,2278,2294,2029,1908,1237,859,985,1017,1558,1460,1692,2110
1971,2111,1921,1982,1327,1131,643,1067,1169,1332,1563,2036,2323
1972,2462,2194,1819,1623,1383,1021,850,937,1308,1367,1767,2241
1973,2221,2156,2135,1628,1128,1075,788,1041,1250,1588,1780,2193
1974,2206,2058,2073,1719,1313,852,1046,1005,1084,1534,1901,2312
1975,2252,2187,1879,1691,1353,1232,737,946,1302,1528,1782,2281
1976,2283,2221,1687,1448,1239,822,864,1028,1277,1431,1803,2099
1977,2329,2081,1919,1730,1151,1033,884,1089,1387,1716,1863,2148
1978,2194,2192,1984,1686,1230,850,1130,857,1336,1552,1850,2199
1979,2290,2335,1925,1542,1195,885,1030,1191,1170,1568,1741,2090
1980,2406,2255,2330,1694,1418,825,819,1042,1337,1535,1816,2259
1981,2252,2207,1964,1665,1513,791,941,1140,1190,1539,1830,2200
1982,2332,2027,2097,1777,1363,875,854,979,1316,1474,1717,2274
1983,2391,2105,1931,1546,1124,613,673,915,1163,1699,1919,2305
1984,2309,2221,1976,1561,1148,641,718,883,1308,1682,1853,1947
1986,2321,2185,1753,1669,1249,1067,998,1003,1381,1653,1839,2270
1987,2362,2313,2065,1798,1110,999,1102,1046,1260,1624,1952,2057
1988,2262,2233,2058,1548,1016,882,764,1086,1251,1475,2053,2432
1989,2465,2297,1939,1697,1283,1070,861,1212,1175,1527,1934,2336
1990,2389,2267,1854,1511,1189,881,842,1345,1263,1798,1940,2130
1991,2322,2129,2011,1554,1336,786,768,1031,1370,1448,1826,2056
1992,2210,2137,1966,1396,1110,1008,583,1057,1218,1530,1629,2011
1993,2253,2133,2164,1623,1171,941,698,993,1133,1536,1785,2075
1994,2216,2059,1885,1458,1259,994,791,975,1290,1459,1926,2360
1995,2074,1992,1851,1541,1239,820,780,1028,1304,1568,1964,2239
1996,2166,2016,1998,1520,1354,794,711,1255,1184,1624,1901,2121
1997,2343,2056,1952,1700,1378,939,1054,1127,1179,1521,1801,2005
1998,2108,1893,1874,1526,1312,1001,1106,992,1098,1725,1859,2068
1999,2110,2157,1952,1466,1229,827,830,1099,1363,1536,1882,2124
2000,2366,2195,1890,1689,1268,990,655,970,1241,1532,1680,2135
2001,2348,2405,2104,1580,1210,999,827,1241,1272,1696,1830,2154
2002,2292,2160,1923,1543,1427,828,890,1139,1334,1746,1927,2129
2003,2417,2180,2039,1570,1303,1018,783,951,1299,1726,1892,2010
2004,2343,2092,2140,1662,994,965,935,1070,1335,1524,1765,2135
2006,2225,2140,1815,1655,1045,1030,1105,965,1310,1710,1865,2315
2007,2235,2195,1970,1705,1014,800,670,770,1390,1695,1825,2190
2009,2365,2265,2210,1765,1350,890,790,1365,1155,1640,1935,2090
2010,2364,2140,2075,1470,1275,1019,770,935,1315,1569,1965,2330
2011,2345,2070,1960,1690,1245,865,850,960,1455,1490,2115,2220
2012,2385,2190,2005,1620,1459,984,770,1155,1435,1710,2040,2240
2013,2320,2270,1835,1795,1250,1000,929,1044,1249,1725,2035,2530
2014,2485,2125,1895,1565,1330,1004,1005,1300,1449,1865,2010,2270
2015,2360,2275,2215,1910,1505,1060,990,1230,1205,1350,1915,2320
2016,2345,2365,1965,1540,1115,765,855,1160,1275,1570,1930,2340
2017,2385,2355,2005,1595,1335,1115,1040,1225,1320,1580,1860,2320
2018,2405,2310,1955,1910,1380,870,850,1005,1465,1580,1945,2160
2019,2330,2170,1870,1720,1290,1100,895,1060,1310,1600,2110,2195
2020,2250,2155,2215,1660,1285,1025,825,1090,1275,1535,2060,2245
2021,2315,1215,1995,1850,1215,910,915,1165,1395,1695,1935,2295
2022,2420,2135,1910,1585,1160,840,995,1135,1385,1590,2125,2370
2023,2495,2355,2395,1745,1380,990,970,1110,1260,1640,1925,2185
