1899,-1177,-623,210,1034,1701,2139,2299,2237,1765,899,296,-407
1900,-907,-605,225,758,1674,1820,2380,2350,2063,1083,434,-222
1902,-515,-621,-45,847,1549,2029,2206,2093,1875,1165,199,-568
1903,-1078,-752,-208,584,1361,1714,1951,2085,1827,1216,319,-137
1904,-722,-261,206,835,1260,2143,2263,2273,1820,864,428,-207
1909,-921,-706,83,1183,1564,2018,2212,2413,1769,1077,598,-48
1910,-810,-561,-149,646,1591,1979,2320,2358,1807,1050,309,-743
1911,-661,-492,-1,892,1556,2102,2178,2261,1945,1107,248,-363
1912,-914,-331,1,1300,1515,1928,2390,2248,1524,1190,469,-334
1913,-670,-487,-271,779,1415,2033,2363,2197,1716,1093,187,-394
1914,-502,-536,119,1058,1593,2229,2309,1948,1783,791,238,-539
1915,-565,-464,392,1243,1857,2035,2169,2305,1979,1415,723,-5
1916,-414,-343,489,1248,1514,1980,2293,2461,1884,1297,237,-300
1930,-974,-462,-80,698,1422,1995,2289,2060,1576,849,322,-394
1931,-434,-532,265,1217,1298,1714,1925,2167,1893,1342,335,-737
1938,-701,-749,-95,923,1807,1851,2160,2216,1591,1185,348,-231
1939,-774,-606,-228,659,1582,1962,2306,2260,1831,1175,384,12
1940,-370,-205,228,1069,1507,2054,2254,2205,1701,1201,466,-207
1941,-822,-318,236,954,1605,2080,2188,2313,1821,1512,513,-337
1942,-716,-326,463,1153,1600,1862,2414,2298,1822,1129,564,-357
1943,-536,-216,164,883,1451,1818,2311,2265,1910,1099,323,-150
1944,-807,-513,349,1055,1703,1774,2537,2403,1629,849,363,-662
1946,-545,-227,340,1246,1617,1823,2201,2270,1798,1310,261,-270
1947,-714,-268,631,1231,1679,1927,2297,2442,1948,1072,477,-406
1948,-693,-438,29,910,1411,1760,2274,2375,1808,1147,388,-500
1949,-731,-554,157,861,1546,1613,2321,2135,1769,1158,161,-589
1950,-828,-992,123,709,1455,1985,2447,2380,1826,1086,278,-541
1951,-674,-558,227,904,1520,1786,2063,2271,1906,1240,559,156
1952,-488,-256,-10,923,1459,1894,2223,2223,1785,1190,506,-44
1953,-600,-307,247,907,1615,1930,2388,2198,1899,950,345,-48
1954,-844,-482,165,1033,1481,1778,1969,2101,1858,1071,377,-750
1955,-887,-151,457,672,1394,1794,1986,2326,1751,1145,501,-69
1956,-968,-373,217,1134,1760,1911,2682,2375,1958,1174,610,-291
1957,-633,-859,1,849,1290,1818,2109,2142,1706,1073,421,-528
1958,-597,-733,233,1024,1233,1764,2233,2072,1852,1096,455,72
1959,-654,-574,246,1048,1322,1874,2204,2352,2160,1319,455,-185
1960,-738,66,282,812,1344,1903,2272,2380,1772,1183,184,-579
1961,-587,-646,223,1105,1783,2017,2475,2286,2005,1114,323,-493
1962,-827,-357,533,1081,1403,1861,2176,2222,1704,998,260,-342
1963,-846,-194,347,1176,1547,2021,2164,2201,1757,1270,379,-17
1964,-790,-460,234,886,1288,1814,2105,2165,1770,1068,400,-276
1965,-420,-714,-93,845,1511,1854,2155,2017,1655,1126,338,-438
1966,-378,-105,68,799,1349,1947,2061,2159,1680,995,261,-300
1967,-918,-290,-6,953,1364,1900,2229,2230,1840,955,370,-140
1968,-822,-613,316,998,1422,1880,2305,2278,1777,994,485,-529
1969,-750,-638,336,811,1383,1816,2087,2209,1672,1070,423,-218
1970,-440,-145,366,1133,1572,1965,2075,2389,1847,1227,513,-145
1971,-465,22,653,1320,1689,2272,2375,2263,1655,1149,495,154
1972,-155,-722,215,947,1475,1858,2008,2217,1819,1193,556,14
1973,-594,-323,-52,962,1506,2150,2519,2435,1893,1144,588,-44
1974,-450,-399,303,1259,1540,1883,2213,2043,1705,1031,292,-666
1975,-1175,-672,111,1033,1374,1869,2193,2310,1784,1148,224,-296
